CLEVELAND	cleveland	CLEVELAND
Reuters	reuter	Reuters
-	-	-
The	the	The
mayor	mayor	mayor
of	of	of
Youngstown	youngstown	Youngstown
,	,	,
Ohio	ohio	Ohio
,	,	,
was	was	wa
sentenced	sentenc	sentenced
on	on	on
Monday	monday	Monday
to	to	to
a	a	a
year	year	year
of	of	of
probation	probat	probation
for	for	for
his	his	his
role	role	role
in	in	in
a	a	a
public	public	public
corruption	corrupt	corruption
case	case	case
involving	involv	involving
a	a	a
property	properti	property
deal	deal	deal
made	made	made
while	while	while
he	he	he
was	was	wa
a	a	a
county	counti	county
commissioner	commission	commissioner
,	,	,
a	a	a
county	counti	county
prosecutor	prosecutor	prosecutor
s	s	s
office	offic	office
said	said	said
,	,	,
but	but	but
he	he	he
will	will	will
remain	remain	remain
in	in	in
office	offic	office
.	.	.
Youngstown	youngstown	Youngstown
Mayor	mayor	Mayor
John	john	John
McNally	mcnalli	McNally
,	,	,
a	a	a
Democrat	democrat	Democrat
,	,	,
was	was	wa
sentenced	sentenc	sentenced
in	in	in
Cuyahoga	cuyahoga	Cuyahoga
County	counti	County
Common	common	Common
Pleas	plea	Pleas
Court	court	Court
in	in	in
Cleveland	cleveland	Cleveland
after	after	after
pleading	plead	pleading
guilty	guilti	guilty
to	to	to
four	four	four
misdemeanor	misdemeanor	misdemeanor
counts	count	count
,	,	,
said	said	said
Cuyahoga	cuyahoga	Cuyahoga
County	counti	County
Prosecutor	prosecutor	Prosecutor
spokesman	spokesman	spokesman
Joe	joe	Joe
Frolik	frolik	Frolik
.	.	.
The	the	The
plea	plea	plea
deal	deal	deal
allows	allow	allows
McNally	mcnalli	McNally
,	,	,
who	who	who
was	was	wa
elected	elect	elected
mayor	mayor	mayor
in	in	in
2014	2014	2014
,	,	,
to	to	to
remain	remain	remain
in	in	in
office	offic	office
.	.	.
The	the	The
charges	charg	charge
stemmed	stem	stemmed
from	from	from
his	his	his
nine	nine	nine
years	year	year
as	as	a
Mahoning	mahon	Mahoning
County	counti	County
commissioner	commission	commissioner
,	,	,
from	from	from
2005	2005	2005
until	until	until
he	he	he
was	was	wa
elected	elect	elected
mayor	mayor	mayor
.	.	.
McNally	mcnalli	McNally
had	had	had
faced	face	faced
multiple	multipl	multiple
felony	feloni	felony
charges	charg	charge
,	,	,
including	includ	including
bribery	briberi	bribery
,	,	,
record	record	record
tampering	tamper	tampering
and	and	and
money	money	money
laundering	launder	laundering
.	.	.
But	but	But
as	as	a
part	part	part
of	of	of
the	the	the
agreement	agreement	agreement
with	with	with
prosecutors	prosecutor	prosecutor
he	he	he
pleaded	plead	pleaded
guilty	guilti	guilty
to	to	to
two	two	two
counts	count	count
of	of	of
falsification	falsif	falsification
,	,	,
one	one	one
count	count	count
of	of	of
attempted	attempt	attempted
unlawful	unlaw	unlawful
use	use	use
of	of	of
telecommunications	telecommun	telecommunication
and	and	and
one	one	one
count	count	count
of	of	of
attempted	attempt	attempted
restrictions	restrict	restriction
on	on	on
present	present	present
or	or	or
former	former	former
public	public	public
officials	offici	official
,	,	,
all	all	all
misdemeanors	misdemeanor	misdemeanor
,	,	,
officials	offici	official
said	said	said
.	.	.
Under	under	Under
Ohio	ohio	Ohio
law	law	law
,	,	,
a	a	a
felony	feloni	felony
conviction	convict	conviction
bars	bar	bar
anyone	anyon	anyone
from	from	from
holding	hold	holding
most	most	most
public	public	public
offices	offic	office
for	for	for
seven	seven	seven
years	year	year
.	.	.
Also	also	Also
on	on	on
Monday	monday	Monday
,	,	,
former	former	former
Mahoning	mahon	Mahoning
County	counti	County
Auditor	auditor	Auditor
Michael	michael	Michael
Sciortino	sciortino	Sciortino
was	was	wa
sentenced	sentenc	sentenced
by	by	by
Judge	judg	Judge
Janet	janet	Janet
Burnside	burnsid	Burnside
to	to	to
one	one	one
year	year	year
of	of	of
probation	probat	probation
after	after	after
pleading	plead	pleading
guilty	guilti	guilty
to	to	to
one	one	one
felony	feloni	felony
count	count	count
and	and	and
three	three	three
misdemeanors	misdemeanor	misdemeanor
for	for	for
his	his	his
role	role	role
in	in	in
the	the	the
matter	matter	matter
,	,	,
Frolik	frolik	Frolik
said	said	said
.	.	.
Based	base	Based
on	on	on
the	the	the
plea	plea	plea
deals	deal	deal
,	,	,
McNally	mcnalli	McNally
had	had	had
faced	face	faced
a	a	a
maximum	maximum	maximum
of	of	of
36	36	36
months	month	month
in	in	in
prison	prison	prison
and	and	and
Sciortino	sciortino	Sciortino
a	a	a
maximum	maximum	maximum
of	of	of
2	2	2
-1	-1	-1
2	2	2
years	year	year
.	.	.
Both	both	Both
McNally	mcnalli	McNally
and	and	and
Sciortino	sciortino	Sciortino
were	were	were
initially	initi	initially
charged	charg	charged
for	for	for
taking	take	taking
part	part	part
in	in	in
a	a	a
scheme	scheme	scheme
to	to	to
inflate	inflat	inflate
the	the	the
cost	cost	cost
of	of	of
moving	move	moving
the	the	the
Mahoning	mahon	Mahoning
County	counti	County
jobs	job	job
and	and	and
family	famili	family
services	servic	service
office	offic	office
from	from	from
a	a	a
rental	rental	rental
property	properti	property
to	to	to
benefit	benefit	benefit
a	a	a
local	local	local
business	busi	business
owner	owner	owner
,	,	,
prosecutors	prosecutor	prosecutor
said	said	said
.	.	.
In	in	In
addition	addit	addition
to	to	to
the	the	the
plea	plea	plea
in	in	in
the	the	the
Cuyahoga	cuyahoga	Cuyahoga
County	counti	County
court	court	court
,	,	,
Sciortino	sciortino	Sciortino
agreed	agre	agreed
to	to	to
plead	plead	plead
guilty	guilti	guilty
to	to	to
one	one	one
felony	feloni	felony
and	and	and
one	one	one
misdemeanor	misdemeanor	misdemeanor
in	in	in
Mahoning	mahon	Mahoning
County	counti	County
court	court	court
on	on	on
Thursday	thursday	Thursday
,	,	,
according	accord	according
to	to	to
court	court	court
records	record	record
.	.	.
Youngstown	youngstown	Youngstown
attorney	attorney	attorney
Martin	martin	Martin
Yavorcik	yavorcik	Yavorcik
,	,	,
42	42	42
,	,	,
was	was	wa
convicted	convict	convicted
on	on	on
eight	eight	eight
felony	feloni	felony
counts	count	count
in	in	in
the	the	the
Cuyahoga	cuyahoga	Cuyahoga
County	counti	County
court	court	court
on	on	on
Friday	friday	Friday
as	as	a
part	part	part
of	of	of
the	the	the
83	83	83
-count	-count	-count
indictment	indict	indictment
brought	brought	brought
against	against	against
the	the	the
three	three	three
men	men	men
in	in	in
2014	2014	2014
by	by	by
the	the	the
Ohio	ohio	Ohio
Attorney	attorney	Attorney
General	general	General
s	s	s
office	offic	office
alleging	alleg	alleging
a	a	a
pattern	pattern	pattern
of	of	of
corruption	corrupt	corruption
.	.	.
Sentencing	sentenc	Sentencing
for	for	for
Yavorcik	yavorcik	Yavorcik
is	is	is
scheduled	schedul	scheduled
for	for	for
April	april	April
22	22	22
.	.	.
He	he	He
faces	face	face
up	up	up
to	to	to
29	29	29
years	year	year
in	in	in
prison	prison	prison
,	,	,
Frolik	frolik	Frolik
said	said	said
.	.	.
