STOCKHOLM	stockholm	STOCKHOLM
Reuters	reuter	Reuters
-	-	-
Swedish	swedish	Swedish
prosecutors	prosecutor	prosecutor
accused	accus	accused
Democratic	democrat	Democratic
Republic	republ	Republic
of	of	of
Congo	congo	Congo
s	s	s
government	govern	government
on	on	on
Wednesday	wednesday	Wednesday
of	of	of
not	not	not
cooperating	cooper	cooperating
with	with	with
their	their	their
investigation	investig	investigation
into	into	into
the	the	the
murder	murder	murder
of	of	of
a	a	a
U	u	U
.	.	.
N	n	N
.	.	.
sanctions	sanction	sanction
monitor	monitor	monitor
from	from	from
Sweden	sweden	Sweden
.	.	.

Zaida	zaida	Zaida
Catalan	catalan	Catalan
and	and	and
her	her	her
American	american	American
colleague	colleagu	colleague
,	,	,
Michael	michael	Michael
Sharp	sharp	Sharp
,	,	,
were	were	were
shot	shot	shot
dead	dead	dead
in	in	in
March	march	March
and	and	and
found	found	found
in	in	in
a	a	a
shallow	shallow	shallow
grave	grave	grave
in	in	in
an	an	an
area	area	area
of	of	of
central	central	central
Congo	congo	Congo
where	where	where
they	they	they
had	had	had
been	been	been
gathering	gather	gathering
information	inform	information
on	on	on
a	a	a
conflict	conflict	conflict
between	between	between
the	the	the
army	armi	army
and	and	and
a	a	a
militia	militia	militia
.	.	.

Congo	congo	Congo
s	s	s
government	govern	government
has	has	ha
arrested	arrest	arrested
more	more	more
than	than	than
a	a	a
dozen	dozen	dozen
people	peopl	people
in	in	in
connection	connect	connection
with	with	with
the	the	the
killings	kill	killing
,	,	,
which	which	which
it	it	it
blames	blame	blame
on	on	on
the	the	the
militia	militia	militia
-	-	-
though	though	though
one	one	one
report	report	report
to	to	to
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
suggested	suggest	suggested
state	state	state
security	secur	security
services	servic	service
could	could	could
also	also	also
be	be	be
involved	involv	involved
.	.	.

The	the	The
Swedish	swedish	Swedish
Prosecution	prosecut	Prosecution
Authority	author	Authority
launched	launch	launched
its	it	it
own	own	own
investigation	investig	investigation
into	into	into
Catalan	catalan	Catalan
s	s	s
death	death	death
,	,	,
and	and	and
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
it	it	it
had	had	had
received	receiv	received
no	no	no
response	respons	response
to	to	to
a	a	a
request	request	request
it	it	it
made	made	made
in	in	in
April	april	April
for	for	for
information	inform	information
from	from	from
Congolese	congoles	Congolese
authorities	author	authority
.	.	.

The	the	The
Swedish	swedish	Swedish
investigation	investig	investigation
is	is	is
facing	face	facing
severe	sever	severe
difficulties	difficulti	difficulty
given	given	given
the	the	the
fact	fact	fact
that	that	that
it	it	it
is	is	is
completely	complet	completely
reliant	reliant	reliant
on	on	on
evidence	evid	evidence
that	that	that
exists	exist	exists
in	in	in
the	the	the
Congo	congo	Congo
and	and	and
cooperation	cooper	cooperation
is	is	is
not	not	not
working	work	working
with	with	with
Congo	congo	Congo
,	,	,
prosecutor	prosecutor	prosecutor
Sara	sara	Sara
Nilsson	nilsson	Nilsson
said	said	said
in	in	in
the	the	the
statement	statement	statement
.	.	.

Material	materi	Material
that	that	that
Swedish	swedish	Swedish
authorities	author	authority
had	had	had
managed	manag	managed
to	to	to
collect	collect	collect
does	doe	doe
not	not	not
exclude	exclud	exclude
that	that	that
persons	person	person
who	who	who
have	have	have
close	close	close
ties	tie	tie
to	to	to
the	the	the
regime	regim	regime
in	in	in
Congo	congo	Congo
are	are	are
involved	involv	involved
in	in	in
the	the	the
murders	murder	murder
,	,	,
the	the	the
Authority	author	Authority
added	ad	added
.	.	.

In	in	In
April	april	April
,	,	,
Congo	congo	Congo
s	s	s
government	govern	government
screened	screen	screened
a	a	a
video	video	video
to	to	to
reporters	report	reporter
,	,	,
which	which	which
it	it	it
said	said	said
showed	show	showed
members	member	member
of	of	of
the	the	the
militia	militia	militia
killing	kill	killing
Catalan	catalan	Catalan
and	and	and
Sharp	sharp	Sharp
.	.	.

But	but	But
analysts	analyst	analyst
said	said	said
the	the	the
grainy	graini	grainy
footage	footag	footage
raised	rais	raised
more	more	more
questions	question	question
than	than	than
it	it	it
answered	answer	answered
and	and	and
Nilsson	nilsson	Nilsson
told	told	told
Reuters	reuter	Reuters
the	the	the
screening	screen	screening
had	had	had
tainted	taint	tainted
important	import	important
evidence	evid	evidence
.	.	.

Congo	congo	Congo
s	s	s
government	govern	government
spokesman	spokesman	spokesman
Lambert	lambert	Lambert
Mende	mend	Mende
has	has	ha
denied	deni	denied
Congolese	congoles	Congolese
officials	offici	official
were	were	were
involved	involv	involved
in	in	in
the	the	the
murders	murder	murder
and	and	and
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
that	that	that
it	it	it
was	was	wa
up	up	up
to	to	to
Swedish	swedish	Swedish
authorities	author	authority
to	to	to
provide	provid	provide
information	inform	information
to	to	to
the	the	the
Congolese	congoles	Congolese
court	court	court
hearing	hear	hearing
the	the	the
case	case	case
,	,	,
not	not	not
the	the	the
other	other	other
way	way	way
around	around	around
.	.	.

Justice	justic	Justice
is	is	is
rendered	render	rendered
here	here	here
because	becaus	because
the	the	the
crime	crime	crime
was	was	wa
committed	commit	committed
here	here	here
,	,	,
Mende	mend	Mende
said	said	said
.	.	.

If	if	If
they	they	they
have	have	have
information	inform	information
that	that	that
the	the	the
court	court	court
might	might	might
not	not	not
be	be	be
able	abl	able
to	to	to
access	access	access
,	,	,
they	they	they
should	should	should
give	give	give
it	it	it
to	to	to
the	the	the
court	court	court
.	.	.

The	the	The
conflict	conflict	conflict
in	in	in
Kasai	kasai	Kasai
region	region	region
between	between	between
Congo	congo	Congo
s	s	s
army	armi	army
and	and	and
the	the	the
Kamuina	kamuina	Kamuina
Nsapu	nsapu	Nsapu
militia	militia	militia
has	has	ha
killed	kill	killed
as	as	a
many	mani	many
as	as	a
5	5	5
,	,	,
000	000	000
people	peopl	people
and	and	and
displaced	displac	displaced
around	around	around
1	1	1
.	.	.
5	5	5
million	million	million
more	more	more
since	sinc	since
August	august	August
last	last	last
year	year	year
.	.	.

The	the	The
United	unit	United
Nations	nation	Nations
has	has	ha
repeatedly	repeat	repeatedly
accused	accus	accused
Congolese	congoles	Congolese
forces	forc	force
of	of	of
using	use	using
excessive	excess	excessive
force	forc	force
and	and	and
targeting	target	targeting
civilians	civilian	civilian
with	with	with
alleged	alleg	alleged
ties	tie	tie
to	to	to
the	the	the
militia	militia	militia
.	.	.

The	the	The
government	govern	government
denies	deni	denies
those	those	those
charges	charg	charge
.	.	.

