TOKYO	tokyo	TOKYO
Reuters	reuter	Reuters
-	-	-
A	a	A
Japanese	japanes	Japanese
man	man	man
was	was	wa
killed	kill	killed
in	in	in
a	a	a
truck	truck	truck
collision	collis	collision
involving	involv	involving
a	a	a
21	21	21
-year-old	-year-old	-year-old
U	u	U
.	.	.
S	s	S
.	.	.
marine	marin	marine
who	who	who
was	was	wa
well	well	well
over	over	over
the	the	the
legal	legal	legal
alcohol	alcohol	alcohol
limit	limit	limit
for	for	for
driving	drive	driving
,	,	,
police	polic	police
said	said	said
of	of	of
a	a	a
case	case	case
that	that	that
was	was	wa
likely	like	likely
to	to	to
stoke	stoke	stoke
resentment	resent	resentment
over	over	over
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
presence	presenc	presence
on	on	on
the	the	the
southern	southern	southern
island	island	island
of	of	of
Okinawa	okinawa	Okinawa
.	.	.

In	in	In
response	respons	response
to	to	to
the	the	the
Sunday	sunday	Sunday
s	s	s
fatal	fatal	fatal
accident	accid	accident
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
forces	forc	force
in	in	in
Japan	japan	Japan
banned	ban	banned
,	,	,
until	until	until
further	further	further
notice	notic	notice
,	,	,
all	all	all
personnel	personnel	personnel
in	in	in
the	the	the
country	countri	country
from	from	from
drinking	drink	drinking
of	of	of
alcohol	alcohol	alcohol
.	.	.

The	the	The
Defence	defenc	Defence
and	and	and
Foreign	foreign	Foreign
Ministries	ministri	Ministries
have	have	have
lodged	lodg	lodged
a	a	a
stern	stern	stern
representation	represent	representation
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
forces	forc	force
in	in	in
Japan	japan	Japan
and	and	and
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
embassy	embassi	embassy
in	in	in
Japan	japan	Japan
,	,	,
asking	ask	asking
for	for	for
the	the	the
enforcement	enforc	enforcement
of	of	of
discipline	disciplin	discipline
,	,	,
prevention	prevent	prevention
of	of	of
recurrence	recurr	recurrence
and	and	and
sincere	sincer	sincere
response	respons	response
to	to	to
the	the	the
bereaved	bereav	bereaved
,	,	,
Japanese	japanes	Japanese
Chief	chief	Chief
Cabinet	cabinet	Cabinet
Secretary	secretari	Secretary
Yoshihide	yoshihid	Yoshihide
Suga	suga	Suga
told	told	told
a	a	a
regular	regular	regular
news	news	news
conference	confer	conference
on	on	on
Monday	monday	Monday
.	.	.

U	u	U
.	.	.
S	s	S
.	.	.
Ambassador	ambassador	Ambassador
to	to	to
Japan	japan	Japan
William	william	William
Hagerty	hagerti	Hagerty
expressed	express	expressed
his	his	his
condolences	condol	condolence
and	and	and
offered	offer	offered
an	an	an
apology	apolog	apology
,	,	,
Suga	suga	Suga
said	said	said
.	.	.

The	the	The
accident	accid	accident
occurred	occur	occurred
at	at	at
an	an	an
intersection	intersect	intersection
in	in	in
the	the	the
city	citi	city
of	of	of
Naha	naha	Naha
early	earli	early
Sunday	sunday	Sunday
morning	morn	morning
.	.	.

The	the	The
marine	marin	marine
was	was	wa
driving	drive	driving
a	a	a
military	militari	military
truck	truck	truck
,	,	,
and	and	and
the	the	the
61	61	61
-year-old	-year-old	-year-old
crash	crash	crash
victim	victim	victim
was	was	wa
in	in	in
a	a	a
light	light	light
truck	truck	truck
.	.	.

The	the	The
Japanese	japanes	Japanese
man	man	man
was	was	wa
later	later	later
pronounced	pronounc	pronounced
dead	dead	dead
,	,	,
while	while	while
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
serviceman	serviceman	serviceman
,	,	,
who	who	who
was	was	wa
arrested	arrest	arrested
for	for	for
the	the	the
fatal	fatal	fatal
accident	accid	accident
and	and	and
driving	drive	driving
under	under	under
the	the	the
influence	influenc	influence
of	of	of
alcohol	alcohol	alcohol
,	,	,
suffered	suffer	suffered
scratches	scratch	scratch
,	,	,
a	a	a
police	polic	police
official	offici	official
in	in	in
Naha	naha	Naha
said	said	said
.	.	.

The	the	The
official	offici	official
said	said	said
a	a	a
breath	breath	breath
test	test	test
showed	show	showed
the	the	the
marine	marin	marine
was	was	wa
as	as	a
much	much	much
as	as	a
three	three	three
times	time	time
over	over	over
the	the	the
legal	legal	legal
limit	limit	limit
for	for	for
alcohol	alcohol	alcohol
.	.	.

When	when	When
our	our	our
service	servic	service
members	member	member
fail	fail	fail
to	to	to
live	live	live
up	up	up
to	to	to
the	the	the
high	high	high
standards	standard	standard
we	we	we
set	set	set
for	for	for
them	them	them
,	,	,
it	it	it
damages	damag	damage
the	the	the
bonds	bond	bond
between	between	between
bases	base	base
and	and	and
local	local	local
communities	communiti	community
and	and	and
make	make	make
it	it	it
harder	harder	harder
for	for	for
us	us	u
to	to	to
accomplish	accomplish	accomplish
our	our	our
mission	mission	mission
,	,	,
a	a	a
statement	statement	statement
from	from	from
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
forces	forc	force
in	in	in
Japan	japan	Japan
said	said	said
.	.	.

Last	last	Last
year	year	year
,	,	,
Japanese	japanes	Japanese
Prime	prime	Prime
Minister	minist	Minister
Shinzo	shinzo	Shinzo
Abe	abe	Abe
protested	protest	protested
to	to	to
then	then	then
-U	-u	-U
.	.	.
S	s	S
.	.	.
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
about	about	about
the	the	the
killing	kill	killing
of	of	of
a	a	a
young	young	young
woman	woman	woman
in	in	in
Okinawa	okinawa	Okinawa
,	,	,
for	for	for
which	which	which
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
base	base	base
worker	worker	worker
had	had	had
been	been	been
charged	charg	charged
.	.	.

Obama	obama	Obama
,	,	,
who	who	who
was	was	wa
visiting	visit	visiting
Japan	japan	Japan
for	for	for
a	a	a
Group	group	Group
of	of	of
Seven	seven	Seven
summit	summit	summit
,	,	,
expressed	express	expressed
deepest	deepest	deepest
regrets	regret	regret
.	.	.

The	the	The
case	case	case
is	is	is
under	under	under
trial	trial	trial
.	.	.

Residents	resid	Residents
in	in	in
Okinawa	okinawa	Okinawa
,	,	,
a	a	a
reluctant	reluct	reluctant
host	host	host
to	to	to
the	the	the
bulk	bulk	bulk
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
bases	base	base
in	in	in
Japan	japan	Japan
,	,	,
believe	believ	believe
that	that	that
they	they	they
shoulder	shoulder	shoulder
an	an	an
unfair	unfair	unfair
burden	burden	burden
in	in	in
supporting	support	supporting
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
presence	presenc	presence
in	in	in
Japan	japan	Japan
.	.	.

