MADRID	madrid	MADRID
Reuters	reuter	Reuters
-	-	-
Spain	spain	Spain
is	is	is
pushing	push	pushing
for	for	for
the	the	the
European	european	European
Union	union	Union
to	to	to
adopt	adopt	adopt
restrictive	restrict	restrictive
measures	measur	measure
against	against	against
members	member	member
of	of	of
the	the	the
Venezuelan	venezuelan	Venezuelan
government	govern	government
as	as	a
a	a	a
way	way	way
of	of	of
encouraging	encourag	encouraging
a	a	a
return	return	return
to	to	to
constitutional	constitut	constitutional
order	order	order
in	in	in
the	the	the
crisis	crisi	crisis
-hit	-hit	-hit
country	countri	country
,	,	,
the	the	the
Spanish	spanish	Spanish
foreign	foreign	foreign
ministry	ministri	ministry
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
.	.	.

The	the	The
head	head	head
of	of	of
Venezuela	venezuela	Venezuela
s	s	s
opposition	opposit	opposition
-led	-led	-led
congress	congress	congress
,	,	,
Julio	julio	Julio
Borges	borg	Borges
,	,	,
visited	visit	visited
Spain	spain	Spain
on	on	on
Tuesday	tuesday	Tuesday
to	to	to
meet	meet	meet
Prime	prime	Prime
Minister	minist	Minister
Mariano	mariano	Mariano
Rajoy	rajoy	Rajoy
as	as	a
part	part	part
of	of	of
a	a	a
European	european	European
tour	tour	tour
seeking	seek	seeking
support	support	support
against	against	against
Venezuelan	venezuelan	Venezuelan
President	presid	President
Nicolas	nicola	Nicolas
Maduro	maduro	Maduro
.	.	.

Maduro	maduro	Maduro
s	s	s
government	govern	government
has	has	ha
been	been	been
criticized	critic	criticized
by	by	by
the	the	the
United	unit	United
Nations	nation	Nations
,	,	,
Washington	washington	Washington
and	and	and
other	other	other
governments	govern	government
for	for	for
failing	fail	failing
to	to	to
allow	allow	allow
the	the	the
entry	entri	entry
of	of	of
foreign	foreign	foreign
aid	aid	aid
to	to	to
ease	eas	ease
an	an	an
economic	econom	economic
crisis	crisi	crisis
,	,	,
while	while	while
it	it	it
overrides	overrid	override
congress	congress	congress
and	and	and
jails	jail	jail
hundreds	hundr	hundred
of	of	of
opponents	oppon	opponent
.	.	.

Against	against	Against
the	the	the
progressive	progress	progressive
worsening	worsen	worsening
of	of	of
the	the	the
situation	situat	situation
in	in	in
Venezuela	venezuela	Venezuela
,	,	,
the	the	the
Spanish	spanish	Spanish
government	govern	government
is	is	is
pushing	push	pushing
.	.	.
.	.	.
.	.	.

for	for	for
the	the	the
adoption	adopt	adoption
of	of	of
restrictive	restrict	restrictive
,	,	,
individual	individu	individual
and	and	and
selective	select	selective
measures	measur	measure
,	,	,
which	which	which
don	don	don
t	t	t
hurt	hurt	hurt
the	the	the
Venezuelan	venezuelan	Venezuelan
population	popul	population
,	,	,
the	the	the
ministry	ministri	ministry
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.

The	the	The
Spanish	spanish	Spanish
government	govern	government
was	was	wa
working	work	working
with	with	with
its	it	it
partners	partner	partner
in	in	in
the	the	the
EU	eu	EU
on	on	on
these	these	these
measures	measur	measure
and	and	and
was	was	wa
in	in	in
constant	constant	constant
contact	contact	contact
with	with	with
other	other	other
Latin	latin	Latin
American	american	American
countries	countri	country
,	,	,
the	the	the
ministry	ministri	ministry
said	said	said
.	.	.

A	a	A
foreign	foreign	foreign
ministry	ministri	ministry
spokesman	spokesman	spokesman
did	did	did
not	not	not
say	say	say
what	what	what
the	the	the
measures	measur	measure
would	would	would
be	be	be
.	.	.

After	after	After
the	the	the
meeting	meet	meeting
with	with	with
Borges	borg	Borges
,	,	,
the	the	the
ministry	ministri	ministry
underlined	underlin	underlined
Spain	spain	Spain
s	s	s
support	support	support
for	for	for
a	a	a
peaceful	peac	peaceful
,	,	,
democratic	democrat	democratic
solution	solut	solution
and	and	and
called	call	called
for	for	for
the	the	the
release	releas	release
of	of	of
all	all	all
political	polit	political
prisoners	prison	prisoner
.	.	.

Spain	spain	Spain
s	s	s
foreign	foreign	foreign
minister	minist	minister
,	,	,
Alfonso	alfonso	Alfonso
Dastis	dasti	Dastis
,	,	,
also	also	also
met	met	met
representatives	repres	representative
of	of	of
human	human	human
rights	right	right
activist	activist	activist
Lilian	lilian	Lilian
Tintori	tintori	Tintori
,	,	,
the	the	the
wife	wife	wife
of	of	of
Venezuela	venezuela	Venezuela
s	s	s
best	best	best
-known	-known	-known
detained	detain	detained
political	polit	political
leader	leader	leader
,	,	,
who	who	who
was	was	wa
barred	bar	barred
from	from	from
flying	fli	flying
out	out	out
of	of	of
the	the	the
country	countri	country
to	to	to
join	join	join
Borges	borg	Borges
on	on	on
the	the	the
tour	tour	tour
.	.	.

Venezuela	venezuela	Venezuela
s	s	s
foreign	foreign	foreign
minister	minist	minister
,	,	,
Jorge	jorg	Jorge
Arreaza	arreaza	Arreaza
,	,	,
criticized	critic	criticized
the	the	the
opposition	opposit	opposition
leaders	leader	leader
meeting	meet	meeting
with	with	with
Rajoy	rajoy	Rajoy
,	,	,
saying	say	saying
they	they	they
were	were	were
unpatriotic	unpatriot	unpatriotic
in	in	in
backing	back	backing
sanctions	sanction	sanction
that	that	that
he	he	he
said	said	said
would	would	would
hurt	hurt	hurt
the	the	the
Venezuelan	venezuelan	Venezuelan
economy	economi	economy
.	.	.

@marianorajoy	@marianorajoy	@marianorajoy
assaults	assault	assault
Venezuelan	venezuelan	Venezuelan
dignity	digniti	dignity
,	,	,
representing	repres	representing
the	the	the
worst	worst	worst
colonial	coloni	colonial
past	past	past
,	,	,
defeated	defeat	defeated
and	and	and
expelled	expel	expelled
by	by	by
our	our	our
Liberators	liber	Liberators
,	,	,
Arreaza	arreaza	Arreaza
tweeted	tweet	tweeted
on	on	on
Tuesday	tuesday	Tuesday
.	.	.

The	the	The
Venezuelan	venezuelan	Venezuelan
opposition	opposit	opposition
won	won	won
control	control	control
of	of	of
congress	congress	congress
in	in	in
2015	2015	2015
.	.	.

But	but	But
Maduro	maduro	Maduro
s	s	s
loyalist	loyalist	loyalist
Supreme	suprem	Supreme
Court	court	Court
has	has	ha
tossed	toss	tossed
out	out	out
every	everi	every
major	major	major
law	law	law
it	it	it
has	has	ha
passed	pass	passed
as	as	a
the	the	the
oil	oil	oil
-rich	-rich	-rich
country	countri	country
slips	slip	slip
deeper	deeper	deeper
into	into	into
a	a	a
recession	recess	recession
exacerbated	exacerb	exacerbated
by	by	by
triple	tripl	triple
-digit	-digit	-digit
inflation	inflat	inflation
and	and	and
acute	acut	acute
shortages	shortag	shortage
of	of	of
food	food	food
and	and	and
medicines	medicin	medicine
.	.	.

Maduro	maduro	Maduro
has	has	ha
said	said	said
he	he	he
faces	face	face
an	an	an
armed	arm	armed
insurrection	insurrect	insurrection
designed	design	designed
to	to	to
end	end	end
socialism	social	socialism
in	in	in
Latin	latin	Latin
America	america	America
and	and	and
let	let	let
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
business	busi	business
elite	elit	elite
get	get	get
its	it	it
hands	hand	hand
on	on	on
the	the	the
OPEC	opec	OPEC
nation	nation	nation
s	s	s
crude	crude	crude
reserves	reserv	reserve
.	.	.

