TUNIS	tuni	TUNIS
Reuters	reuter	Reuters
-	-	-
Tunisia	tunisia	Tunisia
s	s	s
parliament	parliament	parliament
gave	gave	gave
Prime	prime	Prime
Minister	minist	Minister
Youssef	youssef	Youssef
Chahed	chahe	Chahed
s	s	s
new	new	new
government	govern	government
a	a	a
vote	vote	vote
of	of	of
confidence	confid	confidence
on	on	on
Monday	monday	Monday
after	after	after
the	the	the
premier	premier	premier
detailed	detail	detailed
plans	plan	plan
to	to	to
halve	halv	halve
the	the	the
budget	budget	budget
deficit	deficit	deficit
and	and	and
trim	trim	trim
the	the	the
public	public	public
wage	wage	wage
bill	bill	bill
in	in	in
the	the	the
next	next	next
three	three	three
years	year	year
as	as	a
part	part	part
of	of	of
a	a	a
reform	reform	reform
package	packag	package
.	.	.

Chahed	chahe	Chahed
last	last	last
week	week	week
named	name	named
a	a	a
new	new	new
cabinet	cabinet	cabinet
after	after	after
weeks	week	week
of	of	of
wrangling	wrangl	wrangling
between	between	between
the	the	the
ruling	rule	ruling
Nidaa	nidaa	Nidaa
Tounes	toun	Tounes
party	parti	party
and	and	and
rival	rival	rival
Islamist	islamist	Islamist
party	parti	party
Ennahda	ennahda	Ennahda
over	over	over
posts	post	post
that	that	that
had	had	had
delayed	delay	delayed
progress	progress	progress
on	on	on
a	a	a
reform	reform	reform
program	program	program
backed	back	backed
by	by	by
the	the	the
International	intern	International
Monetary	monetari	Monetary
Fund	fund	Fund
.	.	.

Lawmakers	lawmak	Lawmakers
voted	vote	voted
late	late	late
on	on	on
Monday	monday	Monday
to	to	to
approve	approv	approve
the	the	the
new	new	new
cabinet	cabinet	cabinet
,	,	,
giving	give	giving
Chahed	chahe	Chahed
support	support	support
to	to	to
push	push	push
on	on	on
with	with	with
austerity	auster	austerity
measures	measur	measure
.	.	.

We	we	We
hope	hope	hope
this	this	this
will	will	will
be	be	be
the	the	the
government	govern	government
that	that	that
gives	give	give
Tunisians	tunisian	Tunisians
back	back	back
some	some	some
hope	hope	hope
,	,	,
parliament	parliament	parliament
assembly	assembl	assembly
President	presid	President
Mohamed	moham	Mohamed
Naceur	naceur	Naceur
said	said	said
after	after	after
the	the	the
vote	vote	vote
.	.	.

Tunisia	tunisia	Tunisia
has	has	ha
been	been	been
praised	prais	praised
for	for	for
its	it	it
democratic	democrat	democratic
progress	progress	progress
after	after	after
the	the	the
2011	2011	2011
uprising	upris	uprising
against	against	against
autocrat	autocrat	autocrat
Zine	zine	Zine
El	el	El
-Abidine	-abidin	-Abidine
Ben	ben	Ben
Ali	ali	Ali
,	,	,
but	but	but
successive	success	successive
governments	govern	government
have	have	have
failed	fail	failed
to	to	to
advance	advanc	advance
in	in	in
economic	econom	economic
reforms	reform	reform
to	to	to
trim	trim	trim
deficits	deficit	deficit
and	and	and
create	creat	create
jobs	job	job
and	and	and
growth	growth	growth
.	.	.

Chahed	chahe	Chahed
earlier	earlier	earlier
said	said	said
his	his	his
government	govern	government
needed	need	needed
consensus	consensus	consensus
backing	back	backing
to	to	to
push	push	push
ahead	ahead	ahead
with	with	with
reforms	reform	reform
by	by	by
2020	2020	2020
that	that	that
he	he	he
hopes	hope	hope
will	will	will
revive	reviv	revive
Tunisia	tunisia	Tunisia
s	s	s
economy	economi	economy
,	,	,
which	which	which
has	has	ha
been	been	been
hit	hit	hit
by	by	by
unrest	unrest	unrest
after	after	after
the	the	the
2011	2011	2011
revolt	revolt	revolt
and	and	and
by	by	by
militant	milit	militant
attacks	attack	attack
on	on	on
the	the	the
tourism	tourism	tourism
industry	industri	industry
.	.	.

We	we	We
are	are	are
preparing	prepar	preparing
an	an	an
economic	econom	economic
plan	plan	plan
to	to	to
relaunch	relaunch	relaunch
and	and	and
salvage	salvag	salvage
the	the	the
Tunisian	tunisian	Tunisian
economy	economi	economy
,	,	,
he	he	he
told	told	told
parliament	parliament	parliament
five	five	five
days	day	day
after	after	after
naming	name	naming
a	a	a
cabinet	cabinet	cabinet
that	that	that
includes	includ	includes
a	a	a
new	new	new
minister	minist	minister
in	in	in
charge	charg	charge
of	of	of
economic	econom	economic
reforms	reform	reform
.	.	.

This	this	This
is	is	is
needed	need	needed
to	to	to
balance	balanc	balance
our	our	our
finances	financ	finance
.	.	.

Chahed	chahe	Chahed
said	said	said
the	the	the
government	govern	government
aimed	aim	aimed
to	to	to
reduce	reduc	reduce
the	the	the
deficit	deficit	deficit
to	to	to
3	3	3
percent	percent	percent
of	of	of
gross	gross	gross
domestic	domest	domestic
product	product	product
by	by	by
2020	2020	2020
from	from	from
6	6	6
percent	percent	percent
expected	expect	expected
this	this	this
year	year	year
.	.	.

He	he	He
said	said	said
growth	growth	growth
was	was	wa
expected	expect	expected
to	to	to
hit	hit	hit
5	5	5
percent	percent	percent
that	that	that
year	year	year
;	;	;
in	in	in
the	the	the
first	first	first
half	half	half
of	of	of
this	this	this
year	year	year
,	,	,
the	the	the
economy	economi	economy
expanded	expand	expanded
by	by	by
1	1	1
.	.	.
9	9	9
percent	percent	percent
.	.	.

Backed	back	Backed
by	by	by
the	the	the
International	intern	International
Monetary	monetari	Monetary
Fund	fund	Fund
,	,	,
the	the	the
North	north	North
African	african	African
country	countri	country
is	is	is
looking	look	looking
to	to	to
reduce	reduc	reduce
subsidies	subsidi	subsidy
,	,	,
overhaul	overhaul	overhaul
its	it	it
pension	pension	pension
system	system	system
and	and	and
shrink	shrink	shrink
its	it	it
large	larg	large
public	public	public
sector	sector	sector
.	.	.

But	but	But
worries	worri	worry
over	over	over
social	social	social
unrest	unrest	unrest
have	have	have
kept	kept	kept
authorities	author	authority
from	from	from
advancing	advanc	advancing
with	with	with
reforms	reform	reform
.	.	.

Chahed	chahe	Chahed
said	said	said
the	the	the
government	govern	government
planned	plan	planned
to	to	to
reduce	reduc	reduce
the	the	the
public	public	public
wage	wage	wage
bill	bill	bill
to	to	to
around	around	around
12	12	12
.	.	.
5	5	5
percent	percent	percent
of	of	of
GDP	gdp	GDP
from	from	from
the	the	the
current	current	current
14	14	14
percent	percent	percent
-	-	-
one	one	one
of	of	of
the	the	the
highest	highest	highest
ratios	ratio	ratio
in	in	in
the	the	the
world	world	world
.	.	.

In	in	In
an	an	an
effort	effort	effort
to	to	to
boost	boost	boost
foreign	foreign	foreign
currency	currenc	currency
reserves	reserv	reserve
,	,	,
he	he	he
said	said	said
the	the	the
government	govern	government
would	would	would
also	also	also
loosen	loosen	loosen
currency	currenc	currency
controls	control	control
to	to	to
allow	allow	allow
Tunisians	tunisian	Tunisians
to	to	to
hold	hold	hold
foreign	foreign	foreign
currency	currenc	currency
accounts	account	account
locally	local	locally
and	and	and
introduce	introduc	introduce
an	an	an
amnesty	amnesti	amnesty
for	for	for
illicit	illicit	illicit
foreign	foreign	foreign
currency	currenc	currency
trade	trade	trade
.	.	.

