SEOUL	seoul	SEOUL
Reuters	reuter	Reuters
-	-	-
A	a	A
North	north	North
Korean	korean	Korean
court	court	court
sentenced	sentenc	sentenced
two	two	two
South	south	South
Korean	korean	Korean
journalists	journalist	journalist
and	and	and
their	their	their
publishers	publish	publisher
to	to	to
death	death	death
for	for	for
seriously	serious	seriously
insulting	insult	insulting
the	the	the
dignity	digniti	dignity
of	of	of
the	the	the
country	countri	country
by	by	by
reviewing	review	reviewing
and	and	and
interviewing	interview	interviewing
the	the	the
British	british	British
authors	author	author
of	of	of
a	a	a
book	book	book
about	about	about
life	life	life
in	in	in
the	the	the
North	north	North
,	,	,
its	it	it
state	state	state
media	media	medium
said	said	said
on	on	on
Thursday	thursday	Thursday
.	.	.
North	north	North
Korea	korea	Korea
has	has	ha
previously	previous	previously
issued	issu	issued
harshly	harsh	harshly
worded	word	worded
accusations	accus	accusation
against	against	against
South	south	South
Korean	korean	Korean
entities	entiti	entity
and	and	and
individuals	individu	individual
for	for	for
allegedly	alleg	allegedly
violating	violat	violating
its	it	it
dignity	digniti	dignity
,	,	,
by	by	by
slandering	slander	slandering
its	it	it
leadership	leadership	leadership
and	and	and
its	it	it
political	polit	political
system	system	system
.	.	.
The	the	The
book	book	book
in	in	in
English	english	English
titled	titl	titled
North	north	North
Korea	korea	Korea
Confidential	confidenti	Confidential
was	was	wa
authored	author	authored
by	by	by
James	jame	James
Pearson	pearson	Pearson
,	,	,
a	a	a
Seoul	seoul	Seoul
-based	-base	-based
correspondent	correspond	correspondent
for	for	for
Reuters	reuter	Reuters
,	,	,
and	and	and
Daniel	daniel	Daniel
Tudor	tudor	Tudor
,	,	,
former	former	former
correspondent	correspond	correspondent
in	in	in
South	south	South
Korea	korea	Korea
for	for	for
the	the	the
Economist	economist	Economist
magazine	magazin	magazine
.	.	.
The	the	The
book	book	book
,	,	,
based	base	based
on	on	on
interviews	interview	interview
with	with	with
North	north	North
Korean	korean	Korean
defectors	defector	defector
,	,	,
diplomats	diplomat	diplomat
and	and	and
traders	trader	trader
,	,	,
depicts	depict	depicts
a	a	a
growing	grow	growing
market	market	market
economy	economi	economy
where	where	where
ordinary	ordinari	ordinary
North	north	North
Koreans	korean	Koreans
enjoy	enjoy	enjoy
access	access	access
to	to	to
South	south	South
Korea	korea	Korea
music	music	music
and	and	and
TV	tv	TV
dramas	drama	drama
,	,	,
fashion	fashion	fashion
and	and	and
smuggled	smuggl	smuggled
Chinese	chines	Chinese
and	and	and
American	american	American
films	film	film
.	.	.
Pearson	pearson	Pearson
wrote	wrote	wrote
the	the	the
book	book	book
,	,	,
published	publish	published
in	in	in
2015	2015	2015
,	,	,
before	befor	before
joining	join	joining
Reuters	reuter	Reuters
.	.	.
The	the	The
Korean	korean	Korean
-language	-languag	-language
edition	edit	edition
,	,	,
published	publish	published
earlier	earlier	earlier
this	this	this
month	month	month
with	with	with
the	the	the
title	titl	title
translated	translat	translated
as	as	a
Capitalist	capitalist	Capitalist
Republic	republ	Republic
of	of	of
Korea	korea	Korea
,	,	,
was	was	wa
reviewed	review	reviewed
by	by	by
South	south	South
Korea	korea	Korea
s	s	s
Dong	dong	Dong
-A	-a	-A
Ilbo	ilbo	Ilbo
and	and	and
Chosun	chosun	Chosun
Ilbo	ilbo	Ilbo
newspapers	newspap	newspaper
.	.	.
A	a	A
spokesman	spokesman	spokesman
for	for	for
the	the	the
North	north	North
s	s	s
Central	central	Central
Court	court	Court
said	said	said
in	in	in
a	a	a
statement	statement	statement
carried	carri	carried
by	by	by
the	the	the
country	countri	country
s	s	s
official	offici	official
KCNA	kcna	KCNA
news	news	news
agency	agenc	agency
that	that	that
the	the	the
book	book	book
viciously	vicious	viciously
slandered	slander	slandered
the	the	the
reality	realiti	reality
of	of	of
the	the	the
DPRK	dprk	DPRK
,	,	,
the	the	the
initials	initi	initial
for	for	for
North	north	North
Korea	korea	Korea
s	s	s
official	offici	official
name	name	name
of	of	of
the	the	the
Democratic	democrat	Democratic
People	peopl	People
s	s	s
Republic	republ	Republic
of	of	of
Korea	korea	Korea
.	.	.
The	the	The
book	book	book
painted	paint	painted
life	life	life
in	in	in
the	the	the
country	countri	country
as	as	a
increasingly	increas	increasingly
capitalistic	capitalist	capitalistic
where	where	where
money	money	money
can	can	can
buy	buy	buy
power	power	power
and	and	and
influence	influenc	influence
,	,	,
the	the	the
spokesman	spokesman	spokesman
said	said	said
.	.	.
The	the	The
South	south	South
Korean	korean	Korean
journalists	journalist	journalist
who	who	who
reviewed	review	reviewed
the	the	the
book	book	book
committed	commit	committed
a	a	a
hideous	hideous	hideous
crime	crime	crime
of	of	of
seriously	serious	seriously
insulting	insult	insulting
the	the	the
dignity	digniti	dignity
of	of	of
the	the	the
DPRK	dprk	DPRK
with	with	with
the	the	the
use	use	use
of	of	of
dishonest	dishonest	dishonest
contents	content	content
carried	carri	carried
by	by	by
North	north	North
Korea	korea	Korea
Confidential	confidenti	Confidential
,	,	,
the	the	the
court	court	court
spokesman	spokesman	spokesman
said	said	said
.	.	.
The	the	The
Central	central	Central
Court	court	Court
has	has	ha
ordered	order	ordered
the	the	the
execution	execut	execution
of	of	of
the	the	the
journalists	journalist	journalist
,	,	,
Son	son	Son
Hyo	hyo	Hyo
-rim	-rim	-rim
of	of	of
the	the	the
Dong	dong	Dong
-A	-a	-A
Ilbo	ilbo	Ilbo
and	and	and
Yang	yang	Yang
Ji	ji	Ji
-ho	-ho	-ho
of	of	of
the	the	the
Chosun	chosun	Chosun
Ilbo	ilbo	Ilbo
,	,	,
and	and	and
the	the	the
publishers	publish	publisher
of	of	of
the	the	the
newspapers	newspap	newspaper
.	.	.
It	it	It
also	also	also
demanded	demand	demanded
the	the	the
South	south	South
Korean	korean	Korean
government	govern	government
investigate	investig	investigate
their	their	their
crimes	crime	crime
and	and	and
punish	punish	punish
them	them	them
,	,	,
the	the	the
state	state	state
media	media	medium
said	said	said
.	.	.
The	the	The
court	court	court
statement	statement	statement
did	did	did
not	not	not
make	make	make
any	ani	any
mention	mention	mention
of	of	of
punishment	punish	punishment
for	for	for
the	the	the
book	book	book
s	s	s
authors	author	author
.	.	.
A	a	A
Dong	dong	Dong
-A	-a	-A
Ilbo	ilbo	Ilbo
representative	repres	representative
said	said	said
the	the	the
newspaper	newspap	newspaper
declined	declin	declined
to	to	to
comment	comment	comment
and	and	and
its	it	it
reporter	report	reporter
Son	son	Son
did	did	did
not	not	not
immediately	immedi	immediately
respond	respond	respond
to	to	to
a	a	a
request	request	request
for	for	for
comment	comment	comment
.	.	.
Chosun	chosun	Chosun
Ilbo	ilbo	Ilbo
reporter	report	reporter
Yang	yang	Yang
declined	declin	declined
to	to	to
comment	comment	comment
while	while	while
a	a	a
newspaper	newspap	newspaper
representative	repres	representative
could	could	could
not	not	not
be	be	be
immediately	immedi	immediately
reached	reach	reached
for	for	for
comment	comment	comment
.	.	.
Tudor	tudor	Tudor
,	,	,
the	the	the
co	co	co
-author	-author	-author
of	of	of
the	the	the
book	book	book
,	,	,
declined	declin	declined
to	to	to
comment	comment	comment
.	.	.
A	a	A
Reuters	reuter	Reuters
spokeswoman	spokeswoman	spokeswoman
declined	declin	declined
to	to	to
comment	comment	comment
.	.	.
Dong	dong	Dong
-A	-a	-A
Ilbo	ilbo	Ilbo
,	,	,
Chosun	chosun	Chosun
Ilbo	ilbo	Ilbo
and	and	and
other	other	other
conservative	conserv	conservative
media	media	medium
in	in	in
South	south	South
Korea	korea	Korea
have	have	have
so	so	so
far	far	far
committed	commit	committed
smear	smear	smear
campaign	campaign	campaign
against	against	against
the	the	the
DPRK	dprk	DPRK
nonstop	nonstop	nonstop
,	,	,
KCNA	kcna	KCNA
quoted	quot	quoted
the	the	the
court	court	court
as	as	a
saying	say	saying
.	.	.
The	the	The
criminals	crimin	criminal
hold	hold	hold
no	no	no
right	right	right
to	to	to
appeal	appeal	appeal
and	and	and
the	the	the
execution	execut	execution
will	will	will
be	be	be
carried	carri	carried
out	out	out
any	ani	any
moment	moment	moment
and	and	and
at	at	at
any	ani	any
place	place	place
without	without	without
going	go	going
through	through	through
any	ani	any
additional	addit	additional
procedures	procedur	procedure
.	.	.
