ISTANBUL	istanbul	ISTANBUL
KHARTOUM	khartoum	KHARTOUM
Reuters	reuter	Reuters
-	-	-
Turkey	turkey	Turkey
will	will	will
rebuild	rebuild	rebuild
a	a	a
ruined	ruin	ruined
Ottoman	ottoman	Ottoman
port	port	port
city	citi	city
on	on	on
Sudan	sudan	Sudan
s	s	s
Red	red	Red
Sea	sea	Sea
coast	coast	coast
and	and	and
construct	construct	construct
a	a	a
naval	naval	naval
dock	dock	dock
to	to	to
maintain	maintain	maintain
civilian	civilian	civilian
and	and	and
military	militari	military
vessels	vessel	vessel
,	,	,
Sudan	sudan	Sudan
s	s	s
foreign	foreign	foreign
minister	minist	minister
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
as	as	a
Ankara	ankara	Ankara
expands	expand	expands
military	militari	military
and	and	and
economic	econom	economic
ties	tie	tie
in	in	in
Africa	africa	Africa
.	.	.
The	the	The
restoration	restor	restoration
at	at	at
Suakin	suakin	Suakin
was	was	wa
agreed	agre	agreed
during	dure	during
a	a	a
visit	visit	visit
to	to	to
the	the	the
ancient	ancient	ancient
port	port	port
by	by	by
Turkish	turkish	Turkish
President	presid	President
Tayyip	tayyip	Tayyip
Erdogan	erdogan	Erdogan
,	,	,
Foreign	foreign	Foreign
Minister	minist	Minister
Ibrahim	ibrahim	Ibrahim
Ghandour	ghandour	Ghandour
said	said	said
.	.	.
Making	make	Making
the	the	the
first	first	first
trip	trip	trip
by	by	by
a	a	a
Turkish	turkish	Turkish
president	presid	president
to	to	to
Sudan	sudan	Sudan
,	,	,
Erdogan	erdogan	Erdogan
said	said	said
Turkey	turkey	Turkey
had	had	had
been	been	been
temporarily	temporarili	temporarily
granted	grant	granted
part	part	part
of	of	of
Suakin	suakin	Suakin
so	so	so
it	it	it
could	could	could
rebuild	rebuild	rebuild
the	the	the
area	area	area
as	as	a
a	a	a
tourist	tourist	tourist
site	site	site
and	and	and
a	a	a
transit	transit	transit
point	point	point
for	for	for
pilgrims	pilgrim	pilgrim
crossing	cross	crossing
the	the	the
Red	red	Red
Sea	sea	Sea
to	to	to
Mecca	mecca	Mecca
.	.	.
He	he	He
said	said	said
the	the	the
Suakin	suakin	Suakin
deal	deal	deal
was	was	wa
one	one	one
of	of	of
several	sever	several
,	,	,
worth	worth	worth
650	650	650
million	million	million
in	in	in
total	total	total
,	,	,
agreed	agre	agreed
with	with	with
Sudan	sudan	Sudan
,	,	,
which	which	which
emerged	emerg	emerged
from	from	from
two	two	two
decades	decad	decade
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
sanctions	sanction	sanction
in	in	in
October	octob	October
and	and	and
is	is	is
seeking	seek	seeking
to	to	to
attract	attract	attract
international	intern	international
investment	invest	investment
.	.	.
The	the	The
countries	countri	country
also	also	also
agreed	agre	agreed
to	to	to
build	build	build
a	a	a
dock	dock	dock
to	to	to
maintain	maintain	maintain
civilian	civilian	civilian
and	and	and
military	militari	military
vessels	vessel	vessel
,	,	,
Ghandour	ghandour	Ghandour
told	told	told
reporters	report	reporter
,	,	,
adding	ad	adding
that	that	that
they	they	they
had	had	had
signed	sign	signed
an	an	an
agreement	agreement	agreement
that	that	that
could	could	could
result	result	result
in	in	in
any	ani	any
kind	kind	kind
of	of	of
military	militari	military
cooperation	cooper	cooperation
.	.	.
The	the	The
agreements	agreement	agreement
come	come	come
three	three	three
months	month	month
after	after	after
Turkey	turkey	Turkey
formally	formal	formally
opened	open	opened
a	a	a
50	50	50
million	million	million
military	militari	military
training	train	training
base	base	base
in	in	in
Somalia	somalia	Somalia
as	as	a
it	it	it
exerts	exert	exerts
increasing	increas	increasing
influence	influenc	influence
in	in	in
the	the	the
region	region	region
.	.	.
Suakin	suakin	Suakin
was	was	wa
Sudan	sudan	Sudan
s	s	s
major	major	major
port	port	port
when	when	when
it	it	it
was	was	wa
ruled	rule	ruled
by	by	by
the	the	the
Ottoman	ottoman	Ottoman
Empire	empir	Empire
,	,	,
but	but	but
fell	fell	fell
into	into	into
disuse	disus	disuse
over	over	over
the	the	the
last	last	last
century	centuri	century
after	after	after
the	the	the
construction	construct	construction
of	of	of
Port	port	Port
Sudan	sudan	Sudan
,	,	,
35	35	35
miles	mile	mile
60	60	60
km	km	km
to	to	to
the	the	the
north	north	north
.	.	.
Speaking	speak	Speaking
on	on	on
Monday	monday	Monday
in	in	in
Khartoum	khartoum	Khartoum
,	,	,
Erdogan	erdogan	Erdogan
said	said	said
the	the	the
refurbished	refurbish	refurbished
port	port	port
city	citi	city
would	would	would
attract	attract	attract
Mecca	mecca	Mecca
-bound	-bound	-bound
pilgrims	pilgrim	pilgrim
who	who	who
would	would	would
want	want	want
to	to	to
see	see	see
the	the	the
island	island	island
s	s	s
history	histori	history
,	,	,
helping	help	helping
Sudan	sudan	Sudan
s	s	s
tourism	tourism	tourism
sector	sector	sector
.	.	.
Imagine	imagin	Imagine
,	,	,
people	peopl	people
from	from	from
Turkey	turkey	Turkey
wishing	wish	wishing
to	to	to
go	go	go
on	on	on
pilgrimage	pilgrimag	pilgrimage
will	will	will
come	come	come
and	and	and
visit	visit	visit
the	the	the
historical	histor	historical
areas	area	area
on	on	on
Suakin	suakin	Suakin
Island	island	Island
,	,	,
Erdogan	erdogan	Erdogan
said	said	said
.	.	.
From	from	From
there	there	there
.	.	.
.	.	.
.	.	.
they	they	they
will	will	will
cross	cross	cross
to	to	to
Jeddah	jeddah	Jeddah
by	by	by
boat	boat	boat
.	.	.
The	the	The
other	other	other
agreements	agreement	agreement
signed	sign	signed
during	dure	during
Erdogan	erdogan	Erdogan
s	s	s
visit	visit	visit
include	includ	include
Turkish	turkish	Turkish
investment	invest	investment
to	to	to
build	build	build
Khartoum	khartoum	Khartoum
s	s	s
planned	plan	planned
new	new	new
airport	airport	airport
and	and	and
private	privat	private
sector	sector	sector
investments	invest	investment
in	in	in
cotton	cotton	cotton
production	product	production
,	,	,
electricity	electr	electricity
generation	generat	generation
and	and	and
building	build	building
grain	grain	grain
silos	silo	silo
and	and	and
meat	meat	meat
slaughterhouses	slaughterhous	slaughterhouse
.	.	.
Erdogan	erdogan	Erdogan
and	and	and
Bashir	bashir	Bashir
said	said	said
they	they	they
aimed	aim	aimed
for	for	for
trade	trade	trade
between	between	between
the	the	the
two	two	two
countries	countri	country
to	to	to
reach	reach	reach
10	10	10
billion	billion	billion
,	,	,
Turkey	turkey	Turkey
s	s	s
Foreign	foreign	Foreign
Economic	econom	Economic
Relations	relat	Relations
Board	board	Board
said	said	said
.	.	.
In	in	In
October	octob	October
,	,	,
the	the	the
United	unit	United
States	state	States
lifted	lift	lifted
a	a	a
trade	trade	trade
embargo	embargo	embargo
and	and	and
other	other	other
penalties	penalti	penalty
that	that	that
had	had	had
cut	cut	cut
Sudan	sudan	Sudan
off	off	off
from	from	from
much	much	much
of	of	of
the	the	the
global	global	global
financial	financi	financial
system	system	system
.	.	.
Sudan	sudan	Sudan
s	s	s
state	state	state
minister	minist	minister
for	for	for
investment	invest	investment
has	has	ha
said	said	said
he	he	he
aims	aim	aim
to	to	to
attract	attract	attract
investment	invest	investment
of	of	of
10	10	10
billion	billion	billion
a	a	a
year	year	year
,	,	,
compared	compar	compared
to	to	to
1	1	1
billion	billion	billion
estimated	estim	estimated
by	by	by
the	the	the
United	unit	United
Nations	nation	Nations
for	for	for
2016	2016	2016
.	.	.
