BANGKOK	bangkok	BANGKOK
Reuters	reuter	Reuters
-	-	-
Thai	thai	Thai
airlines	airlin	airline
can	can	can
now	now	now
add	add	add
flights	flight	flight
to	to	to
the	the	the
growing	grow	growing
China	china	China
,	,	,
South	south	South
Korea	korea	Korea
and	and	and
Japan	japan	Japan
markets	market	market
after	after	after
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
International	intern	International
Civil	civil	Civil
Aviation	aviat	Aviation
Organization	organ	Organization
removed	remov	removed
a	a	a
red	red	red
flag	flag	flag
against	against	against
Thailand	thailand	Thailand
over	over	over
safety	safeti	safety
concerns	concern	concern
,	,	,
officials	offici	official
said	said	said
on	on	on
Monday	monday	Monday
.	.	.
Thailand	thailand	Thailand
was	was	wa
downgraded	downgrad	downgraded
in	in	in
June	june	June
2015	2015	2015
after	after	after
its	it	it
regulator	regul	regulator
missed	miss	missed
a	a	a
deadline	deadlin	deadline
to	to	to
resolve	resolv	resolve
significant	signific	significant
safety	safeti	safety
concerns	concern	concern
,	,	,
meaning	mean	meaning
that	that	that
airlines	airlin	airline
were	were	were
unable	unabl	unable
to	to	to
add	add	add
further	further	further
international	intern	international
routes	rout	route
,	,	,
though	though	though
they	they	they
could	could	could
continue	continu	continue
to	to	to
operate	oper	operate
routine	routin	routine
flights	flight	flight
.	.	.
The	the	The
Civil	civil	Civil
Aviation	aviat	Aviation
Authority	author	Authority
of	of	of
Thailand	thailand	Thailand
CAAT	caat	CAAT
said	said	said
the	the	the
ICAO	icao	ICAO
had	had	had
made	made	made
the	the	the
decision	decis	decision
after	after	after
a	a	a
meeting	meet	meeting
on	on	on
Friday	friday	Friday
.	.	.
The	the	The
Montreal	montreal	Montreal
-based	-base	-based
U	u	U
.	.	.
N	n	N
.	.	.
agency	agenc	agency
was	was	wa
not	not	not
immediately	immedi	immediately
available	avail	available
for	for	for
comment	comment	comment
,	,	,
but	but	but
the	the	the
red	red	red
flag	flag	flag
which	which	which
appeared	appear	appeared
against	against	against
Thailand	thailand	Thailand
on	on	on
its	it	it
website	websit	website
had	had	had
disappeared	disappear	disappeared
.	.	.
Although	although	Although
lifting	lift	lifting
the	the	the
red	red	red
flag	flag	flag
is	is	is
a	a	a
significant	signific	significant
turning	turn	turning
point	point	point
for	for	for
her	her	her
aviation	aviat	aviation
industry	industri	industry
,	,	,
Thailand	thailand	Thailand
as	as	a
well	well	well
as	as	a
CAAT	caat	CAAT
need	need	need
to	to	to
carry	carri	carry
on	on	on
their	their	their
missions	mission	mission
to	to	to
improve	improv	improve
the	the	the
aviation	aviat	aviation
safety	safeti	safety
standards	standard	standard
,	,	,
the	the	the
CAAT	caat	CAAT
said	said	said
on	on	on
its	it	it
website	websit	website
.	.	.
Shares	share	Shares
in	in	in
Thai	thai	Thai
Airways	airway	Airways
climbed	climb	climbed
nearly	near	nearly
8	8	8
percent	percent	percent
on	on	on
the	the	the
news	news	news
before	befor	before
falling	fall	falling
back	back	back
to	to	to
trade	trade	trade
at	at	at
over	over	over
5	5	5
percent	percent	percent
higher	higher	higher
.	.	.
Shares	share	Shares
in	in	in
Asia	asia	Asia
Aviation	aviat	Aviation
,	,	,
which	which	which
operates	oper	operates
as	as	a
Thai	thai	Thai
Air	air	Air
Asia	asia	Asia
,	,	,
rose	rose	rose
as	as	a
much	much	much
as	as	a
5	5	5
percent	percent	percent
and	and	and
later	later	later
traded	trade	traded
up	up	up
nearly	near	nearly
4	4	4
percent	percent	percent
.	.	.
Shares	share	Shares
in	in	in
airport	airport	airport
operator	oper	operator
Airports	airport	Airports
of	of	of
Thailand	thailand	Thailand
rose	rose	rose
over	over	over
2	2	2
percent	percent	percent
.	.	.
The	the	The
biggest	biggest	biggest
beneficiaries	beneficiari	beneficiary
would	would	would
be	be	be
smaller	smaller	smaller
carriers	carrier	carrier
,	,	,
such	such	such
as	as	a
Thai	thai	Thai
AirAsia	airasia	AirAsia
X	x	X
,	,	,
NokScoot	nokscoot	NokScoot
and	and	and
Thai	thai	Thai
Lion	lion	Lion
,	,	,
said	said	said
Corrine	corrin	Corrine
Png	png	Png
,	,	,
the	the	the
CEO	ceo	CEO
of	of	of
Singapore	singapor	Singapore
-based	-base	-based
transport	transport	transport
research	research	research
firm	firm	firm
Crucial	crucial	Crucial
Perspective	perspect	Perspective
.	.	.
The	the	The
ICAO	icao	ICAO
downgrade	downgrad	downgrade
had	had	had
seriously	serious	seriously
impeded	imped	impeded
these	these	these
new	new	new
entrants	entrant	entrant
growth	growth	growth
to	to	to
lucrative	lucrat	lucrative
markets	market	market
such	such	such
as	as	a
Japan	japan	Japan
and	and	and
South	south	South
Korea	korea	Korea
,	,	,
she	she	she
said	said	said
.	.	.
These	these	These
airlines	airlin	airline
can	can	can
now	now	now
grow	grow	grow
more	more	more
aggressively	aggress	aggressively
.	.	.
This	this	This
would	would	would
,	,	,
however	howev	however
,	,	,
imply	impli	imply
increased	increas	increased
competition	competit	competition
for	for	for
Thai	thai	Thai
Airways	airway	Airways
when	when	when
they	they	they
expand	expand	expand
.	.	.
Thai	thai	Thai
AirAsia	airasia	AirAsia
X	x	X
CEO	ceo	CEO
Nadda	nadda	Nadda
Buranasiri	buranasiri	Buranasiri
said	said	said
his	his	his
airline	airlin	airline
was	was	wa
studying	studi	studying
new	new	new
routes	rout	route
,	,	,
including	includ	including
to	to	to
Hokkaido	hokkaido	Hokkaido
in	in	in
Japan	japan	Japan
,	,	,
after	after	after
the	the	the
red	red	red
flag	flag	flag
was	was	wa
lifted	lift	lifted
.	.	.
We	we	We
will	will	will
likely	like	likely
increase	increas	increase
routes	rout	route
and	and	and
frequencies	frequenc	frequency
for	for	for
China	china	China
,	,	,
South	south	South
Korea	korea	Korea
,	,	,
and	and	and
Japan	japan	Japan
,	,	,
he	he	he
told	told	told
Reuters	reuter	Reuters
on	on	on
Monday	monday	Monday
,	,	,
adding	ad	adding
Thai	thai	Thai
AirAsia	airasia	AirAsia
X	x	X
now	now	now
hoped	hope	hoped
to	to	to
add	add	add
three	three	three
to	to	to
four	four	four
aircraft	aircraft	aircraft
to	to	to
its	it	it
fleet	fleet	fleet
next	next	next
year	year	year
.	.	.
Nok	nok	Nok
Airlines	airlin	Airlines
PCL	pcl	PCL
Vice	vice	Vice
Chairman	chairman	Chairman
Patee	pate	Patee
Sarasin	sarasin	Sarasin
said	said	said
new	new	new
routes	rout	route
would	would	would
be	be	be
added	ad	added
as	as	a
slots	slot	slot
became	becam	became
available	avail	available
.	.	.
Thai	thai	Thai
Airways	airway	Airways
lacks	lack	lack
enough	enough	enough
aircraft	aircraft	aircraft
to	to	to
take	take	take
advantage	advantag	advantage
of	of	of
the	the	the
situation	situat	situation
and	and	and
expects	expect	expects
rivals	rival	rival
will	will	will
boost	boost	boost
routes	rout	route
to	to	to
other	other	other
Asian	asian	Asian
countries	countri	country
,	,	,
said	said	said
a	a	a
source	sourc	source
at	at	at
the	the	the
national	nation	national
carrier	carrier	carrier
who	who	who
declined	declin	declined
to	to	to
be	be	be
named	name	named
because	becaus	because
he	he	he
wasn	wasn	wasn
t	t	t
authorized	author	authorized
to	to	to
speak	speak	speak
to	to	to
the	the	the
media	media	medium
.	.	.
Thai	thai	Thai
Airways	airway	Airways
declined	declin	declined
to	to	to
comment	comment	comment
.	.	.
CAAT	caat	CAAT
director	director	director
general	general	general
Chula	chula	Chula
Sukmanop	sukmanop	Sukmanop
told	told	told
a	a	a
news	news	news
conference	confer	conference
that	that	that
he	he	he
expected	expect	expected
Thailand	thailand	Thailand
would	would	would
regain	regain	regain
a	a	a
Category	categori	Category
One	one	One
status	status	status
from	from	from
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Department	depart	Department
of	of	of
Transportation	transport	Transportation
s	s	s
Federal	feder	Federal
Aviation	aviat	Aviation
Administration	administr	Administration
FAA	faa	FAA
,	,	,
which	which	which
also	also	also
downgraded	downgrad	downgraded
Thailand	thailand	Thailand
in	in	in
2015	2015	2015
.	.	.
The	the	The
FAA	faa	FAA
downgrade	downgrad	downgrade
meant	meant	meant
Thai	thai	Thai
carriers	carrier	carrier
could	could	could
not	not	not
start	start	start
new	new	new
routes	rout	route
to	to	to
the	the	the
United	unit	United
States	state	States
.	.	.
The	the	The
CAAT	caat	CAAT
said	said	said
its	it	it
aim	aim	aim
was	was	wa
to	to	to
be	be	be
at	at	at
the	the	the
world	world	world
s	s	s
forefront	forefront	forefront
in	in	in
safety	safeti	safety
and	and	and
reach	reach	reach
the	the	the
global	global	global
average	averag	average
in	in	in
each	each	each
safety	safeti	safety
category	categori	category
.	.	.
Actions	action	Actions
were	were	were
still	still	still
needed	need	needed
to	to	to
address	address	address
findings	find	finding
of	of	of
an	an	an
ICAO	icao	ICAO
inspection	inspect	inspection
in	in	in
January	januari	January
2015	2015	2015
and	and	and
an	an	an
audit	audit	audit
in	in	in
July	juli	July
,	,	,
it	it	it
said	said	said
.	.	.
ICAO	icao	ICAO
s	s	s
red	red	red
flag	flag	flag
was	was	wa
based	base	based
on	on	on
its	it	it
audit	audit	audit
of	of	of
the	the	the
regulatory	regulatori	regulatory
body	bodi	body
,	,	,
rather	rather	rather
than	than	than
individual	individu	individual
airlines	airlin	airline
.	.	.
Some	some	Some
major	major	major
Thai	thai	Thai
airlines	airlin	airline
,	,	,
including	includ	including
Thai	thai	Thai
Airways	airway	Airways
,	,	,
Bangkok	bangkok	Bangkok
Airways	airway	Airways
,	,	,
Thai	thai	Thai
Lion	lion	Lion
and	and	and
NokScoot	nokscoot	NokScoot
,	,	,
have	have	have
passed	pass	passed
the	the	the
International	intern	International
Air	air	Air
Transport	transport	Transport
Association	associ	Association
Operational	oper	Operational
Safety	safeti	Safety
Audit	audit	Audit
,	,	,
a	a	a
benchmark	benchmark	benchmark
for	for	for
global	global	global
safety	safeti	safety
management	manag	management
in	in	in
airlines	airlin	airline
.	.	.
Aviation	aviat	Aviation
safety	safeti	safety
is	is	is
particularly	particular	particularly
important	import	important
for	for	for
Thailand	thailand	Thailand
given	given	given
that	that	that
tourism	tourism	tourism
accounts	account	account
for	for	for
around	around	around
12	12	12
percent	percent	percent
of	of	of
its	it	it
economy	economi	economy
,	,	,
the	the	the
second	second	second
largest	largest	largest
in	in	in
Asia	asia	Asia
.	.	.
The	the	The
countries	countri	country
which	which	which
still	still	still
have	have	have
red	red	red
flags	flag	flag
against	against	against
them	them	them
are	are	are
Djibouti	djibouti	Djibouti
,	,	,
Eritrea	eritrea	Eritrea
,	,	,
Haiti	haiti	Haiti
,	,	,
Kyrgyzstan	kyrgyzstan	Kyrgyzstan
and	and	and
Malawi	malawi	Malawi
,	,	,
according	accord	according
to	to	to
the	the	the
ICAO	icao	ICAO
list	list	list
.	.	.
