WILMINGTON	wilmington	WILMINGTON
,	,	,
Del	del	Del
.	.	.

Reuters	reuter	Reuters
-	-	-
Puerto	puerto	Puerto
Rico	rico	Rico
s	s	s
bankruptcy	bankruptci	bankruptcy
,	,	,
aimed	aim	aimed
at	at	at
restructuring	restructur	restructuring
72	72	72
billion	billion	billion
of	of	of
debt	debt	debt
,	,	,
violates	violat	violates
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Constitution	constitut	Constitution
and	and	and
should	should	should
be	be	be
dismissed	dismiss	dismissed
,	,	,
the	the	the
Aurelius	aurelius	Aurelius
Capital	capit	Capital
Management	manag	Management
hedge	hedg	hedge
fund	fund	fund
said	said	said
in	in	in
a	a	a
court	court	court
filing	file	filing
on	on	on
Monday	monday	Monday
.	.	.

The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
commonwealth	commonwealth	commonwealth
s	s	s
federally	feder	federally
appointed	appoint	appointed
oversight	oversight	oversight
board	board	board
initiated	initi	initiated
its	it	it
debt	debt	debt
-cutting	-cut	-cutting
proceeding	proceed	proceeding
in	in	in
May	may	May
under	under	under
a	a	a
law	law	law
known	known	known
as	as	a
PROMESA	promesa	PROMESA
.	.	.

Puerto	puerto	Puerto
Rico	rico	Rico
is	is	is
barred	bar	barred
from	from	from
traditional	tradit	traditional
municipal	municip	municipal
bankruptcy	bankruptci	bankruptcy
protection	protect	protection
under	under	under
Chapter	chapter	Chapter
9	9	9
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
code	code	code
.	.	.

Affiliates	affili	Affiliates
of	of	of
Aurelius	aurelius	Aurelius
argued	argu	argued
in	in	in
court	court	court
papers	paper	paper
that	that	that
the	the	the
creation	creation	creation
of	of	of
the	the	the
oversight	oversight	oversight
board	board	board
violated	violat	violated
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Constitution	constitut	Constitution
s	s	s
Appointments	appoint	Appointments
Clause	claus	Clause
.	.	.

Aurelius	aurelius	Aurelius
said	said	said
board	board	board
members	member	member
answer	answer	answer
only	onli	only
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
president	presid	president
,	,	,
yet	yet	yet
their	their	their
appointments	appoint	appointment
were	were	were
never	never	never
confirmed	confirm	confirmed
by	by	by
the	the	the
Senate	senat	Senate
.	.	.

Six	six	Six
of	of	of
seven	seven	seven
members	member	member
were	were	were
essentially	essenti	essentially
hand	hand	hand
-picked	-pick	-picked
by	by	by
Congress	congress	Congress
,	,	,
violating	violat	violating
the	the	the
principle	principl	principle
of	of	of
the	the	the
separation	separ	separation
of	of	of
powers	power	power
,	,	,
the	the	the
hedge	hedg	hedge
fund	fund	fund
said	said	said
.	.	.

The	the	The
fund	fund	fund
,	,	,
known	known	known
for	for	for
its	it	it
years	year	year
-long	-long	-long
battle	battl	battle
with	with	with
Argentina	argentina	Argentina
over	over	over
its	it	it
defaulted	default	defaulted
debt	debt	debt
,	,	,
seeks	seek	seek
to	to	to
bar	bar	bar
the	the	the
oversight	oversight	oversight
board	board	board
from	from	from
operating	oper	operating
until	until	until
it	it	it
has	has	ha
been	been	been
validly	valid	validly
constituted	constitut	constituted
.	.	.

Aurelius	aurelius	Aurelius
holds	hold	hold
roughly	rough	roughly
468	468	468
million	million	million
worth	worth	worth
of	of	of
debt	debt	debt
guaranteed	guarante	guaranteed
by	by	by
Puerto	puerto	Puerto
Rico	rico	Rico
s	s	s
constitution	constitut	constitution
.	.	.

The	the	The
hedge	hedg	hedge
fund	fund	fund
,	,	,
run	run	run
by	by	by
Mark	mark	Mark
Brodsky	brodski	Brodsky
,	,	,
is	is	is
known	known	known
for	for	for
buying	buy	buying
distressed	distress	distressed
debt	debt	debt
and	and	and
pursuing	pursu	pursuing
aggressive	aggress	aggressive
litigation	litig	litigation
tactics	tactic	tactic
to	to	to
boost	boost	boost
recoveries	recoveri	recovery
.	.	.

In	in	In
the	the	the
Argentina	argentina	Argentina
case	case	case
,	,	,
the	the	the
fund	fund	fund
participated	particip	participated
in	in	in
numerous	numer	numerous
legal	legal	legal
actions	action	action
,	,	,
including	includ	including
an	an	an
unsuccessful	unsuccess	unsuccessful
attempt	attempt	attempt
to	to	to
attach	attach	attach
Argentine	argentin	Argentine
pension	pension	pension
and	and	and
retirement	retir	retirement
funds	fund	fund
located	locat	located
in	in	in
U	u	U
.	.	.
S	s	S
.	.	.
banks	bank	bank
.	.	.

The	the	The
firm	firm	firm
was	was	wa
one	one	one
of	of	of
many	mani	many
parties	parti	party
that	that	that
settled	settl	settled
with	with	with
Argentina	argentina	Argentina
in	in	in
2016	2016	2016
.	.	.

Creditors	creditor	Creditors
were	were	were
among	among	among
those	those	those
who	who	who
lobbied	lobbi	lobbied
most	most	most
aggressively	aggress	aggressively
for	for	for
the	the	the
appointment	appoint	appointment
of	of	of
a	a	a
board	board	board
in	in	in
Puerto	puerto	Puerto
Rico	rico	Rico
,	,	,
believing	believ	believing
it	it	it
would	would	would
support	support	support
investor	investor	investor
-friendly	-friend	-friendly
policies	polici	policy
.	.	.

But	but	But
the	the	the
board	board	board
has	has	ha
lost	lost	lost
allies	alli	ally
in	in	in
the	the	the
creditor	creditor	creditor
community	communiti	community
after	after	after
it	it	it
sought	sought	sought
to	to	to
impose	impos	impose
severe	sever	severe
losses	loss	loss
on	on	on
creditors	creditor	creditor
even	even	even
as	as	a
it	it	it
has	has	ha
also	also	also
pushed	push	pushed
Puerto	puerto	Puerto
Rico	rico	Rico
to	to	to
impose	impos	impose
austerity	auster	austerity
measures	measur	measure
.	.	.

Puerto	puerto	Puerto
Rico	rico	Rico
,	,	,
with	with	with
72	72	72
billion	billion	billion
in	in	in
debt	debt	debt
,	,	,
a	a	a
45	45	45
percent	percent	percent
poverty	poverti	poverty
rate	rate	rate
and	and	and
near	near	near
-insolvent	-insolv	-insolvent
public	public	public
health	health	health
and	and	and
pension	pension	pension
systems	system	system
,	,	,
filed	file	filed
the	the	the
largest	largest	largest
municipal	municip	municipal
bankruptcy	bankruptci	bankruptcy
in	in	in
U	u	U
.	.	.
S	s	S
.	.	.
history	histori	history
in	in	in
May	may	May
.	.	.

It	it	It
was	was	wa
the	the	the
board	board	board
that	that	that
technically	technic	technically
filed	file	filed
the	the	the
bankruptcy	bankruptci	bankruptcy
,	,	,
under	under	under
the	the	the
2016	2016	2016
Puerto	puerto	Puerto
Rico	rico	Rico
rescue	rescu	rescue
law	law	law
known	known	known
as	as	a
PROMESA	promesa	PROMESA
.	.	.

The	the	The
law	law	law
allows	allow	allows
the	the	the
board	board	board
to	to	to
essentially	essenti	essentially
step	step	step
