BENGHAZI	benghazi	BENGHAZI
,	,	,
Libya	libya	Libya
Reuters	reuter	Reuters
-	-	-
Medical	medic	Medical
staff	staff	staff
in	in	in
the	the	the
southern	southern	southern
Libyan	libyan	Libyan
city	citi	city
of	of	of
Sabha	sabha	Sabha
said	said	said
on	on	on
Monday	monday	Monday
they	they	they
were	were	were
suspending	suspend	suspending
work	work	work
for	for	for
10	10	10
days	day	day
in	in	in
protest	protest	protest
over	over	over
poor	poor	poor
security	secur	security
after	after	after
a	a	a
doctor	doctor	doctor
was	was	wa
kidnapped	kidnap	kidnapped
.	.	.
Health	health	Health
services	servic	service
in	in	in
Libya	libya	Libya
have	have	have
been	been	been
severely	sever	severely
disrupted	disrupt	disrupted
by	by	by
years	year	year
of	of	of
conflict	conflict	conflict
with	with	with
the	the	the
remote	remot	remote
south	south	south
particularly	particular	particularly
affected	affect	affected
.	.	.
Salem	salem	Salem
al	al	al
-Selhab	-selhab	-Selhab
,	,	,
who	who	who
worked	work	worked
in	in	in
the	the	the
surgical	surgic	surgical
department	depart	department
of	of	of
the	the	the
Sabha	sabha	Sabha
Medical	medic	Medical
Centre	centr	Centre
,	,	,
the	the	the
biggest	biggest	biggest
hospital	hospit	hospital
in	in	in
southern	southern	southern
Libya	libya	Libya
,	,	,
was	was	wa
kidnapped	kidnap	kidnapped
by	by	by
an	an	an
unknown	unknown	unknown
group	group	group
on	on	on
Thursday	thursday	Thursday
evening	even	evening
.	.	.
For	for	For
a	a	a
long	long	long
time	time	time
the	the	the
medical	medic	medical
staff	staff	staff
of	of	of
the	the	the
Sabha	sabha	Sabha
Medical	medic	Medical
Centre	centr	Centre
have	have	have
suffered	suffer	suffered
attacks	attack	attack
,	,	,
abuse	abus	abuse
and	and	and
been	been	been
shot	shot	shot
at	at	at
,	,	,
said	said	said
Osama	osama	Osama
al	al	al
-Wafi	-wafi	-Wafi
,	,	,
a	a	a
spokesman	spokesman	spokesman
for	for	for
the	the	the
center	center	center
,	,	,
adding	ad	adding
that	that	that
Selhab	selhab	Selhab
s	s	s
kidnapping	kidnap	kidnapping
was	was	wa
a	a	a
serious	serious	serious
setback	setback	setback
.	.	.
This	this	This
doctor	doctor	doctor
was	was	wa
very	veri	very
important	import	important
,	,	,
he	he	he
said	said	said
.	.	.
Staff	staff	Staff
at	at	at
the	the	the
center	center	center
and	and	and
at	at	at
private	privat	private
clinics	clinic	clinic
in	in	in
the	the	the
city	citi	city
announced	announc	announced
a	a	a
10	10	10
-day	-day	-day
strike	strike	strike
on	on	on
Sunday	sunday	Sunday
to	to	to
demand	demand	demand
Selhab	selhab	Selhab
s	s	s
release	releas	release
and	and	and
the	the	the
provision	provis	provision
of	of	of
security	secur	security
for	for	for
medical	medic	medical
staff	staff	staff
.	.	.
Sabha	sabha	Sabha
is	is	is
a	a	a
major	major	major
hub	hub	hub
for	for	for
the	the	the
smuggling	smuggl	smuggling
of	of	of
migrants	migrant	migrant
toward	toward	toward
Libya	libya	Libya
s	s	s
northern	northern	northern
coast	coast	coast
,	,	,
some	some	some
of	of	of
whom	whom	whom
seek	seek	seek
treatment	treatment	treatment
in	in	in
local	local	local
medical	medic	medical
facilities	facil	facility
.	.	.
The	the	The
Sabha	sabha	Sabha
Medical	medic	Medical
Centre	centr	Centre
receives	receiv	receives
70	70	70
percent	percent	percent
of	of	of
its	it	it
backing	back	backing
from	from	from
international	intern	international
organizations	organ	organization
in	in	in
the	the	the
absence	absenc	absence
of	of	of
state	state	state
support	support	support
from	from	from
rival	rival	rival
governments	govern	government
in	in	in
Tripoli	tripoli	Tripoli
and	and	and
the	the	the
east	east	east
,	,	,
said	said	said
Wafi	wafi	Wafi
.	.	.
We	we	We
suffer	suffer	suffer
greatly	great	greatly
from	from	from
a	a	a
shortage	shortag	shortage
of	of	of
medicines	medicin	medicine
,	,	,
political	polit	political
division	divis	division
and	and	and
lack	lack	lack
of	of	of
support	support	support
,	,	,
he	he	he
said	said	said
.	.	.
The	the	The
World	world	World
Health	health	Health
Organization	organ	Organization
WHO	who	WHO
,	,	,
one	one	one
of	of	of
the	the	the
international	intern	international
bodies	bodi	body
to	to	to
provide	provid	provide
Sabha	sabha	Sabha
Medical	medic	Medical
Centre	centr	Centre
with	with	with
support	support	support
,	,	,
strongly	strong	strongly
condemned	condemn	condemned
violence	violenc	violence
against	against	against
staff	staff	staff
in	in	in
the	the	the
area	area	area
.	.	.
WHO	who	WHO
urges	urg	urge
all	all	all
to	to	to
refrain	refrain	refrain
from	from	from
attacking	attack	attacking
health	health	health
workers	worker	worker
and	and	and
facilities	facil	facility
,	,	,
as	as	a
required	requir	required
by	by	by
international	intern	international
humanitarian	humanitarian	humanitarian
law	law	law
,	,	,
and	and	and
calls	call	call
upon	upon	upon
parties	parti	party
responsible	respons	responsible
for	for	for
the	the	the
kidnapping	kidnap	kidnapping
of	of	of
the	the	the
doctor	doctor	doctor
in	in	in
Sabha	sabha	Sabha
to	to	to
ensure	ensur	ensure
his	his	his
safety	safeti	safety
and	and	and
immediate	immedi	immediate
release	releas	release
,	,	,
it	it	it
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
