NAIROBI	nairobi	NAIROBI
Reuters	reuter	Reuters
-	-	-
A	a	A
militant	milit	militant
faction	faction	faction
loyal	loyal	loyal
to	to	to
Islamic	islam	Islamic
State	state	State
IS	is	IS
has	has	ha
increased	increas	increased
its	it	it
following	follow	following
in	in	in
northern	northern	northern
Somalia	somalia	Somalia
from	from	from
a	a	a
few	few	few
dozen	dozen	dozen
last	last	last
year	year	year
to	to	to
up	up	up
to	to	to
200	200	200
this	this	this
year	year	year
,	,	,
a	a	a
U	u	U
.	.	.
N	n	N
.	.	.
report	report	report
said	said	said
,	,	,
days	day	day
after	after	after
the	the	the
group	group	group
came	came	came
under	under	under
U	u	U
.	.	.
S	s	S
.	.	.
air	air	air
attack	attack	attack
for	for	for
the	the	the
first	first	first
time	time	time
.	.	.

The	the	The
increase	increas	increase
in	in	in
strength	strength	strength
of	of	of
the	the	the
IS	is	IS
spin	spin	spin
-off	-off	-off
group	group	group
has	has	ha
attracted	attract	attracted
attention	attent	attention
because	becaus	because
some	some	some
security	secur	security
officials	offici	official
fear	fear	fear
it	it	it
could	could	could
offer	offer	offer
a	a	a
safe	safe	safe
haven	haven	haven
for	for	for
Islamic	islam	Islamic
State	state	State
militants	milit	militant
fleeing	flee	fleeing
military	militari	military
defeat	defeat	defeat
in	in	in
Syria	syria	Syria
or	or	or
Iraq	iraq	Iraq
.	.	.

The	the	The
Islamic	islam	Islamic
State	state	State
of	of	of
Iraq	iraq	Iraq
and	and	and
the	the	the
Levant	levant	Levant
ISIL	isil	ISIL
faction	faction	faction
loyal	loyal	loyal
to	to	to
Sheikh	sheikh	Sheikh
Abdulqader	abdulqad	Abdulqader
Mumin	mumin	Mumin
-	-	-
estimated	estim	estimated
.	.	.
.	.	.
.	.	.
in	in	in
2016	2016	2016
to	to	to
number	number	number
not	not	not
more	more	more
than	than	than
a	a	a
few	few	few
dozen	dozen	dozen
.	.	.
.	.	.
.	.	.
,	,	,
has	has	ha
growing	grow	growing
significantly	signific	significantly
in	in	in
strength	strength	strength
,	,	,
and	and	and
now	now	now
consists	consist	consists
of	of	of
as	as	a
many	mani	many
as	as	a
200	200	200
fighters	fighter	fighter
,	,	,
said	said	said
the	the	the
report	report	report
by	by	by
a	a	a
panel	panel	panel
of	of	of
U	u	U
.	.	.
N	n	N
.	.	.
experts	expert	expert
obtained	obtain	obtained
by	by	by
Reuters	reuter	Reuters
.	.	.

Even	even	Even
a	a	a
few	few	few
hundred	hundr	hundred
armed	arm	armed
fighters	fighter	fighter
could	could	could
destabilize	destabil	destabilize
the	the	the
whole	whole	whole
region	region	region
,	,	,
said	said	said
a	a	a
regional	region	regional
diplomatic	diplomat	diplomatic
security	secur	security
source	sourc	source
.	.	.

It	it	It
air	air	air
strikes	strike	strike
is	is	is
a	a	a
recognition	recognit	recognition
from	from	from
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
that	that	that
the	the	the
situation	situat	situation
in	in	in
terms	term	term
of	of	of
the	the	the
Islamic	islam	Islamic
State	state	State
faction	faction	faction
in	in	in
Puntland	puntland	Puntland
is	is	is
becoming	becom	becoming
increasingly	increas	increasingly
critical	critic	critical
.	.	.

Somalia	somalia	Somalia
has	has	ha
been	been	been
riven	riven	riven
by	by	by
civil	civil	civil
war	war	war
and	and	and
Islamist	islamist	Islamist
militancy	milit	militancy
,	,	,
though	though	though
more	more	more
in	in	in
the	the	the
south	south	south
than	than	than
in	in	in
the	the	the
north	north	north
where	where	where
the	the	the
Puntland	puntland	Puntland
region	region	region
is	is	is
located	locat	located
,	,	,
since	sinc	since
1991	1991	1991
when	when	when
clan	clan	clan
warlords	warlord	warlord
overthrew	overthrew	overthrew
a	a	a
dictator	dictat	dictator
before	befor	before
turning	turn	turning
on	on	on
each	each	each
other	other	other
.	.	.

Friday	friday	Friday
s	s	s
air	air	air
strikes	strike	strike
failed	fail	failed
to	to	to
kill	kill	kill
Mumin	mumin	Mumin
,	,	,
the	the	the
security	secur	security
source	sourc	source
said	said	said
.	.	.

But	but	But
Abdirizak	abdirizak	Abdirizak
Ise	ise	Ise
Hussein	hussein	Hussein
,	,	,
director	director	director
of	of	of
semi	semi	semi
-autonomous	-autonom	-autonomous
Puntland	puntland	Puntland
s	s	s
spy	spi	spy
service	servic	service
,	,	,
said	said	said
the	the	the
strikes	strike	strike
killed	kill	killed
about	about	about
20	20	20
militants	milit	militant
,	,	,
including	includ	including
a	a	a
Sudanese	sudanes	Sudanese
fighter	fighter	fighter
and	and	and
two	two	two
Arabs	arab	Arabs
.	.	.

Almost	almost	Almost
all	all	all
Mumin	mumin	Mumin
s	s	s
fighters	fighter	fighter
are	are	are
Somali	somali	Somali
,	,	,
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
report	report	report
said	said	said
,	,	,
though	though	though
the	the	the
group	group	group
is	is	is
believed	believ	believed
to	to	to
include	includ	include
a	a	a
Sudanese	sudanes	Sudanese
man	man	man
sanctioned	sanction	sanctioned
by	by	by
the	the	the
United	unit	United
States	state	States
.	.	.

The	the	The
group	group	group
also	also	also
has	has	ha
contacts	contact	contact
in	in	in
Yemen	yemen	Yemen
.	.	.

It	it	It
was	was	wa
unclear	unclear	unclear
if	if	if
the	the	the
Sudanese	sudanes	Sudanese
man	man	man
under	under	under
U	u	U
.	.	.
S	s	S
.	.	.
sanctions	sanction	sanction
was	was	wa
the	the	the
same	same	same
one	one	one
reported	report	reported
killed	kill	killed
in	in	in
the	the	the
air	air	air
strike	strike	strike
.	.	.

The	the	The
number	number	number
of	of	of
IS	is	IS
fighters	fighter	fighter
in	in	in
Puntland	puntland	Puntland
has	has	ha
increased	increas	increased
.	.	.

Mostly	most	Mostly
they	they	they
come	come	come
from	from	from
southern	southern	southern
Somalia	somalia	Somalia
and	and	and
a	a	a
few	few	few
,	,	,
including	includ	including
foreigners	foreign	foreigner
,	,	,
come	come	come
from	from	from
Yemen	yemen	Yemen
,	,	,
Colonel	colonel	Colonel
Abdirahman	abdirahman	Abdirahman
Saiid	saiid	Saiid
,	,	,
a	a	a
military	militari	military
officer	offic	officer
in	in	in
Puntland	puntland	Puntland
,	,	,
told	told	told
Reuters	reuter	Reuters
.	.	.

The	the	The
U	u	U
.	.	.
N	n	N
.	.	.
report	report	report
said	said	said
defectors	defector	defector
from	from	from
Mumin	mumin	Mumin
s	s	s
faction	faction	faction
reported	report	reported
the	the	the
group	group	group
had	had	had
received	receiv	received
money	money	money
and	and	and
orders	order	order
from	from	from
Iraq	iraq	Iraq
and	and	and
Syria	syria	Syria
,	,	,
and	and	and
one	one	one
member	member	member
said	said	said
he	he	he
had	had	had
seen	seen	seen
Mumin	mumin	Mumin
and	and	and
another	anoth	another
leader	leader	leader
using	use	using
TrueCrypt	truecrypt	TrueCrypt
software	softwar	software
to	to	to
communicate	communic	communicate
with	with	with
them	them	them
.	.	.

The	the	The
United	unit	United
Nations	nation	Nations
could	could	could
not	not	not
independently	independ	independently
verify	verifi	verify
those	those	those
claims	claim	claim
.	.	.

Mumin	mumin	Mumin
s	s	s
group	group	group
has	has	ha
been	been	been
slowing	slow	slowing
increasing	increas	increasing
its	it	it
activity	activ	activity
over	over	over
the	the	the
past	past	past
year	year	year
.	.	.

In	in	In
late	late	late
2016	2016	2016
,	,	,
it	it	it
occupied	occupi	occupied
the	the	the
port	port	port
of	of	of
Qandala	qandala	Qandala
in	in	in
Puntland	puntland	Puntland
,	,	,
a	a	a
semi	semi	semi
-autonomous	-autonom	-autonomous
region	region	region
,	,	,
for	for	for
a	a	a
month	month	month
.	.	.

Earlier	earlier	Earlier
this	this	this
year	year	year
,	,	,
it	it	it
carried	carri	carried
out	out	out
its	it	it
first	first	first
attacks	attack	attack
.	.	.

Its	it	Its
fighters	fighter	fighter
killed	kill	killed
four	four	four
guards	guard	guard
at	at	at
a	a	a
hotel	hotel	hotel
in	in	in
Bosasso	bosasso	Bosasso
,	,	,
the	the	the
economic	econom	economic
capital	capit	capital
of	of	of
Puntland	puntland	Puntland
,	,	,
in	in	in
February	februari	February
.	.	.

The	the	The
same	same	same
month	month	month
,	,	,
the	the	the
group	group	group
beheaded	behead	beheaded
three	three	three
men	men	men
it	it	it
had	had	had
kidnapped	kidnap	kidnapped
.	.	.

Somalia	somalia	Somalia
s	s	s
main	main	main
Islamist	islamist	Islamist
insurgent	insurg	insurgent
group	group	group
,	,	,
al	al	al
Shabaab	shabaab	Shabaab
,	,	,
is	is	is
aligned	align	aligned
with	with	with
al	al	al
Qaeda	qaeda	Qaeda
and	and	and
is	is	is
most	most	most
active	activ	active
in	in	in
the	the	the
Horn	horn	Horn
of	of	of
Africa	africa	Africa
country	countri	country
s	s	s
south	south	south
.	.	.

It	it	It
has	has	ha
repeatedly	repeat	repeatedly
clashed	clash	clashed
with	with	with
the	the	the
Islamic	islam	Islamic
State	state	State
-aligned	-align	-aligned
faction	faction	faction
in	in	in
the	the	the
north	north	north
.	.	.

