COX	cox	COX
S	s	S
BAZAR	bazar	BAZAR
,	,	,
Bangladesh	bangladesh	Bangladesh
Reuters	reuter	Reuters
-	-	-
Rohingya	rohingya	Rohingya
Muslims	muslim	Muslims
in	in	in
Bangladesh	bangladesh	Bangladesh
were	were	were
skeptical	skeptic	skeptical
on	on	on
Tuesday	tuesday	Tuesday
about	about	about
their	their	their
chances	chanc	chance
of	of	of
ever	ever	ever
going	go	going
home	home	home
to	to	to
Myanmar	myanmar	Myanmar
,	,	,
even	even	even
though	though	though
the	the	the
government	govern	government
there	there	there
has	has	ha
given	given	given
an	an	an
assurance	assur	assurance
it	it	it
would	would	would
accept	accept	accept
people	peopl	people
verified	verifi	verified
as	as	a
refugees	refuge	refugee
.	.	.

More	more	More
than	than	than
half	half	half
a	a	a
million	million	million
Rohingya	rohingya	Rohingya
have	have	have
fled	fled	fled
from	from	from
a	a	a
Myanmar	myanmar	Myanmar
military	militari	military
crackdown	crackdown	crackdown
in	in	in
Rakhine	rakhin	Rakhine
State	state	State
launched	launch	launched
in	in	in
late	late	late
August	august	August
that	that	that
has	has	ha
been	been	been
denounced	denounc	denounced
by	by	by
the	the	the
United	unit	United
Nations	nation	Nations
as	as	a
ethnic	ethnic	ethnic
cleansing	cleans	cleansing
.	.	.

Myanmar	myanmar	Myanmar
denies	deni	denies
ethnic	ethnic	ethnic
cleansing	cleans	cleansing
,	,	,
saying	say	saying
it	it	it
is	is	is
fighting	fight	fighting
Rohingya	rohingya	Rohingya
terrorists	terrorist	terrorist
who	who	who
have	have	have
claimed	claim	claimed
attacks	attack	attack
on	on	on
the	the	the
security	secur	security
forces	forc	force
.	.	.

The	the	The
government	govern	government
has	has	ha
said	said	said
anyone	anyon	anyone
verified	verifi	verified
as	as	a
a	a	a
refugee	refuge	refugee
will	will	will
be	be	be
allowed	allow	allowed
to	to	to
return	return	return
under	under	under
a	a	a
process	process	process
set	set	set
up	up	up
with	with	with
Bangladesh	bangladesh	Bangladesh
in	in	in
1993	1993	1993
.	.	.

Bangladesh	bangladesh	Bangladesh
and	and	and
Myanmar	myanmar	Myanmar
agreed	agre	agreed
on	on	on
Monday	monday	Monday
to	to	to
work	work	work
on	on	on
a	a	a
repatriation	repatri	repatriation
plan	plan	plan
,	,	,
and	and	and
a	a	a
Myanmar	myanmar	Myanmar
government	govern	government
spokesman	spokesman	spokesman
confirmed	confirm	confirmed
it	it	it
would	would	would
go	go	go
along	along	along
with	with	with
it	it	it
,	,	,
provided	provid	provided
people	peopl	people
could	could	could
verify	verifi	verify
their	their	their
status	status	status
with	with	with
paperwork	paperwork	paperwork
.	.	.

But	but	But
many	mani	many
refugees	refuge	refugee
in	in	in
camps	camp	camp
in	in	in
Bangladesh	bangladesh	Bangladesh
are	are	are
scornful	scorn	scornful
.	.	.

Everything	everyth	Everything
was	was	wa
burned	burn	burned
,	,	,
even	even	even
people	peopl	people
were	were	were
burned	burn	burned
,	,	,
said	said	said
a	a	a
man	man	man
who	who	who
identified	identifi	identified
himself	himself	himself
as	as	a
Abdullah	abdullah	Abdullah
,	,	,
dismissing	dismiss	dismissing
the	the	the
chances	chanc	chance
that	that	that
people	peopl	people
would	would	would
have	have	have
documents	document	document
to	to	to
prove	prove	prove
a	a	a
right	right	right
to	to	to
stay	stay	stay
in	in	in
Myanmar	myanmar	Myanmar
.	.	.

At	at	At
the	the	the
root	root	root
of	of	of
the	the	the
problem	problem	problem
is	is	is
the	the	the
refusal	refus	refusal
by	by	by
Buddhist	buddhist	Buddhist
-majority	-major	-majority
Myanmar	myanmar	Myanmar
to	to	to
grant	grant	grant
citizenship	citizenship	citizenship
to	to	to
members	member	member
of	of	of
a	a	a
Muslim	muslim	Muslim
minority	minor	minority
seen	seen	seen
by	by	by
a	a	a
mostly	most	mostly
unsympathetic	unsympathet	unsympathetic
,	,	,
if	if	if
not	not	not
hostile	hostil	hostile
,	,	,
society	societi	society
as	as	a
interlopers	interlop	interloper
from	from	from
Bangladesh	bangladesh	Bangladesh
.	.	.

Though	though	Though
Myanmar	myanmar	Myanmar
has	has	ha
not	not	not
granted	grant	granted
Rohingya	rohingya	Rohingya
citizenship	citizenship	citizenship
,	,	,
under	under	under
the	the	the
1993	1993	1993
procedure	procedur	procedure
,	,	,
it	it	it
agreed	agre	agreed
to	to	to
take	take	take
back	back	back
people	peopl	people
who	who	who
could	could	could
prove	prove	prove
they	they	they
had	had	had
been	been	been
Myanmar	myanmar	Myanmar
residents	resid	resident
.	.	.

But	but	But
a	a	a
day	day	day
after	after	after
Bangladesh	bangladesh	Bangladesh
and	and	and
Myanmar	myanmar	Myanmar
announced	announc	announced
apparent	appar	apparent
progress	progress	progress
,	,	,
a	a	a
Bangladeshi	bangladeshi	Bangladeshi
foreign	foreign	foreign
ministry	ministri	ministry
official	offici	official
appeared	appear	appeared
resigned	resign	resigned
to	to	to
a	a	a
difficult	difficult	difficult
process	process	process
.	.	.

This	this	This
is	is	is
still	still	still
a	a	a
long	long	long
procedure	procedur	procedure
,	,	,
said	said	said
the	the	the
official	offici	official
,	,	,
who	who	who
declined	declin	declined
to	to	to
be	be	be
identified	identifi	identified
as	as	a
he	he	he
was	was	wa
not	not	not
authorized	author	authorized
to	to	to
speak	speak	speak
to	to	to
media	media	medium
.	.	.

There	there	There
were	were	were
already	alreadi	already
nearly	near	nearly
400	400	400
,	,	,
000	000	000
Rohingya	rohingya	Rohingya
refugees	refuge	refugee
in	in	in
Bangladesh	bangladesh	Bangladesh
before	befor	before
the	the	the
latest	latest	latest
exodus	exodus	exodus
,	,	,
but	but	but
Myanmar	myanmar	Myanmar
had	had	had
said	said	said
it	it	it
would	would	would
only	onli	only
accept	accept	accept
,	,	,
subject	subject	subject
to	to	to
verification	verif	verification
,	,	,
those	those	those
who	who	who
arrived	arriv	arrived
after	after	after
October	octob	October
2016	2016	2016
,	,	,
when	when	when
a	a	a
military	militari	military
offensive	offens	offensive
in	in	in
response	respons	response
to	to	to
Rohingya	rohingya	Rohingya
insurgent	insurg	insurgent
attacks	attack	attack
sent	sent	sent
87	87	87
,	,	,
000	000	000
Rohingya	rohingya	Rohingya
fleeing	flee	fleeing
to	to	to
Bangladesh	bangladesh	Bangladesh
,	,	,
the	the	the
Bangladeshi	bangladeshi	Bangladeshi
official	offici	official
said	said	said
.	.	.

We	we	We
said	said	said
that	that	that
many	mani	many
Rohingya	rohingya	Rohingya
refugees	refuge	refugee
have	have	have
no	no	no
documents	document	document
,	,	,
so	so	so
this	this	this
process	process	process
should	should	should
be	be	be
flexible	flexibl	flexible
.	.	.

Myanmar	myanmar	Myanmar
said	said	said
they	they	they
will	will	will
