DERA	dera	DERA
ISMAIL	ismail	ISMAIL
KHAN	khan	KHAN
,	,	,
Pakistan	pakistan	Pakistan
Reuters	reuter	Reuters
-	-	-
The	the	The
leader	leader	leader
of	of	of
a	a	a
Pakistani	pakistani	Pakistani
militant	milit	militant
group	group	group
whose	whose	whose
suicide	suicid	suicide
bombings	bomb	bombing
killed	kill	killed
more	more	more
than	than	than
250	250	250
people	peopl	people
died	die	died
on	on	on
Thursday	thursday	Thursday
of	of	of
injuries	injuri	injury
from	from	from
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
drone	drone	drone
strike	strike	strike
in	in	in
Afghanistan	afghanistan	Afghanistan
,	,	,
a	a	a
spokesman	spokesman	spokesman
for	for	for
the	the	the
militants	milit	militant
said	said	said
.	.	.

Omar	omar	Omar
Khalid	khalid	Khalid
Khorasani	khorasani	Khorasani
s	s	s
death	death	death
comes	come	come
ahead	ahead	ahead
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
Secretary	secretari	Secretary
of	of	of
State	state	State
Rex	rex	Rex
Tillerson	tillerson	Tillerson
s	s	s
visit	visit	visit
and	and	and
is	is	is
likely	like	likely
to	to	to
help	help	help
ease	eas	ease
tensions	tension	tension
between	between	between
the	the	the
often	often	often
-wary	-wari	-wary
allies	alli	ally
,	,	,
as	as	a
Islamabad	islamabad	Islamabad
has	has	ha
been	been	been
asking	ask	asking
Washington	washington	Washington
to	to	to
target	target	target
militants	milit	militant
who	who	who
attack	attack	attack
inside	insid	inside
Pakistan	pakistan	Pakistan
and	and	and
hide	hide	hide
over	over	over
the	the	the
border	border	border
in	in	in
Afghanistan	afghanistan	Afghanistan
.	.	.

Khorasani	khorasani	Khorasani
s	s	s
Jamaat	jamaat	Jamaat
-ul-Ahrar	-ul-ahrar	-ul-Ahrar
JuA	jua	JuA
,	,	,
a	a	a
splinter	splinter	splinter
faction	faction	faction
of	of	of
the	the	the
Pakistani	pakistani	Pakistani
Taliban	taliban	Taliban
,	,	,
is	is	is
one	one	one
of	of	of
dozens	dozen	dozen
of	of	of
armed	arm	armed
Islamist	islamist	Islamist
factions	faction	faction
-	-	-
including	includ	including
al	al	al
Qaeda	qaeda	Qaeda
and	and	and
the	the	the
Afghan	afghan	Afghan
Taliban	taliban	Taliban
-	-	-
operating	oper	operating
in	in	in
Afghanistan	afghanistan	Afghanistan
and	and	and
Pakistan	pakistan	Pakistan
.	.	.

But	but	But
JuA	jua	JuA
has	has	ha
been	been	been
particularly	particular	particularly
deadly	dead	deadly
in	in	in
Pakistan	pakistan	Pakistan
,	,	,
claiming	claim	claiming
responsibility	respons	responsibility
for	for	for
eight	eight	eight
major	major	major
attacks	attack	attack
in	in	in
two	two	two
years	year	year
.	.	.

Among	among	Among
them	them	them
was	was	wa
last	last	last
year	year	year
s	s	s
Easter	easter	Easter
Sunday	sunday	Sunday
bombing	bomb	bombing
in	in	in
a	a	a
park	park	park
that	that	that
killed	kill	killed
at	at	at
least	least	least
70	70	70
people	peopl	people
,	,	,
including	includ	including
29	29	29
children	children	child
,	,	,
in	in	in
the	the	the
eastern	eastern	eastern
city	citi	city
of	of	of
Lahore	lahor	Lahore
.	.	.

The	the	The
group	group	group
also	also	also
said	said	said
it	it	it
carried	carri	carried
out	out	out
a	a	a
suicide	suicid	suicide
attack	attack	attack
at	at	at
a	a	a
hospital	hospit	hospital
that	that	that
killed	kill	killed
at	at	at
least	least	least
74	74	74
people	peopl	people
in	in	in
the	the	the
southwestern	southwestern	southwestern
city	citi	city
of	of	of
Quetta	quetta	Quetta
,	,	,
a	a	a
bombing	bomb	bombing
also	also	also
claimed	claim	claimed
by	by	by
Islamic	islam	Islamic
State	state	State
,	,	,
with	with	with
which	which	which
JuA	jua	JuA
also	also	also
has	has	ha
been	been	been
affiliated	affili	affiliated
.	.	.

Rumours	rumour	Rumours
had	had	had
flown	flown	flown
for	for	for
two	two	two
days	day	day
that	that	that
Khorasani	khorasani	Khorasani
had	had	had
been	been	been
wounded	wound	wounded
in	in	in
U	u	U
.	.	.
S	s	S
.	.	.
drone	drone	drone
strikes	strike	strike
along	along	along
the	the	the
Afghan	afghan	Afghan
-Pakistani	-pakistani	-Pakistani
border	border	border
,	,	,
and	and	and
on	on	on
Thursday	thursday	Thursday
his	his	his
group	group	group
confirmed	confirm	confirmed
he	he	he
had	had	had
died	die	died
.	.	.

Our	our	Our
leader	leader	leader
,	,	,
Omar	omar	Omar
Khalid	khalid	Khalid
Khorasani	khorasani	Khorasani
,	,	,
was	was	wa
wounded	wound	wounded
in	in	in
one	one	one
of	of	of
the	the	the
recent	recent	recent
drone	drone	drone
strikes	strike	strike
in	in	in
Afghanistan	afghanistan	Afghanistan
.	.	.

He	he	He
was	was	wa
wounded	wound	wounded
badly	bad	badly
,	,	,
and	and	and
today	today	today
he	he	he
was	was	wa
martyred	martyr	martyred
,	,	,
JuA	jua	JuA
spokesman	spokesman	spokesman
Asad	asad	Asad
Mansur	mansur	Mansur
said	said	said
by	by	by
telephone	telephon	telephone
.	.	.

The	the	The
announcement	announc	announcement
came	came	came
a	a	a
week	week	week
after	after	after
Pakistan	pakistan	Pakistan
s	s	s
army	armi	army
rescued	rescu	rescued
a	a	a
kidnapped	kidnap	kidnapped
American	american	American
couple	coupl	couple
and	and	and
their	their	their
three	three	three
children	children	child
from	from	from
the	the	the
Haqqani	haqqani	Haqqani
network	network	network
,	,	,
an	an	an
Afghan	afghan	Afghan
Taliban	taliban	Taliban
faction	faction	faction
that	that	that
Washington	washington	Washington
has	has	ha
long	long	long
accused	accus	accused
Islamabad	islamabad	Islamabad
of	of	of
failing	fail	failing
to	to	to
target	target	target
.	.	.

The	the	The
killing	kill	killing
of	of	of
Khorasani	khorasani	Khorasani
is	is	is
likely	like	likely
to	to	to
add	add	add
to	to	to
the	the	the
recently	recent	recently
improved	improv	improved
mood	mood	mood
between	between	between
Washington	washington	Washington
and	and	and
Islamabad	islamabad	Islamabad
,	,	,
said	said	said
Talat	talat	Talat
Masood	masood	Masood
,	,	,
a	a	a
retired	retir	retired
Pakistani	pakistani	Pakistani
general	general	general
and	and	and
prominent	promin	prominent
political	polit	political
analyst	analyst	analyst
.	.	.

He	he	He
was	was	wa
a	a	a
very	veri	very
powerful	power	powerful
leader	leader	leader
and	and	and
he	he	he
had	had	had
done	done	done
great	great	great
harm	harm	harm
to	to	to
Pakistan	pakistan	Pakistan
,	,	,
Masood	masood	Masood
said	said	said
of	of	of
Khorasani	khorasani	Khorasani
.	.	.

I	i	I
think	think	think
Pakistan	pakistan	Pakistan
has	has	ha
been	been	been
looking	look	looking
forward	forward	forward
to	to	to
this	this	this
,	,	,
and	and	and
I	i	I
think	think	think
the	the	the
Americans	american	Americans
targeting	target	targeting
him	him	him
has	has	ha
been	been	been
very	veri	very
helpful	help	helpful
in	in	in
that	that	that
sense	sens	sense
.	.	.

Khorasani	khorasani	Khorasani
had	had	had
a	a	a
background	background	background
that	that	that
reads	read	read
like	like	like
a	a	a
history	histori	history
of	of	of
Pakistani	pakistani	Pakistani
militancy	milit	militancy
.	.	.

Born	born	Born
Abdul	abdul	Abdul
Wali	wali	Wali
in	in	in
a	a	a
village	villag	village
called	call	called
Lakaro	lakaro	Lakaro
in	in	in
the	the	the
northwestern	northwestern	northwestern
Mohmand	mohmand	Mohmand
tribal	tribal	tribal
region	region	region
,	,	,
Khorasani	khorasani	Khorasani
started	start	started
out	out	out
as	as	a
an	an	an
