WICHITA	wichita	WICHITA
,	,	,
Kansas	kansa	Kansas
Reuters	reuter	Reuters
-	-	-
After	after	After
moving	move	moving
to	to	to
Kansas	kansa	Kansas
,	,	,
Tad	tad	Tad
Stricker	stricker	Stricker
visited	visit	visited
a	a	a
state	state	state
motor	motor	motor
vehicle	vehicl	vehicle
office	offic	office
to	to	to
perform	perform	perform
what	what	what
he	he	he
thought	thought	thought
was	was	wa
the	the	the
routine	routin	routine
task	task	task
of	of	of
getting	get	getting
a	a	a
new	new	new
driver	driver	driver
s	s	s
license	licens	license
and	and	and
registering	regist	registering
to	to	to
vote	vote	vote
.	.	.
It	it	It
was	was	wa
a	a	a
familiar	familiar	familiar
procedure	procedur	procedure
for	for	for
Stricker	stricker	Stricker
,	,	,
37	37	37
,	,	,
who	who	who
has	has	ha
moved	move	moved
from	from	from
state	state	state
to	to	to
state	state	state
frequently	frequent	frequently
in	in	in
his	his	his
work	work	work
as	as	a
a	a	a
hotel	hotel	hotel
manager	manag	manager
.	.	.
He	he	He
filled	fill	filled
out	out	out
a	a	a
voter	voter	voter
registration	registr	registration
form	form	form
and	and	and
got	got	got
his	his	his
driver	driver	driver
s	s	s
license	licens	license
.	.	.
He	he	He
was	was	wa
not	not	not
asked	ask	asked
for	for	for
more	more	more
documents	document	document
,	,	,
he	he	he
said	said	said
.	.	.
So	so	So
he	he	he
was	was	wa
stunned	stun	stunned
when	when	when
he	he	he
tried	tri	tried
to	to	to
cast	cast	cast
a	a	a
ballot	ballot	ballot
in	in	in
November	novemb	November
2014	2014	2014
and	and	and
was	was	wa
told	told	told
he	he	he
was	was	wa
not	not	not
on	on	on
the	the	the
voter	voter	voter
rolls	roll	roll
.	.	.
A	a	A
month	month	month
later	later	later
,	,	,
a	a	a
letter	letter	letter
from	from	from
the	the	the
state	state	state
said	said	said
why	whi	why
His	his	His
registration	registr	registration
had	had	had
been	been	been
placed	place	placed
in	in	in
suspense	suspens	suspense
because	becaus	because
he	he	he
had	had	had
failed	fail	failed
to	to	to
meet	meet	meet
a	a	a
state	state	state
requirement	requir	requirement
he	he	he
did	did	did
not	not	not
know	know	know
about	about	about
-	-	-
proving	prove	proving
he	he	he
was	was	wa
an	an	an
American	american	American
.	.	.
Spurred	spur	Spurred
by	by	by
Secretary	secretari	Secretary
of	of	of
State	state	State
Kris	kris	Kris
Kobach	kobach	Kobach
,	,	,
a	a	a
national	nation	national
leader	leader	leader
in	in	in
pushing	push	pushing
for	for	for
anti	anti	anti
-immigration	-immigr	-immigration
and	and	and
voting	vote	voting
changes	chang	change
,	,	,
more	more	more
than	than	than
36	36	36
,	,	,
000	000	000
Kansas	kansa	Kansas
residents	resid	resident
have	have	have
joined	join	joined
Stricker	stricker	Stricker
in	in	in
limbo	limbo	limbo
since	sinc	since
early	earli	early
2013	2013	2013
under	under	under
a	a	a
state	state	state
law	law	law
that	that	that
raises	rais	raise
a	a	a
new	new	new
and	and	and
higher	higher	higher
barrier	barrier	barrier
to	to	to
voting	vote	voting
in	in	in
the	the	the
United	unit	United
States	state	States
proof	proof	proof
of	of	of
citizenship	citizenship	citizenship
.	.	.
While	while	While
you	you	you
must	must	must
be	be	be
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
citizen	citizen	citizen
to	to	to
vote	vote	vote
in	in	in
American	american	American
elections	elect	election
,	,	,
most	most	most
states	state	state
allow	allow	allow
those	those	those
wishing	wish	wishing
to	to	to
register	regist	register
to	to	to
simply	simpli	simply
sign	sign	sign
a	a	a
statement	statement	statement
affirming	affirm	affirming
they	they	they
are	are	are
citizens	citizen	citizen
and	and	and
provide	provid	provide
a	a	a
driver	driver	driver
s	s	s
license	licens	license
number	number	number
,	,	,
Social	social	Social
Security	secur	Security
number	number	number
,	,	,
or	or	or
other	other	other
proof	proof	proof
of	of	of
residency	resid	residency
.	.	.
A	a	A
Reuters	reuter	Reuters
analysis	analysi	analysis
of	of	of
the	the	the
Kansas	kansa	Kansas
suspense	suspens	suspense
list	list	list
shows	show	show
the	the	the
law	law	law
disproportionately	disproportion	disproportionately
hits	hit	hit
young	young	young
voters	voter	voter
,	,	,
who	who	who
often	often	often
do	do	do
not	not	not
have	have	have
ready	readi	ready
access	access	access
to	to	to
the	the	the
needed	need	needed
documents	document	document
,	,	,
as	as	a
well	well	well
as	as	a
unaffiliated	unaffili	unaffiliated
and	and	and
Democratic	democrat	Democratic
voters	voter	voter
in	in	in
the	the	the
Republican	republican	Republican
-controlled	-control	-controlled
state	state	state
.	.	.
What	what	What
a	a	a
shock	shock	shock
,	,	,
said	said	said
Stricker	stricker	Stricker
,	,	,
who	who	who
was	was	wa
born	born	born
in	in	in
Missouri	missouri	Missouri
and	and	and
moved	move	moved
to	to	to
Kansas	kansa	Kansas
with	with	with
his	his	his
wife	wife	wife
from	from	from
Illinois	illinoi	Illinois
.	.	.
I	i	I
was	was	wa
under	under	under
the	the	the
impression	impress	impression
I	i	I
had	had	had
registered	regist	registered
to	to	to
vote	vote	vote
,	,	,
I	i	I
had	had	had
done	done	done
everything	everyth	everything
I	i	I
needed	need	needed
to	to	to
.	.	.
I	i	I
just	just	just
thought	thought	thought
,	,	,
This	this	This
can	can	can
t	t	t
be	be	be
happening	happen	happening
.	.	.
While	while	While
the	the	the
law	law	law
won	won	won
t	t	t
affect	affect	affect
its	it	it
status	status	status
as	as	a
a	a	a
safe	safe	safe
Republican	republican	Republican
state	state	state
in	in	in
November	novemb	November
s	s	s
presidential	presidenti	presidential
election	elect	election
,	,	,
it	it	it
thrusts	thrust	thrust
Kansas	kansa	Kansas
into	into	into
a	a	a
national	nation	national
debate	debat	debate
over	over	over
voting	vote	voting
restrictions	restrict	restriction
that	that	that
has	has	ha
accelerated	acceler	accelerated
since	sinc	since
the	the	the
Supreme	suprem	Supreme
Court	court	Court
struck	struck	struck
down	down	down
parts	part	part
of	of	of
the	the	the
Voting	vote	Voting
Rights	right	Rights
Act	act	Act
in	in	in
2013	2013	2013
,	,	,
a	a	a
signature	signatur	signature
legislative	legisl	legislative
achievement	achiev	achievement
of	of	of
the	the	the
1960s	1960s	1960s
civil	civil	civil
rights	right	right
movement	movement	movement
.	.	.
Kobach	kobach	Kobach
s	s	s
involvement	involv	involvement
has	has	ha
raised	rais	raised
the	the	the
stakes	stake	stake
in	in	in
the	the	the
fight	fight	fight
against	against	against
the	the	the
Kansas	kansa	Kansas
law	law	law
.	.	.
Democrats	democrat	Democrats
and	and	and
voting	vote	voting
rights	right	right
advocates	advoc	advocate
say	say	say
his	his	his
influence	influenc	influence
with	with	with
conservatives	conserv	conservative
could	could	could
help	help	help
spread	spread	spread
the	the	the
concept	concept	concept
to	to	to
other	other	other
states	state	state
.	.	.
His	his	His
critics	critic	critic
scored	score	scored
a	a	a
victory	victori	victory
on	on	on
May	may	May
17	17	17
when	when	when
a	a	a
federal	feder	federal
judge	judg	judge
weakened	weaken	weakened
the	the	the
law	law	law
.	.	.
Kobach	kobach	Kobach
quickly	quick	quickly
appealed	appeal	appealed
.	.	.
The	the	The
lawsuit	lawsuit	lawsuit
was	was	wa
brought	brought	brought
by	by	by
the	the	the
American	american	American
Civil	civil	Civil
Liberties	liberti	Liberties
Union	union	Union
,	,	,
and	and	and
Stricker	stricker	Stricker
was	was	wa
a	a	a
plaintiff	plaintiff	plaintiff
in	in	in
the	the	the
case	case	case
.	.	.
Photo	photo	Photo
identification	identif	identification
laws	law	law
and	and	and
other	other	other
voting	vote	voting
measures	measur	measure
have	have	have
proliferated	prolifer	proliferated
in	in	in
recent	recent	recent
years	year	year
in	in	in
Republican	republican	Republican
-held	-held	-held
states	state	state
,	,	,
but	but	but
the	the	the
one	one	one
that	that	that
gets	get	get
me	me	me
most	most	most
nervous	nervous	nervous
is	is	is
the	the	the
proof	proof	proof
of	of	of
citizenship	citizenship	citizenship
requirement	requir	requirement
in	in	in
Kansas	kansa	Kansas
,	,	,
said	said	said
Pratt	pratt	Pratt
Wiley	wiley	Wiley
,	,	,
director	director	director
of	of	of
voter	voter	voter
expansion	expans	expansion
for	for	for
the	the	the
Democratic	democrat	Democratic
National	nation	National
Committee	committe	Committee
.	.	.
What	what	What
you	you	you
will	will	will
see	see	see
is	is	is
that	that	that
what	what	what
is	is	is
learned	learn	learned
in	in	in
one	one	one
state	state	state
,	,	,
or	or	or
doesn	doesn	doesn
t	t	t
work	work	work
in	in	in
one	one	one
state	state	state
,	,	,
there	there	there
is	is	is
a	a	a
small	small	small
adjustment	adjust	adjustment
and	and	and
then	then	then
it	it	it
s	s	s
applied	appli	applied
in	in	in
a	a	a
different	differ	different
state	state	state
,	,	,
Wiley	wiley	Wiley
said	said	said
,	,	,
calling	call	calling
Kansas	kansa	Kansas
patient	patient	patient
zero	zero	zero
in	in	in
that	that	that
process	process	process
.	.	.
Kobach	kobach	Kobach
has	has	ha
gained	gain	gained
a	a	a
national	nation	national
reputation	reput	reputation
for	for	for
pushing	push	pushing
a	a	a
series	seri	series
of	of	of
voting	vote	voting
and	and	and
anti	anti	anti
-immigration	-immigr	-immigration
measures	measur	measure
across	across	across
the	the	the
country	countri	country
,	,	,
leading	lead	leading
one	one	one
Democratic	democrat	Democratic
congressman	congressman	congressman
to	to	to
dub	dub	dub
him	him	him
the	the	the
dark	dark	dark
lord	lord	lord
of	of	of
the	the	the
anti	anti	anti
-immigration	-immigr	-immigration
movement	movement	movement
-	-	-
a	a	a
label	label	label
he	he	he
wears	wear	wear
proudly	proud	proudly
.	.	.
I	i	I
don	don	don
t	t	t
know	know	know
if	if	if
I	i	I
would	would	would
call	call	call
it	it	it
a	a	a
badge	badg	badge
of	of	of
honor	honor	honor
but	but	but
it	it	it
reflects	reflect	reflects
that	that	that
I	i	I
m	m	m
moving	move	moving
the	the	the
ball	ball	ball
in	in	in
what	what	what
I	i	I
think	think	think
is	is	is
the	the	the
right	right	right
direction	direct	direction
,	,	,
Kobach	kobach	Kobach
said	said	said
in	in	in
an	an	an
interview	interview	interview
in	in	in
his	his	his
Topeka	topeka	Topeka
office	offic	office
across	across	across
from	from	from
the	the	the
state	state	state
Capitol	capitol	Capitol
.	.	.
Three	three	Three
other	other	other
states	state	state
have	have	have
adopted	adopt	adopted
proof	proof	proof
of	of	of
citizenship	citizenship	citizenship
laws	law	law
championed	champion	championed
by	by	by
Kobach	kobach	Kobach
,	,	,
although	although	although
officials	offici	official
said	said	said
two	two	two
of	of	of
them	them	them
had	had	had
not	not	not
implemented	implement	implemented
them	them	them
.	.	.
Bills	bill	Bills
have	have	have
been	been	been
introduced	introduc	introduced
in	in	in
at	at	at
least	least	least
nine	nine	nine
other	other	other
states	state	state
to	to	to
create	creat	create
a	a	a
similar	similar	similar
law	law	law
since	sinc	since
2012	2012	2012
,	,	,
although	although	although
none	none	none
have	have	have
advanced	advanc	advanced
very	veri	very
far	far	far
,	,	,
according	accord	according
to	to	to
the	the	the
National	nation	National
Conference	confer	Conference
of	of	of
State	state	State
Legislatures	legislatur	Legislatures
.	.	.
The	the	The
law	law	law
Kobach	kobach	Kobach
spearheaded	spearhead	spearheaded
in	in	in
Kansas	kansa	Kansas
requires	requir	requires
registrants	registr	registrant
to	to	to
prove	prove	prove
their	their	their
citizenship	citizenship	citizenship
by	by	by
providing	provid	providing
one	one	one
of	of	of
a	a	a
series	seri	series
of	of	of
documents	document	document
,	,	,
including	includ	including
birth	birth	birth
certificates	certif	certificate
and	and	and
passports	passport	passport
.	.	.
They	they	They
are	are	are
placed	place	placed
on	on	on
the	the	the
suspense	suspens	suspense
list	list	list
if	if	if
they	they	they
can	can	can
t	t	t
.	.	.
Since	sinc	Since
late	late	late
last	last	last
year	year	year
,	,	,
those	those	those
who	who	who
did	did	did
not	not	not
complete	complet	complete
the	the	the
requirements	requir	requirement
for	for	for
registration	registr	registration
have	have	have
been	been	been
purged	purg	purged
from	from	from
the	the	the
voter	voter	voter
rolls	roll	roll
after	after	after
90	90	90
days	day	day
and	and	and
had	had	had
to	to	to
begin	begin	begin
the	the	the
process	process	process
over	over	over
again	again	again
.	.	.
About	about	About
14	14	14
percent	percent	percent
of	of	of
Kansans	kansan	Kansans
who	who	who
tried	tri	tried
to	to	to
register	regist	register
between	between	between
the	the	the
law	law	law
s	s	s
onset	onset	onset
in	in	in
2013	2013	2013
and	and	and
late	late	late
2015	2015	2015
failed	fail	failed
to	to	to
meet	meet	meet
the	the	the
requirement	requir	requirement
and	and	and
went	went	went
on	on	on
the	the	the
suspense	suspens	suspense
list	list	list
,	,	,
according	accord	according
to	to	to
documents	document	document
filed	file	filed
in	in	in
a	a	a
lawsuit	lawsuit	lawsuit
challenging	challeng	challenging
the	the	the
requirement	requir	requirement
.	.	.
It	it	It
s	s	s
created	creat	created
a	a	a
system	system	system
that	that	that
is	is	is
needlessly	needless	needlessly
complex	complex	complex
and	and	and
very	veri	very
discouraging	discourag	discouraging
,	,	,
particularly	particular	particularly
for	for	for
young	young	young
people	peopl	people
,	,	,
said	said	said
Steve	steve	Steve
Lopes	lope	Lopes
,	,	,
head	head	head
of	of	of
the	the	the
Johnson	johnson	Johnson
County	counti	County
Voting	vote	Voting
Coalition	coalit	Coalition
,	,	,
which	which	which
helps	help	help
register	regist	register
voters	voter	voter
.	.	.
Now	now	Now
people	peopl	people
just	just	just
say	say	say
,	,	,
Forget	forget	Forget
it	it	it
,	,	,
I	i	I
m	m	m
not	not	not
going	go	going
to	to	to
vote	vote	vote
.	.	.
Kobach	kobach	Kobach
rejects	reject	reject
accusations	accus	accusation
the	the	the
law	law	law
is	is	is
designed	design	designed
to	to	to
suppress	suppress	suppress
voter	voter	voter
turnout	turnout	turnout
,	,	,
particularly	particular	particularly
among	among	among
minority	minor	minority
and	and	and
low	low	low
-income	-incom	-income
voters	voter	voter
who	who	who
tend	tend	tend
to	to	to
back	back	back
Democrats	democrat	Democrats
.	.	.
He	he	He
says	say	say
it	it	it
is	is	is
aimed	aim	aimed
at	at	at
stopping	stop	stopping
what	what	what
he	he	he
describes	describ	describes
as	as	a
a	a	a
rampant	rampant	rampant
problem	problem	problem
of	of	of
non	non	non
-citizens	-citizen	-citizens
voting	vote	voting
in	in	in
U	u	U
.	.	.
S	s	S
.	.	.
elections	elect	election
-	-	-
even	even	even
though	though	though
there	there	there
is	is	is
little	littl	little
evidence	evid	evidence
of	of	of
the	the	the
problem	problem	problem
.	.	.
Every	everi	Every
time	time	time
an	an	an
alien	alien	alien
votes	vote	vote
,	,	,
it	it	it
cancels	cancel	cancel
out	out	out
the	the	the
vote	vote	vote
of	of	of
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
citizen	citizen	citizen
.	.	.
That	that	That
s	s	s
real	real	real
disenfranchisement	disenfranchis	disenfranchisement
,	,	,
it	it	it
s	s	s
happening	happen	happening
every	everi	every
election	elect	election
and	and	and
it	it	it
s	s	s
happening	happen	happening
in	in	in
every	everi	every
state	state	state
,	,	,
Kobach	kobach	Kobach
said	said	said
,	,	,
estimating	estim	estimating
thousands	thousand	thousand
of	of	of
non	non	non
-citizens	-citizen	-citizens
are	are	are
on	on	on
voting	vote	voting
rolls	roll	roll
in	in	in
big	big	big
states	state	state
with	with	with
large	larg	large
immigrant	immigr	immigrant
populations	popul	population
.	.	.
Citing	cite	Citing
that	that	that
threat	threat	threat
,	,	,
Kobach	kobach	Kobach
convinced	convinc	convinced
the	the	the
Kansas	kansa	Kansas
legislature	legislatur	legislature
in	in	in
2015	2015	2015
to	to	to
give	give	give
him	him	him
the	the	the
power	power	power
to	to	to
prosecute	prosecut	prosecute
voter	voter	voter
fraud	fraud	fraud
.	.	.
But	but	But
he	he	he
has	has	ha
won	won	won
just	just	just
four	four	four
misdemeanor	misdemeanor	misdemeanor
illegal	illeg	illegal
voting	vote	voting
convictions	convict	conviction
,	,	,
mostly	most	mostly
involving	involv	involving
people	peopl	people
who	who	who
owned	own	owned
at	at	at
least	least	least
two	two	two
properties	properti	property
and	and	and
cast	cast	cast
votes	vote	vote
in	in	in
both	both	both
locations	locat	location
.	.	.
None	none	None
involved	involv	involved
non	non	non
-citizens	-citizen	-citizens
voting	vote	voting
,	,	,
although	although	although
Kobach	kobach	Kobach
said	said	said
more	more	more
complaints	complaint	complaint
will	will	will
be	be	be
filed	file	filed
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
District	district	District
Court	court	Court
Judge	judg	Judge
Julie	juli	Julie
Robinson	robinson	Robinson
,	,	,
who	who	who
issued	issu	issued
a	a	a
May	may	May
17	17	17
order	order	order
that	that	that
Kansas	kansa	Kansas
begin	begin	begin
to	to	to
register	regist	register
more	more	more
than	than	than
18	18	18
,	,	,
000	000	000
voters	voter	voter
kept	kept	kept
off	off	off
the	the	the
rolls	roll	roll
by	by	by
the	the	the
proof	proof	proof
of	of	of
citizenship	citizenship	citizenship
law	law	law
,	,	,
noted	note	noted
Kansas	kansa	Kansas
could	could	could
identify	identifi	identify
only	onli	only
three	three	three
non	non	non
-citizens	-citizen	-citizens
who	who	who
voted	vote	voted
between	between	between
2003	2003	2003
and	and	and
the	the	the
onset	onset	onset
of	of	of
the	the	the
law	law	law
in	in	in
2013	2013	2013
.	.	.
The	the	The
court	court	court
cannot	cannot	cannot
find	find	find
that	that	that
the	the	the
state	state	state
s	s	s
interest	interest	interest
in	in	in
preventing	prevent	preventing
non	non	non
-citizens	-citizen	-citizens
from	from	from
voting	vote	voting
in	in	in
Kansas	kansa	Kansas
outweighs	outweigh	outweighs
the	the	the
risk	risk	risk
of	of	of
disenfranchising	disenfranchis	disenfranchising
thousands	thousand	thousand
of	of	of
qualified	qualifi	qualified
voters	voter	voter
,	,	,
she	she	she
wrote	wrote	wrote
.	.	.
Of	of	Of
the	the	the
16	16	16
,	,	,
775	775	775
people	peopl	people
on	on	on
a	a	a
late	late	late
-April	-april	-April
suspense	suspens	suspense
list	list	list
obtained	obtain	obtained
by	by	by
Reuters	reuter	Reuters
,	,	,
more	more	more
than	than	than
half	half	half
were	were	were
ages	age	age
17	17	17
through	through	through
21	21	21
,	,	,
and	and	and
more	more	more
than	than	than
60	60	60
percent	percent	percent
were	were	were
age	age	age
25	25	25
or	or	or
under	under	under
.	.	.
They	they	They
were	were	were
clustered	cluster	clustered
in	in	in
the	the	the
high	high	high
-population	-popul	-population
areas	area	area
of	of	of
Wichita	wichita	Wichita
,	,	,
Topeka	topeka	Topeka
and	and	and
the	the	the
Kansas	kansa	Kansas
City	citi	City
suburbs	suburb	suburb
,	,	,
and	and	and
the	the	the
college	colleg	college
towns	town	town
of	of	of
Lawrence	lawrenc	Lawrence
and	and	and
Manhattan	manhattan	Manhattan
.	.	.
About	about	About
41	41	41
percent	percent	percent
were	were	were
unaffiliated	unaffili	unaffiliated
,	,	,
more	more	more
than	than	than
the	the	the
approximately	approxim	approximately
30	30	30
percent	percent	percent
of	of	of
registered	regist	registered
Kansas	kansa	Kansas
voters	voter	voter
who	who	who
are	are	are
unaffiliated	unaffili	unaffiliated
.	.	.
About	about	About
35	35	35
percent	percent	percent
of	of	of
those	those	those
on	on	on
the	the	the
list	list	list
were	were	were
Democrats	democrat	Democrats
,	,	,
compared	compar	compared
to	to	to
24	24	24
percent	percent	percent
of	of	of
registered	regist	registered
voters	voter	voter
.	.	.
Twenty	twenti	Twenty
-three	-three	-three
percent	percent	percent
were	were	were
Republicans	republican	Republicans
,	,	,
compared	compar	compared
to	to	to
45	45	45
percent	percent	percent
of	of	of
registered	regist	registered
voters	voter	voter
,	,	,
according	accord	according
to	to	to
a	a	a
Reuters	reuter	Reuters
analysis	analysi	analysis
of	of	of
the	the	the
data	data	data
.	.	.
Younger	younger	Younger
voters	voter	voter
,	,	,
who	who	who
are	are	are
more	more	more
likely	like	likely
to	to	to
register	regist	register
as	as	a
unaffiliated	unaffili	unaffiliated
or	or	or
Democrats	democrat	Democrats
,	,	,
have	have	have
a	a	a
harder	harder	harder
time	time	time
getting	get	getting
the	the	the
documents	document	document
needed	need	needed
and	and	and
have	have	have
less	less	le
patience	patienc	patience
with	with	with
what	what	what
has	has	ha
become	becom	become
an	an	an
unwieldy	unwieldi	unwieldy
process	process	process
,	,	,
said	said	said
Michael	michael	Michael
Smith	smith	Smith
,	,	,
a	a	a
professor	professor	professor
at	at	at
Emporia	emporia	Emporia
State	state	State
University	univers	University
who	who	who
has	has	ha
studied	studi	studied
the	the	the
Kansas	kansa	Kansas
suspense	suspens	suspense
list	list	list
.	.	.
Kobach	kobach	Kobach
said	said	said
it	it	it
was	was	wa
natural	natur	natural
that	that	that
young	young	young
people	peopl	people
were	were	were
heavily	heavili	heavily
represented	repres	represented
on	on	on
the	the	the
suspense	suspens	suspense
list	list	list
because	becaus	because
they	they	they
are	are	are
the	the	the
majority	major	majority
of	of	of
new	new	new
registrants	registr	registrant
.	.	.
He	he	He
rejected	reject	rejected
criticism	critic	criticism
that	that	that
a	a	a
proof	proof	proof
of	of	of
citizenship	citizenship	citizenship
requirement	requir	requirement
created	creat	created
a	a	a
higher	higher	higher
barrier	barrier	barrier
for	for	for
registrants	registr	registrant
.	.	.
If	if	If
you	you	you
define	defin	define
a	a	a
barrier	barrier	barrier
to	to	to
voting	vote	voting
as	as	a
just	just	just
having	have	having
to	to	to
do	do	do
something	someth	something
before	befor	before
you	you	you
vote	vote	vote
,	,	,
every	everi	every
state	state	state
has	has	ha
that	that	that
barrier	barrier	barrier
,	,	,
virtually	virtual	virtually
every	everi	every
state	state	state
requires	requir	requires
proof	proof	proof
of	of	of
address	address	address
,	,	,
he	he	he
said	said	said
.	.	.
In	in	In
her	her	her
court	court	court
ruling	rule	ruling
,	,	,
Robinson	robinson	Robinson
said	said	said
the	the	the
Kansas	kansa	Kansas
requirement	requir	requirement
conflicted	conflict	conflicted
with	with	with
a	a	a
federal	feder	federal
law	law	law
designed	design	designed
to	to	to
make	make	make
it	it	it
easier	easier	easier
to	to	to
register	regist	register
while	while	while
getting	get	getting
a	a	a
driver	driver	driver
s	s	s
license	licens	license
.	.	.
She	she	She
ordered	order	ordered
Kansas	kansa	Kansas
on	on	on
June	june	June
14	14	14
to	to	to
begin	begin	begin
registering	regist	registering
Stricker	stricker	Stricker
and	and	and
other	other	other
residents	resid	resident
who	who	who
had	had	had
submitted	submit	submitted
voter	voter	voter
applications	applic	application
through	through	through
state	state	state
motor	motor	motor
vehicle	vehicl	vehicle
offices	offic	office
but	but	but
failed	fail	failed
to	to	to
provide	provid	provide
proof	proof	proof
of	of	of
citizenship	citizenship	citizenship
.	.	.
They	they	They
will	will	will
be	be	be
able	abl	able
to	to	to
vote	vote	vote
in	in	in
federal	feder	federal
elections	elect	election
for	for	for
the	the	the
presidency	presid	presidency
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
Congress	congress	Congress
.	.	.
But	but	But
Robinson	robinson	Robinson
s	s	s
ruling	rule	ruling
did	did	did
not	not	not
end	end	end
the	the	the
proof	proof	proof
of	of	of
citizenship	citizenship	citizenship
requirement	requir	requirement
for	for	for
Kansans	kansan	Kansans
who	who	who
register	regist	register
by	by	by
mail	mail	mail
or	or	or
at	at	at
locations	locat	location
other	other	other
than	than	than
motor	motor	motor
vehicle	vehicl	vehicle
offices	offic	office
,	,	,
and	and	and
it	it	it
left	left	left
even	even	even
those	those	those
registering	regist	registering
while	while	while
getting	get	getting
a	a	a
driver	driver	driver
s	s	s
license	licens	license
ineligible	inelig	ineligible
to	to	to
vote	vote	vote
for	for	for
state	state	state
and	and	and
local	local	local
offices	offic	office
.	.	.
For	for	For
now	now	now
,	,	,
that	that	that
has	has	ha
created	creat	created
a	a	a
chaotic	chaotic	chaotic
two	two	two
-tier	-tier	-tier
system	system	system
where	where	where
some	some	some
Kansans	kansan	Kansans
can	can	can
vote	vote	vote
in	in	in
state	state	state
elections	elect	election
and	and	and
some	some	some
cannot	cannot	cannot
,	,	,
some	some	some
need	need	need
to	to	to
provide	provid	provide
proof	proof	proof
of	of	of
citizenship	citizenship	citizenship
and	and	and
others	other	others
do	do	do
not	not	not
,	,	,
and	and	and
many	mani	many
county	counti	county
election	elect	election
officials	offici	official
are	are	are
uncertain	uncertain	uncertain
how	how	how
to	to	to
proceed	proceed	proceed
.	.	.
It	it	It
s	s	s
a	a	a
complete	complet	complete
mess	mess	mess
,	,	,
said	said	said
Marge	marg	Marge
Ahrens	ahren	Ahrens
,	,	,
co	co	co
-president	-presid	-president
of	of	of
the	the	the
nonpartisan	nonpartisan	nonpartisan
Kansas	kansa	Kansas
League	leagu	League
of	of	of
Women	women	Women
Voters	voter	Voters
.	.	.
