CAIRO	cairo	CAIRO
Reuters	reuter	Reuters
-	-	-
Saudi	saudi	Saudi
Arabia	arabia	Arabia
has	has	ha
summoned	summon	summoned
its	it	it
ambassador	ambassador	ambassador
in	in	in
Germany	germani	Germany
home	home	home
for	for	for
consultations	consult	consultation
over	over	over
comments	comment	comment
by	by	by
German	german	German
Foreign	foreign	Foreign
Minister	minist	Minister
Sigmar	sigmar	Sigmar
Gabriel	gabriel	Gabriel
about	about	about
the	the	the
political	polit	political
crisis	crisi	crisis
in	in	in
Lebanon	lebanon	Lebanon
.	.	.
The	the	The
Saudi	saudi	Saudi
foreign	foreign	foreign
ministry	ministri	ministry
said	said	said
the	the	the
government	govern	government
also	also	also
handed	hand	handed
Germany	germani	Germany
s	s	s
representative	repres	representative
in	in	in
Riyadh	riyadh	Riyadh
a	a	a
protest	protest	protest
note	note	note
over	over	over
what	what	what
it	it	it
said	said	said
were	were	were
shameful	shame	shameful
comments	comment	comment
Gabriel	gabriel	Gabriel
made	made	made
after	after	after
a	a	a
meeting	meet	meeting
with	with	with
his	his	his
Lebanese	lebanes	Lebanese
counterpart	counterpart	counterpart
.	.	.
After	after	After
a	a	a
meeting	meet	meeting
in	in	in
Berlin	berlin	Berlin
with	with	with
Lebanese	lebanes	Lebanese
Foreign	foreign	Foreign
Minister	minist	Minister
Gebran	gebran	Gebran
Bassil	bassil	Bassil
,	,	,
Gabriel	gabriel	Gabriel
told	told	told
reporters	report	reporter
that	that	that
Europe	europ	Europe
could	could	could
not	not	not
tolerate	toler	tolerate
the	the	the
adventurism	adventur	adventurism
that	that	that
has	has	ha
spread	spread	spread
there	there	there
.	.	.
It	it	It
was	was	wa
not	not	not
clear	clear	clear
from	from	from
a	a	a
Reuters	reuter	Reuters
television	televis	television
recording	record	recording
that	that	that
the	the	the
remark	remark	remark
was	was	wa
targeted	target	targeted
at	at	at
Saudi	saudi	Saudi
Arabia	arabia	Arabia
.	.	.
Lebanese	lebanes	Lebanese
Prime	prime	Prime
Minister	minist	Minister
Saad	saad	Saad
al	al	al
-Hariri	-hariri	-Hariri
resigned	resign	resigned
while	while	while
in	in	in
Saudi	saudi	Saudi
Arabia	arabia	Arabia
on	on	on
Nov	nov	Nov
.	.	.
4	4	4
.	.	.
Such	such	Such
remarks	remark	remark
provoke	provok	provoke
the	the	the
surprise	surpris	surprise
and	and	and
disapproval	disapprov	disapproval
of	of	of
the	the	the
Kingdom	kingdom	Kingdom
of	of	of
Saudi	saudi	Saudi
Arabia	arabia	Arabia
which	which	which
considers	consid	considers
them	them	them
as	as	a
aimless	aimless	aimless
and	and	and
based	base	based
on	on	on
false	fals	false
information	inform	information
that	that	that
would	would	would
not	not	not
help	help	help
bring	bring	bring
about	about	about
stability	stabil	stability
in	in	in
the	the	the
region	region	region
,	,	,
the	the	the
Saudi	saudi	Saudi
ministry	ministri	ministry
said	said	said
.	.	.
The	the	The
ministry	ministri	ministry
later	later	later
said	said	said
on	on	on
its	it	it
Twitter	twitter	Twitter
account	account	account
it	it	it
had	had	had
summoned	summon	summoned
the	the	the
German	german	German
ambassador	ambassador	ambassador
in	in	in
Riyadh	riyadh	Riyadh
and	and	and
handed	hand	handed
him	him	him
a	a	a
protest	protest	protest
memorandum	memorandum	memorandum
over	over	over
the	the	the
shameful	shame	shameful
and	and	and
unjustified	unjustifi	unjustified
remarks	remark	remark
made	made	made
by	by	by
the	the	the
German	german	German
Foreign	foreign	Foreign
Minister	minist	Minister
Sigmar	sigmar	Sigmar
Gabriel	gabriel	Gabriel
.	.	.
Hariri	hariri	Hariri
s	s	s
abrupt	abrupt	abrupt
resignation	resign	resignation
has	has	ha
raised	rais	raised
concern	concern	concern
over	over	over
Lebanon	lebanon	Lebanon
s	s	s
stability	stabil	stability
.	.	.
He	he	He
met	met	met
French	french	French
President	presid	President
Emmanuel	emmanuel	Emmanuel
Macron	macron	Macron
in	in	in
Paris	pari	Paris
on	on	on
Saturday	saturday	Saturday
,	,	,
several	sever	several
hours	hour	hour
after	after	after
he	he	he
left	left	left
Saudi	saudi	Saudi
Arabia	arabia	Arabia
.	.	.
Lebanon	lebanon	Lebanon
s	s	s
President	presid	President
Michel	michel	Michel
Aoun	aoun	Aoun
said	said	said
on	on	on
Twitter	twitter	Twitter
Hariri	hariri	Hariri
had	had	had
told	told	told
him	him	him
in	in	in
a	a	a
phone	phone	phone
call	call	call
from	from	from
Paris	pari	Paris
he	he	he
would	would	would
be	be	be
in	in	in
Lebanon	lebanon	Lebanon
on	on	on
Wednesday	wednesday	Wednesday
for	for	for
Independence	independ	Independence
Day	day	Day
celebrations	celebr	celebration
.	.	.
The	the	The
German	german	German
foreign	foreign	foreign
ministry	ministri	ministry
welcomed	welcom	welcomed
Hariri	hariri	Hariri
s	s	s
departure	departur	departure
from	from	from
Saudi	saudi	Saudi
Arabia	arabia	Arabia
for	for	for
Paris	pari	Paris
and	and	and
impending	impend	impending
return	return	return
to	to	to
Lebanon	lebanon	Lebanon
.	.	.
We	we	We
are	are	are
very	veri	very
concerned	concern	concerned
about	about	about
regional	region	regional
stability	stabil	stability
and	and	and
call	call	call
on	on	on
sides	side	side
to	to	to
reduce	reduc	reduce
tensions	tension	tension
,	,	,
the	the	the
statement	statement	statement
read	read	read
.	.	.
We	we	We
aim	aim	aim
this	this	this
message	messag	message
at	at	at
all	all	all
actors	actor	actor
in	in	in
the	the	the
region	region	region
.	.	.
