KAMPALA	kampala	KAMPALA
Reuters	reuter	Reuters
-	-	-
South	south	South
Sudanese	sudanes	Sudanese
soldiers	soldier	soldier
are	are	are
passing	pass	passing
through	through	through
the	the	the
territory	territori	territory
of	of	of
neighboring	neighbor	neighboring
Uganda	uganda	Uganda
to	to	to
launch	launch	launch
assaults	assault	assault
against	against	against
rebels	rebel	rebel
,	,	,
raising	rais	raising
the	the	the
risk	risk	risk
of	of	of
the	the	the
civil	civil	civil
war	war	war
spilling	spill	spilling
over	over	over
into	into	into
neighboring	neighbor	neighboring
East	east	East
African	african	African
countries	countri	country
,	,	,
South	south	South
Sudanese	sudanes	Sudanese
rebels	rebel	rebel
and	and	and
witnesses	wit	witness
said	said	said
.	.	.
The	the	The
four	four	four
-year-old	-year-old	-year-old
conflict	conflict	conflict
in	in	in
oil	oil	oil
-rich	-rich	-rich
South	south	South
Sudan	sudan	Sudan
,	,	,
the	the	the
world	world	world
s	s	s
newest	newest	newest
country	countri	country
,	,	,
has	has	ha
created	creat	created
Africa	africa	Africa
s	s	s
biggest	biggest	biggest
refugee	refuge	refugee
crisis	crisi	crisis
since	sinc	since
the	the	the
1994	1994	1994
Rwandan	rwandan	Rwandan
genocide	genocid	genocide
,	,	,
displacing	displac	displacing
nearly	near	nearly
a	a	a
third	third	third
of	of	of
its	it	it
12	12	12
million	million	million
citizens	citizen	citizen
.	.	.
More	more	More
than	than	than
one	one	one
million	million	million
have	have	have
sought	sought	sought
refuge	refug	refuge
in	in	in
Uganda	uganda	Uganda
.	.	.
In	in	In
the	the	the
latest	latest	latest
development	develop	development
,	,	,
rebel	rebel	rebel
spokesman	spokesman	spokesman
Lam	lam	Lam
Paul	paul	Paul
Gabriel	gabriel	Gabriel
said	said	said
government	govern	government
soldiers	soldier	soldier
from	from	from
the	the	the
Sudan	sudan	Sudan
People	peopl	People
s	s	s
Liberation	liber	Liberation
Army	armi	Army
SPLA	spla	SPLA
crossed	cross	crossed
into	into	into
Uganda	uganda	Uganda
at	at	at
the	the	the
border	border	border
post	post	post
of	of	of
Nimule	nimul	Nimule
on	on	on
Friday	friday	Friday
.	.	.
They	they	They
drove	drove	drove
through	through	through
the	the	the
Ugandan	ugandan	Ugandan
towns	town	town
of	of	of
Moyo	moyo	Moyo
and	and	and
Koboko	koboko	Koboko
before	befor	before
crossing	cross	crossing
back	back	back
into	into	into
South	south	South
Sudan	sudan	Sudan
s	s	s
Yei	yei	Yei
River	river	River
state	state	state
,	,	,
he	he	he
said	said	said
.	.	.
The	the	The
Ugandan	ugandan	Ugandan
military	militari	military
and	and	and
the	the	the
SPLA	spla	SPLA
both	both	both
denied	deni	denied
any	ani	any
incursions	incurs	incursion
by	by	by
SPLA	spla	SPLA
troops	troop	troop
in	in	in
Uganda	uganda	Uganda
Kaya	kaya	Kaya
,	,	,
a	a	a
town	town	town
on	on	on
Yei	yei	Yei
River	river	River
10	10	10
km	km	km
6	6	6
miles	mile	mile
from	from	from
the	the	the
Ugandan	ugandan	Ugandan
border	border	border
,	,	,
was	was	wa
the	the	the
site	site	site
of	of	of
fighting	fight	fighting
between	between	between
the	the	the
military	militari	military
and	and	and
rebels	rebel	rebel
on	on	on
Saturday	saturday	Saturday
that	that	that
left	left	left
19	19	19
people	peopl	people
dead	dead	dead
,	,	,
including	includ	including
an	an	an
American	american	American
journalist	journalist	journalist
.	.	.
A	a	A
Reuters	reuter	Reuters
journalist	journalist	journalist
in	in	in
Uganda	uganda	Uganda
saw	saw	saw
three	three	three
SPLA	spla	SPLA
pickup	pickup	pickup
trucks	truck	truck
loaded	load	loaded
with	with	with
uniformed	uniform	uniformed
soldiers	soldier	soldier
wearing	wear	wearing
red	red	red
berets	beret	beret
driving	drive	driving
in	in	in
the	the	the
direction	direct	direction
of	of	of
Kaya	kaya	Kaya
on	on	on
Friday	friday	Friday
.	.	.
Another	anoth	Another
eyewitness	eyewit	eyewitness
in	in	in
the	the	the
Ugandan	ugandan	Ugandan
border	border	border
town	town	town
of	of	of
Moyo	moyo	Moyo
told	told	told
Reuters	reuter	Reuters
he	he	he
saw	saw	saw
trucks	truck	truck
with	with	with
men	men	men
in	in	in
South	south	South
Sudanese	sudanes	Sudanese
military	militari	military
uniforms	uniform	uniform
moving	move	moving
through	through	through
the	the	the
town	town	town
on	on	on
Friday	friday	Friday
morning	morn	morning
.	.	.
Ugandan	ugandan	Ugandan
military	militari	military
spokesman	spokesman	spokesman
Brigadier	brigadi	Brigadier
Richard	richard	Richard
Karemire	karemir	Karemire
denied	deni	denied
these	these	these
accounts	account	account
There	there	There
s	s	s
absolutely	absolut	absolutely
no	no	no
foreign	foreign	foreign
military	militari	military
on	on	on
Ugandan	ugandan	Ugandan
soil	soil	soil
.	.	.
We	we	We
don	don	don
t	t	t
allow	allow	allow
that	that	that
.	.	.
Colonel	colonel	Colonel
Santo	santo	Santo
Domic	domic	Domic
Chol	chol	Chol
,	,	,
a	a	a
SPLA	spla	SPLA
spokesman	spokesman	spokesman
,	,	,
also	also	also
denied	deni	denied
troops	troop	troop
had	had	had
passed	pass	passed
through	through	through
Ugandan	ugandan	Ugandan
territory	territori	territory
.	.	.
South	south	South
Sudanese	sudanes	Sudanese
soldiers	soldier	soldier
have	have	have
been	been	been
passing	pass	passing
through	through	through
northwest	northwest	northwest
Uganda	uganda	Uganda
to	to	to
reach	reach	reach
rebel	rebel	rebel
-held	-held	-held
territory	territori	territory
,	,	,
residents	resid	resident
there	there	there
say	say	say
.	.	.
The	the	The
route	rout	route
allows	allow	allows
them	them	them
to	to	to
avoid	avoid	avoid
poor	poor	poor
roads	road	road
and	and	and
rebel	rebel	rebel
blockades	blockad	blockade
.	.	.
In	in	In
June	june	June
,	,	,
men	men	men
wearing	wear	wearing
South	south	South
Sudanese	sudanes	Sudanese
military	militari	military
uniforms	uniform	uniform
launched	launch	launched
town	town	town
raids	raid	raid
in	in	in
a	a	a
hamlet	hamlet	hamlet
over	over	over
the	the	the
border	border	border
in	in	in
Uganda	uganda	Uganda
and	and	and
stole	stole	stole
cattle	cattl	cattle
,	,	,
in	in	in
the	the	the
first	first	first
reported	report	reported
attacks	attack	attack
on	on	on
Ugandan	ugandan	Ugandan
soil	soil	soil
since	sinc	since
the	the	the
start	start	start
of	of	of
South	south	South
Sudan	sudan	Sudan
s	s	s
civil	civil	civil
war	war	war
.	.	.
Gabriel	gabriel	Gabriel
said	said	said
they	they	they
did	did	did
not	not	not
believe	believ	believe
the	the	the
Ugandan	ugandan	Ugandan
government	govern	government
had	had	had
officially	offici	officially
allowed	allow	allowed
the	the	the
South	south	South
Sudan	sudan	Sudan
military	militari	military
to	to	to
use	use	use
its	it	it
territory	territori	territory
but	but	but
blamed	blame	blamed
individual	individu	individual
officials	offici	official
for	for	for
colluding	collud	colluding
with	with	with
South	south	South
Sudan	sudan	Sudan
.	.	.
It	it	It
will	will	will
spoil	spoil	spoil
relations	relat	relation
between	between	between
us	us	u
,	,	,
he	he	he
said	said	said
.	.	.
What	what	What
the	the	the
Uganda	uganda	Uganda
government	govern	government
needs	need	need
to	to	to
do	do	do
is	is	is
to	to	to
crack	crack	crack
down	down	down
on	on	on
those	those	those
individuals	individu	individual
.	.	.
Uganda	uganda	Uganda
deployed	deploy	deployed
its	it	it
military	militari	military
in	in	in
South	south	South
Sudan	sudan	Sudan
to	to	to
back	back	back
President	presid	President
Salva	salva	Salva
Kiir	kiir	Kiir
shortly	short	shortly
after	after	after
the	the	the
war	war	war
begun	begun	begun
,	,	,
in	in	in
late	late	late
2013	2013	2013
.	.	.
Ugandan	ugandan	Ugandan
troops	troop	troop
only	onli	only
withdrew	withdrew	withdrew
after	after	after
a	a	a
regionally	region	regionally
-brokered	-broker	-brokered
2015	2015	2015
peace	peac	peace
deal	deal	deal
collapsed	collaps	collapsed
within	within	within
months	month	month
.	.	.
On	on	On
Wednesday	wednesday	Wednesday
,	,	,
Ugandan	ugandan	Ugandan
state	state	state
-owned	-own	-owned
paper	paper	paper
New	new	New
Vision	vision	Vision
reported	report	reported
the	the	the
country	countri	country
had	had	had
beefed	beef	beefed
up	up	up
security	secur	security
on	on	on
its	it	it
South	south	South
Sudan	sudan	Sudan
border	border	border
.	.	.
Ugandan	ugandan	Ugandan
military	militari	military
spokesman	spokesman	spokesman
Karemire	karemir	Karemire
denied	deni	denied
the	the	the
story	stori	story
.	.	.
