HONG	hong	HONG
KONG	kong	KONG
BEIJING	beij	BEIJING
Reuters	reuter	Reuters
-	-	-
China	china	China
has	has	ha
quietly	quiet	quietly
undertaken	undertaken	undertaken
more	more	more
construction	construct	construction
and	and	and
reclamation	reclam	reclamation
in	in	in
the	the	the
South	south	South
China	china	China
Sea	sea	Sea
,	,	,
recent	recent	recent
satellite	satellit	satellite
images	imag	image
show	show	show
,	,	,
and	and	and
is	is	is
likely	like	likely
to	to	to
more	more	more
powerfully	power	powerfully
reassert	reassert	reassert
its	it	it
claims	claim	claim
over	over	over
the	the	the
waterway	waterway	waterway
soon	soon	soon
,	,	,
regional	region	regional
diplomats	diplomat	diplomat
and	and	and
military	militari	military
officers	offic	officer
say	say	say
.	.	.
With	with	With
global	global	global
attention	attent	attention
focused	focus	focused
on	on	on
North	north	North
Korea	korea	Korea
and	and	and
Beijing	beij	Beijing
engrossed	engross	engrossed
in	in	in
its	it	it
Party	parti	Party
Congress	congress	Congress
,	,	,
tensions	tension	tension
in	in	in
the	the	the
South	south	South
China	china	China
Sea	sea	Sea
have	have	have
slipped	slip	slipped
from	from	from
the	the	the
headlines	headlin	headline
in	in	in
recent	recent	recent
months	month	month
.	.	.
But	but	But
with	with	with
none	none	none
of	of	of
the	the	the
underlying	under	underlying
disputes	disput	dispute
resolved	resolv	resolved
and	and	and
new	new	new
images	imag	image
reviewed	review	reviewed
by	by	by
Reuters	reuter	Reuters
showing	show	showing
China	china	China
continuing	continu	continuing
to	to	to
develop	develop	develop
facilities	facil	facility
on	on	on
North	north	North
and	and	and
Tree	tree	Tree
islands	island	island
in	in	in
the	the	the
contested	contest	contested
Paracel	paracel	Paracel
islands	island	island
,	,	,
experts	expert	expert
say	say	say
the	the	the
vital	vital	vital
trade	trade	trade
route	rout	route
remains	remain	remains
a	a	a
global	global	global
flashpoint	flashpoint	flashpoint
.	.	.
Some	some	Some
expect	expect	expect
China	china	China
to	to	to
land	land	land
its	it	it
first	first	first
deployments	deploy	deployment
of	of	of
jet	jet	jet
fighters	fighter	fighter
onto	onto	onto
its	it	it
runways	runway	runway
in	in	in
the	the	the
Spratly	sprat	Spratly
islands	island	island
in	in	in
coming	come	coming
months	month	month
,	,	,
while	while	while
regional	region	regional
military	militari	military
officers	offic	officer
say	say	say
it	it	it
is	is	is
already	alreadi	already
using	use	using
the	the	the
new	new	new
facilities	facil	facility
to	to	to
expand	expand	expand
naval	naval	naval
and	and	and
coast	coast	coast
guard	guard	guard
deployments	deploy	deployment
deep	deep	deep
into	into	into
Southeast	southeast	Southeast
Asia	asia	Asia
.	.	.
They	they	They
ve	ve	ve
built	built	built
these	these	these
extensive	extens	extensive
facilities	facil	facility
and	and	and
both	both	both
Chinese	chines	Chinese
civilian	civilian	civilian
and	and	and
PLA	pla	PLA
experts	expert	expert
have	have	have
always	alway	always
made	made	made
it	it	it
clear	clear	clear
that	that	that
when	when	when
the	the	the
strategic	strateg	strategic
time	time	time
is	is	is
right	right	right
,	,	,
they	they	they
re	re	re
going	go	going
to	to	to
start	start	start
using	use	using
them	them	them
more	more	more
fully	fulli	fully
,	,	,
said	said	said
Bonnie	bonni	Bonnie
Glaser	glaser	Glaser
,	,	,
a	a	a
China	china	China
security	secur	security
expert	expert	expert
at	at	at
Washington	washington	Washington
s	s	s
Center	center	Center
for	for	for
Strategic	strateg	Strategic
and	and	and
International	intern	International
Studies	studi	Studies
.	.	.
I	i	I
think	think	think
it	it	it
is	is	is
a	a	a
question	question	question
of	of	of
when	when	when
,	,	,
rather	rather	rather
than	than	than
if	if	if
,	,	,
China	china	China
will	will	will
start	start	start
to	to	to
assert	assert	assert
its	it	it
interests	interest	interest
more	more	more
forcefully	forc	forcefully
in	in	in
the	the	the
South	south	South
China	china	China
Sea	sea	Sea
.	.	.
.	.	.
.	.	.
and	and	and
that	that	that
is	is	is
likely	like	likely
to	to	to
be	be	be
at	at	at
a	a	a
time	time	time
of	of	of
China	china	China
s	s	s
choosing	choos	choosing
,	,	,
Glaser	glaser	Glaser
told	told	told
Reuters	reuter	Reuters
.	.	.
Rival	rival	Rival
claimant	claimant	claimant
Vietnam	vietnam	Vietnam
,	,	,
meanwhile	meanwhil	meanwhile
,	,	,
is	is	is
nearing	near	nearing
completion	complet	completion
