MANILA	manila	MANILA
MARAWI	marawi	MARAWI
CITY	citi	CITY
,	,	,
Philippines	philippin	Philippines
Reuters	reuter	Reuters
-	-	-
Philippine	philippin	Philippine
President	presid	President
Rodrigo	rodrigo	Rodrigo
Duterte	dutert	Duterte
was	was	wa
eager	eager	eager
to	to	to
credit	credit	credit
new	new	new
ally	alli	ally
Beijing	beij	Beijing
in	in	in
the	the	the
death	death	death
of	of	of
militant	milit	militant
leader	leader	leader
Isnilon	isnilon	Isnilon
Hapilon	hapilon	Hapilon
,	,	,
saying	say	saying
it	it	it
was	was	wa
a	a	a
Chinese	chines	Chinese
rifle	rifl	rifle
that	that	that
fired	fire	fired
the	the	the
bullet	bullet	bullet
that	that	that
finished	finish	finished
off	off	off
Islamic	islam	Islamic
State	state	State
s	s	s
emir	emir	emir
in	in	in
Southeast	southeast	Southeast
Asia	asia	Asia
.	.	.

The	the	The
smoking	smoke	smoking
gun	gun	gun
that	that	that
took	took	took
out	out	out
the	the	the
region	region	region
s	s	s
most	most	most
feared	fear	feared
insurgent	insurg	insurgent
on	on	on
Monday	monday	Monday
was	was	wa
one	one	one
of	of	of
the	the	the
100	100	100
sniper	sniper	sniper
rifles	rifl	rifle
donated	donat	donated
by	by	by
China	china	China
,	,	,
Duterte	dutert	Duterte
said	said	said
,	,	,
although	although	although
the	the	the
ranger	ranger	ranger
unit	unit	unit
conducting	conduct	conducting
the	the	the
operation	oper	operation
said	said	said
the	the	the
shot	shot	shot
was	was	wa
fired	fire	fired
from	from	from
a	a	a
heavier	heavier	heavier
weapon	weapon	weapon
mounted	mount	mounted
on	on	on
an	an	an
armored	armor	armored
vehicle	vehicl	vehicle
.	.	.

Duterte	dutert	Duterte
is	is	is
a	a	a
huge	huge	huge
fan	fan	fan
of	of	of
the	the	the
Chinese	chines	Chinese
rifles	rifl	rifle
and	and	and
took	took	took
a	a	a
pot	pot	pot
-shot	-shot	-shot
himself	himself	himself
in	in	in
the	the	the
direction	direct	direction
of	of	of
militants	milit	militant
in	in	in
Marawi	marawi	Marawi
City	citi	City
recently	recent	recently
.	.	.

Addressing	address	Addressing
businessmen	businessmen	businessmen
and	and	and
diplomats	diplomat	diplomat
,	,	,
he	he	he
singled	singl	singled
out	out	out
ambassador	ambassador	ambassador
Zhao	zhao	Zhao
Jianhua	jianhua	Jianhua
for	for	for
China	china	China
s	s	s
support	support	support
that	that	that
led	led	led
to	to	to
the	the	the
crucial	crucial	crucial
killing	kill	killing
.	.	.

I	i	I
would	would	would
like	like	like
to	to	to
officially	offici	officially
inform	inform	inform
you	you	you
,	,	,
Ambassador	ambassador	Ambassador
Zhao	zhao	Zhao
,	,	,
that	that	that
the	the	the
rifle	rifl	rifle
that	that	that
killed	kill	killed
Hapilon	hapilon	Hapilon
was	was	wa
a	a	a
sniper	sniper	sniper
rifle	rifl	rifle
made	made	made
in	in	in
China	china	China
,	,	,
Duterte	dutert	Duterte
announced	announc	announced
late	late	late
on	on	on
Thursday	thursday	Thursday
,	,	,
to	to	to
warm	warm	warm
applause	applaus	applause
from	from	from
the	the	the
crowd	crowd	crowd
.	.	.

But	but	But
the	the	the
version	version	version
of	of	of
the	the	the
final	final	final
hours	hour	hour
of	of	of
the	the	the
life	life	life
of	of	of
Hapilon	hapilon	Hapilon
and	and	and
another	anoth	another
rebel	rebel	rebel
leader	leader	leader
,	,	,
Omarkhayam	omarkhayam	Omarkhayam
Maute	maut	Maute
,	,	,
posted	post	posted
on	on	on
the	the	the
Facebook	facebook	Facebook
page	page	page
of	of	of
a	a	a
member	member	member
of	of	of
the	the	the
Army	armi	Army
Scout	scout	Scout
Rangers	ranger	Rangers
,	,	,
tells	tell	tell
a	a	a
different	differ	different
story	stori	story
.	.	.

The	the	The
blow	blow	blow
-by-blow	-by-blow	-by-blow
account	account	account
on	on	on
Scout	scout	Scout
Ranger	ranger	Ranger
Books	book	Books
,	,	,
posted	post	posted
the	the	the
day	day	day
Hapilon	hapilon	Hapilon
was	was	wa
killed	kill	killed
,	,	,
tells	tell	tell
of	of	of
how	how	how
the	the	the
8th	8th	8th
Scout	scout	Scout
Ranger	ranger	Ranger
Company	compani	Company
was	was	wa
engaging	engag	engaging
militants	milit	militant
and	and	and
was	was	wa
not	not	not
aware	awar	aware
the	the	the
rebel	rebel	rebel
commanders	command	commander
were	were	were
among	among	among
those	those	those
they	they	they
killed	kill	killed
,	,	,
until	until	until
fleeing	flee	fleeing
hostages	hostag	hostage
told	told	told
them	them	them
.	.	.

The	the	The
soldiers	soldier	soldier
operating	oper	operating
at	at	at
night	night	night
used	use	used
thermal	thermal	thermal
imaging	imag	imaging
on	on	on
an	an	an
armored	armor	armored
vehicle	vehicl	vehicle
and	and	and
the	the	the
shot	shot	shot
that	that	that
killed	kill	killed
Hapilon	hapilon	Hapilon
came	came	came
from	from	from
a	a	a
gun	gun	gun
mounted	mount	mounted
on	on	on
top	top	top
of	of	of
it	it	it
,	,	,
according	accord	according
to	to	to
the	the	the
account	account	account
.	.	.

No	no	No
mention	mention	mention
was	was	wa
made	made	made
of	of	of
Chinese	chines	Chinese
weapons	weapon	weapon
or	or	or
snipers	sniper	sniper
.	.	.

Prior	prior	Prior
to	to	to
Duterte	dutert	Duterte
s	s	s
remarks	remark	remark
,	,	,
two	two	two
