LOUISVILLE	louisvill	LOUISVILLE
,	,	,
Ky	ky	Ky
.	.	.
Reuters	reuter	Reuters
-	-	-
The	the	The
Kentucky	kentucki	Kentucky
county	counti	county
clerk	clerk	clerk
who	who	who
drew	drew	drew
worldwide	worldwid	worldwide
attention	attent	attention
for	for	for
her	her	her
refusal	refus	refusal
to	to	to
issue	issu	issue
marriage	marriag	marriage
licenses	licens	license
to	to	to
gay	gay	gay
couples	coupl	couple
two	two	two
years	year	year
ago	ago	ago
will	will	will
run	run	run
for	for	for
re	re	re
-election	-elect	-election
next	next	next
year	year	year
,	,	,
her	her	her
attorney	attorney	attorney
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
Rowan	rowan	Rowan
County	counti	County
Clerk	clerk	Clerk
Kim	kim	Kim
Davis	davi	Davis
will	will	will
run	run	run
to	to	to
retain	retain	retain
her	her	her
seat	seat	seat
in	in	in
2018	2018	2018
despite	despit	despite
suggestions	suggest	suggestion
from	from	from
some	some	some
people	peopl	people
that	that	that
she	she	she
run	run	run
for	for	for
a	a	a
higher	higher	higher
local	local	local
or	or	or
statewide	statewid	statewide
political	polit	political
position	posit	position
,	,	,
said	said	said
Mat	mat	Mat
Staver	staver	Staver
,	,	,
founder	founder	founder
of	of	of
Liberty	liberti	Liberty
Counsel	counsel	Counsel
.	.	.
Davis	davi	Davis
spent	spent	spent
five	five	five
days	day	day
in	in	in
jail	jail	jail
in	in	in
September	septemb	September
2015	2015	2015
after	after	after
refusing	refus	refusing
a	a	a
court	court	court
order	order	order
to	to	to
issue	issu	issue
marriage	marriag	marriage
licenses	licens	license
following	follow	following
the	the	the
Supreme	suprem	Supreme
Court	court	Court
s	s	s
decision	decis	decision
legalizing	legal	legalizing
same	same	same
-sex	-sex	-sex
marriage	marriag	marriage
.	.	.
Davis	davi	Davis
claimed	claim	claimed
same	same	same
-sex	-sex	-sex
marriage	marriag	marriage
went	went	went
against	against	against
her	her	her
Apostolic	apostol	Apostolic
Christian	christian	Christian
beliefs	belief	belief
.	.	.
Staver	staver	Staver
s	s	s
organization	organ	organization
represented	repres	represented
Davis	davi	Davis
in	in	in
the	the	the
resulting	result	resulting
lawsuit	lawsuit	lawsuit
filed	file	filed
by	by	by
four	four	four
couples	coupl	couple
against	against	against
her	her	her
.	.	.
She	she	She
s	s	s
not	not	not
interested	interest	interested
in	in	in
any	ani	any
other	other	other
office	offic	office
,	,	,
Staver	staver	Staver
said	said	said
.	.	.
Last	last	Last
month	month	month
,	,	,
Davis	davi	Davis
and	and	and
a	a	a
representative	repres	representative
of	of	of
Liberty	liberti	Liberty
Counsel	counsel	Counsel
traveled	travel	traveled
to	to	to
Romania	romania	Romania
,	,	,
where	where	where
those	those	those
against	against	against
same	same	same
-sex	-sex	-sex
marriage	marriag	marriage
seek	seek	seek
a	a	a
referendum	referendum	referendum
on	on	on
the	the	the
issue	issu	issue
this	this	this
fall	fall	fall
,	,	,
to	to	to
meet	meet	meet
with	with	with
religious	religi	religious
and	and	and
political	polit	political
leaders	leader	leader
,	,	,
Staver	staver	Staver
said	said	said
.	.	.
Davis	davi	Davis
case	case	case
in	in	in
2015	2015	2015
drew	drew	drew
hundreds	hundr	hundred
of	of	of
protesters	protest	protester
and	and	and
supporters	support	supporter
to	to	to
her	her	her
office	offic	office
in	in	in
Morehead	morehead	Morehead
,	,	,
in	in	in
rural	rural	rural
eastern	eastern	eastern
Kentucky	kentucki	Kentucky
.	.	.
While	while	While
she	she	she
was	was	wa
in	in	in
jail	jail	jail
,	,	,
then	then	then
-Republican	-republican	-Republican
presidential	presidenti	presidential
candidates	candid	candidate
Mike	mike	Mike
Huckabee	huckabe	Huckabee
and	and	and
Ted	ted	Ted
Cruz	cruz	Cruz
visited	visit	visited
her	her	her
.	.	.
Less	less	Less
than	than	than
a	a	a
month	month	month
after	after	after
she	she	she
was	was	wa
released	releas	released
from	from	from
jail	jail	jail
,	,	,
Davis	davi	Davis
,	,	,
who	who	who
won	won	won
election	elect	election
to	to	to
the	the	the
office	offic	office
in	in	in
2014	2014	2014
as	as	a
a	a	a
Democrat	democrat	Democrat
,	,	,
changed	chang	changed
her	her	her
affiliation	affili	affiliation
to	to	to
the	the	the
