BOSTON	boston	BOSTON
Reuters	reuter	Reuters
-	-	-
Editor	editor	Editor
s	s	s
note	note	note
This	this	This
story	stori	story
contains	contain	contains
language	languag	language
that	that	that
may	may	may
offend	offend	offend
some	some	some
readers	reader	reader
in	in	in
the	the	the
sixth	sixth	sixth
and	and	and
final	final	final
paragraphs	paragraph	paragraph
adds	add	add
no	no	no
comment	comment	comment
from	from	from
Gattine	gattin	Gattine
spokesman	spokesman	spokesman
Combative	combat	Combative
Maine	main	Maine
Governor	governor	Governor
Paul	paul	Paul
LePage	lepag	LePage
told	told	told
a	a	a
radio	radio	radio
host	host	host
on	on	on
Tuesday	tuesday	Tuesday
that	that	that
he	he	he
was	was	wa
considering	consid	considering
not	not	not
finishing	finish	finishing
his	his	his
term	term	term
in	in	in
office	offic	office
,	,	,
amid	amid	amid
a	a	a
wave	wave	wave
of	of	of
criticism	critic	criticism
after	after	after
he	he	he
left	left	left
a	a	a
lawmaker	lawmak	lawmaker
a	a	a
profanity	profan	profanity
-filled	-fill	-filled
voicemail	voicemail	voicemail
.	.	.
But	but	But
the	the	the
two	two	two
-term	-term	-term
,	,	,
Tea	tea	Tea
Party	parti	Party
-backed	-back	-backed
Republican	republican	Republican
governor	governor	governor
subsequently	subsequ	subsequently
appeared	appear	appeared
to	to	to
backtrack	backtrack	backtrack
on	on	on
the	the	the
idea	idea	idea
,	,	,
paraphrasing	paraphras	paraphrasing
Mark	mark	Mark
Twain	twain	Twain
in	in	in
a	a	a
tweet	tweet	tweet
that	that	that
read	read	read
in	in	in
part	part	part
The	the	The
reports	report	report
of	of	of
my	my	my
political	polit	political
demise	demis	demise
are	are	are
greatly	great	greatly
exaggerated	exagger	exaggerated
.	.	.
That	that	That
message	messag	message
came	came	came
hours	hour	hour
after	after	after
he	he	he
told	told	told
an	an	an
interviewer	interview	interviewer
on	on	on
Maine	main	Maine
s	s	s
WVOM	wvom	WVOM
-FM	-fm	-FM
radio	radio	radio
that	that	that
he	he	he
was	was	wa
looking	look	looking
at	at	at
all	all	all
options	option	option
,	,	,
when	when	when
asked	ask	asked
if	if	if
he	he	he
would	would	would
finish	finish	finish
his	his	his
term	term	term
,	,	,
which	which	which
extends	extend	extends
through	through	through
2018	2018	2018
.	.	.
LePage	lepag	LePage
s	s	s
latest	latest	latest
outburst	outburst	outburst
came	came	came
in	in	in
response	respons	response
to	to	to
a	a	a
report	report	report
that	that	that
state	state	state
Representative	repres	Representative
Drew	drew	Drew
Gattine	gattin	Gattine
had	had	had
described	describ	described
him	him	him
as	as	a
racist	racist	racist
for	for	for
focusing	focus	focusing
on	on	on
black	black	black
people	peopl	people
as	as	a
bearing	bear	bearing
primary	primari	primary
responsibility	respons	responsibility
for	for	for
the	the	the
drug	drug	drug
trade	trade	trade
in	in	in
the	the	the
state	state	state
.	.	.
LePage	lepag	LePage
responded	respond	responded
to	to	to
Gattine	gattin	Gattine
with	with	with
a	a	a
blistering	blister	blistering
,	,	,
profanity	profan	profanity
-laced	-lace	-laced
voicemail	voicemail	voicemail
that	that	that
has	has	ha
been	been	been
widely	wide	widely
circulated	circul	circulated
.	.	.
I	i	I
m	m	m
not	not	not
going	go	going
to	to	to
say	say	say
that	that	that
I	i	I
m	m	m
not	not	not
going	go	going
to	to	to
finish	finish	finish
it	it	it
;	;	;
I	i	I
m	m	m
not	not	not
saying	say	saying
that	that	that
I	i	I
am	am	am
going	go	going
to	to	to
finish	finish	finish
it	it	it
,	,	,
LePage	lepag	LePage
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
in	in	in
the	the	the
radio	radio	radio
interview	interview	interview
,	,	,
in	in	in
reference	refer	reference
to	to	to
his	his	his
term	term	term
in	in	in
office	offic	office
.	.	.
What	what	What
I	i	I
m	m	m
going	go	going
to	to	to
do	do	do
right	right	right
now	now	now
is	is	is
I	i	I
m	m	m
taking	take	taking
one	one	one
step	step	step
at	at	at
a	a	a
time	time	time
.	.	.
I	i	I
want	want	want
to	to	to
meet	meet	meet
with	with	with
Mr	mr	Mr
.	.	.
Gattine	gattin	Gattine
and	and	and
then	then	then
I	i	I
want	want	want
to	to	to
meet	meet	meet
with	with	with
my	my	my
team	team	team
at	at	at
my	my	my
office	offic	office
and	and	and
we	we	we
re	re	re
going	go	going
to	to	to
look	look	look
at	at	at
what	what	what
the	the	the
proper	proper	proper
steps	step	step
are	are	are
to	to	to
move	move	move
the	the	the
state	state	state
forward	forward	forward
.	.	.
In	in	In
last	last	last
week	week	week
s	s	s
voicemail	voicemail	voicemail
,	,	,
LePage	lepag	LePage
called	call	called
Gattine	gattin	Gattine
a	a	a
little	littl	little
son	son	son
-of-a-bitch	-of-a-bitch	-of-a-bitch
,	,	,
socialist	socialist	socialist
cocksucker	cocksuck	cocksucker
and	and	and
encouraged	encourag	encouraged
him	him	him
to	to	to
share	share	share
the	the	the
message	messag	message
publicly	public	publicly
because	becaus	because
I	i	I
am	am	am
after	after	after
you	you	you
.	.	.
A	a	A
LePage	lepag	LePage
spokeswoman	spokeswoman	spokeswoman
did	did	did
not	not	not
immediately	immedi	immediately
respond	respond	respond
to	to	to
a	a	a
request	request	request
to	to	to
clarify	clarifi	clarify
the	the	the
governor	governor	governor
s	s	s
Twain	twain	Twain
tweet	tweet	tweet
.	.	.
A	a	A
spokeswoman	spokeswoman	spokeswoman
for	for	for
Gattine	gattin	Gattine
said	said	said
he	he	he
would	would	would
not	not	not
comment	comment	comment
until	until	until
after	after	after
he	he	he
met	met	met
LePage	lepag	LePage
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
LePage	lepag	LePage
has	has	ha
repeatedly	repeat	repeatedly
described	describ	described
himself	himself	himself
as	as	a
a	a	a
less	less	le
-than-polished	-than-polish	-than-polished
,	,	,
plain	plain	plain
-speaking	-speak	-speaking
politician	politician	politician
.	.	.
It	it	It
s	s	s
possible	possibl	possible
it	it	it
was	was	wa
a	a	a
screw	screw	screw
-up	-up	-up
,	,	,
said	said	said
Michael	michael	Michael
Franz	franz	Franz
,	,	,
chairman	chairman	chairman
of	of	of
the	the	the
government	govern	government
department	depart	department
at	at	at
Maine	main	Maine
s	s	s
Bowdoin	bowdoin	Bowdoin
College	colleg	College
,	,	,
referring	refer	referring
to	to	to
the	the	the
radio	radio	radio
interview	interview	interview
.	.	.
My	my	My
first	first	first
inclination	inclin	inclination
is	is	is
that	that	that
this	this	this
is	is	is
not	not	not
serious	serious	serious
and	and	and
that	that	that
he	he	he
s	s	s
just	just	just
attempting	attempt	attempting
to	to	to
establish	establish	establish
his	his	his
regret	regret	regret
.	.	.
LePage	lepag	LePage
,	,	,
67	67	67
,	,	,
said	said	said
he	he	he
had	had	had
lost	lost	lost
his	his	his
temper	temper	temper
when	when	when
he	he	he
was	was	wa
told	told	told
that	that	that
Gattine	gattin	Gattine
had	had	had
described	describ	described
his	his	his
views	view	view
as	as	a
racist	racist	racist
.	.	.
He	he	He
told	told	told
reporters	report	reporter
he	he	he
would	would	would
like	like	like
to	to	to
engage	engag	engage
in	in	in
a	a	a
duel	duel	duel
with	with	with
Gattine	gattin	Gattine
,	,	,
a	a	a
remark	remark	remark
he	he	he
later	later	later
described	describ	described
as	as	a
metaphoric	metaphor	metaphoric
.	.	.
I	i	I
just	just	just
want	want	want
to	to	to
apologize	apolog	apologize
to	to	to
the	the	the
Maine	main	Maine
people	peopl	people
,	,	,
to	to	to
Gattine	gattin	Gattine
s	s	s
family	famili	family
and	and	and
most	most	most
of	of	of
all	all	all
to	to	to
my	my	my
family	famili	family
,	,	,
LePage	lepag	LePage
said	said	said
in	in	in
the	the	the
15	15	15
-minute	-minut	-minute
interview	interview	interview
.	.	.
And	and	And
we	we	we
will	will	will
take	take	take
action	action	action
.	.	.
Some	some	Some
Democratic	democrat	Democratic
lawmakers	lawmak	lawmaker
have	have	have
called	call	called
for	for	for
a	a	a
special	special	special
session	session	session
of	of	of
the	the	the
legislature	legislatur	legislature
to	to	to
censure	censur	censure
LePage	lepag	LePage
,	,	,
who	who	who
earlier	earlier	earlier
this	this	this
year	year	year
fought	fought	fought
off	off	off
an	an	an
impeachment	impeach	impeachment
effort	effort	effort
.	.	.
A	a	A
half	half	half
-hearted	-heart	-hearted
,	,	,
partial	partial	partial
apology	apolog	apology
on	on	on
a	a	a
radio	radio	radio
show	show	show
does	doe	doe
not	not	not
get	get	get
remotely	remot	remotely
close	close	close
to	to	to
addressing	address	addressing
the	the	the
core	core	core
issue	issu	issue
Maine	main	Maine
faces	face	face
serious	serious	serious
issues	issu	issue
and	and	and
its	it	it
government	govern	government
is	is	is
not	not	not
functioning	function	functioning
,	,	,
the	the	the
state	state	state
s	s	s
Democratic	democrat	Democratic
House	hous	House
leadership	leadership	leadership
said	said	said
in	in	in
a	a	a
statement	statement	statement
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
State	state	State
Senate	senat	Senate
President	presid	President
Michael	michael	Michael
Thibodeau	thibodeau	Thibodeau
and	and	and
other	other	other
Republican	republican	Republican
legislative	legisl	legislative
leaders	leader	leader
convened	conven	convened
a	a	a
closed	close	closed
-door	-door	-door
meeting	meet	meeting
with	with	with
LePage	lepag	LePage
late	late	late
on	on	on
Monday	monday	Monday
to	to	to
discuss	discuss	discus
his	his	his
future	futur	future
.	.	.
The	the	The
governor	governor	governor
told	told	told
the	the	the
group	group	group
he	he	he
was	was	wa
going	go	going
to	to	to
talk	talk	talk
to	to	to
friends	friend	friend
and	and	and
family	famili	family
about	about	about
what	what	what
he	he	he
would	would	would
do	do	do
next	next	next
and	and	and
respond	respond	respond
to	to	to
them	them	them
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
said	said	said
Jim	jim	Jim
Cyr	cyr	Cyr
,	,	,
a	a	a
spokesman	spokesman	spokesman
for	for	for
Thibodeau	thibodeau	Thibodeau
.	.	.
Controversial	controversi	Controversial
outbursts	outburst	outburst
have	have	have
marked	mark	marked
LePage	lepag	LePage
s	s	s
six	six	six
years	year	year
in	in	in
office	offic	office
.	.	.
Earlier	earlier	Earlier
this	this	this
year	year	year
,	,	,
he	he	he
said	said	said
he	he	he
did	did	did
not	not	not
mean	mean	mean
to	to	to
sound	sound	sound
racist	racist	racist
when	when	when
he	he	he
said	said	said
drug	drug	drug
dealers	dealer	dealer
with	with	with
the	the	the
name	name	name
D	d	D
-Money	-money	-Money
,	,	,
Smoothie	smoothi	Smoothie
,	,	,
Shifty	shifti	Shifty
were	were	were
coming	come	coming
to	to	to
the	the	the
state	state	state
to	to	to
impregnate	impregn	impregnate
white	white	white
girls	girl	girl
.	.	.
Last	last	Last
week	week	week
at	at	at
a	a	a
news	news	news
conference	confer	conference
LePage	lepag	LePage
compared	compar	compared
Maine	main	Maine
s	s	s
efforts	effort	effort
to	to	to
thwart	thwart	thwart
heroin	heroin	heroin
dealers	dealer	dealer
to	to	to
war	war	war
.	.	.
Look	look	Look
,	,	,
the	the	the
bad	bad	bad
guy	guy	guy
is	is	is
the	the	the
bad	bad	bad
guy	guy	guy
,	,	,
he	he	he
said	said	said
.	.	.
I	i	I
don	don	don
t	t	t
care	care	care
what	what	what
color	color	color
he	he	he
is	is	is
.	.	.
.	.	.
.	.	.
You	you	You
try	tri	try
to	to	to
identify	identifi	identify
the	the	the
enemy	enemi	enemy
and	and	and
the	the	the
enemy	enemi	enemy
right	right	right
now	now	now
,	,	,
the	the	the
overwhelming	overwhelm	overwhelming
majority	major	majority
of	of	of
people	peopl	people
coming	come	coming
in	in	in
,	,	,
are	are	are
people	peopl	people
of	of	of
color	color	color
or	or	or
people	peopl	people
of	of	of
Hispanic	hispan	Hispanic
origin	origin	origin
.	.	.
In	in	In
2013	2013	2013
,	,	,
he	he	he
told	told	told
a	a	a
television	televis	television
interviewer	interview	interviewer
that	that	that
a	a	a
political	polit	political
rival	rival	rival
claims	claim	claim
to	to	to
be	be	be
for	for	for
the	the	the
people	peopl	people
but	but	but
he	he	he
s	s	s
the	the	the
first	first	first
one	one	one
to	to	to
give	give	give
it	it	it
to	to	to
the	the	the
people	peopl	people
without	without	without
providing	provid	providing
Vaseline	vaselin	Vaseline
.	.	.
