DETROIT	detroit	DETROIT
Reuters	reuter	Reuters
-	-	-
Detroit	detroit	Detroit
Public	public	Public
Schools	school	Schools
emergency	emerg	emergency
manager	manag	manager
Darnell	darnel	Darnell
Earley	earley	Earley
is	is	is
stepping	step	stepping
down	down	down
later	later	later
this	this	this
month	month	month
,	,	,
Michigan	michigan	Michigan
Governor	governor	Governor
Rick	rick	Rick
Snyder	snyder	Snyder
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
.	.	.

Earley	earley	Earley
,	,	,
who	who	who
has	has	ha
drawn	drawn	drawn
criticism	critic	criticism
from	from	from
the	the	the
teachers	teacher	teacher
union	union	union
and	and	and
black	black	black
state	state	state
lawmakers	lawmak	lawmaker
for	for	for
the	the	the
crumbling	crumbl	crumbling
state	state	state
of	of	of
the	the	the
city	citi	city
s	s	s
schools	school	school
,	,	,
will	will	will
leave	leav	leave
the	the	the
school	school	school
district	district	district
on	on	on
Feb	feb	Feb
.	.	.

29	29	29
,	,	,
the	the	the
governor	governor	governor
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.

Earley	earley	Earley
,	,	,
who	who	who
had	had	had
formerly	former	formerly
presided	presid	presided
over	over	over
the	the	the
city	citi	city
of	of	of
Flint	flint	Flint
and	and	and
its	it	it
now	now	now
lead	lead	lead
-contaminated	-contamin	-contaminated
water	water	water
system	system	system
,	,	,
has	has	ha
served	serv	served
as	as	a
manager	manag	manager
of	of	of
the	the	the
Detroit	detroit	Detroit
schools	school	school
since	sinc	since
January	januari	January
2015	2015	2015
.	.	.

The	the	The
school	school	school
system	system	system
is	is	is
drowning	drown	drowning
under	under	under
3	3	3
.	.	.
5	5	5
billion	billion	billion
of	of	of
debt	debt	debt
,	,	,
including	includ	including
1	1	1
.	.	.
7	7	7
billion	billion	billion
of	of	of
bonds	bond	bond
backed	back	backed
by	by	by
property	properti	property
taxes	tax	tax
.	.	.

Detroit	detroit	Detroit
Public	public	Public
Schools	school	Schools
is	is	is
suffering	suffer	suffering
from	from	from
declining	declin	declining
enrollment	enrol	enrollment
.	.	.

Heavy	heavi	Heavy
pension	pension	pension
and	and	and
debt	debt	debt
obligations	oblig	obligation
have	have	have
left	left	left
the	the	the
district	district	district
in	in	in
danger	danger	danger
of	of	of
running	run	running
out	out	out
of	of	of
cash	cash	cash
in	in	in
April	april	April
.	.	.

The	the	The
governor	governor	governor
said	said	said
if	if	if
the	the	the
state	state	state
Senate	senat	Senate
passes	pass	pass
legislation	legisl	legislation
reorganizing	reorgan	reorganizing
the	the	the
school	school	school
and	and	and
tackling	tackl	tackling
the	the	the
debt	debt	debt
soon	soon	soon
,	,	,
the	the	the
school	school	school
system	system	system
could	could	could
revert	revert	revert
to	to	to
some	some	some
form	form	form
of	of	of
local	local	local
control	control	control
.	.	.

If	if	If
the	the	the
debt	debt	debt
is	is	is
not	not	not
addressed	address	addressed
,	,	,
the	the	the
system	system	system
will	will	will
be	be	be
virtually	virtual	virtually
insolvent	insolv	insolvent
by	by	by
April	april	April
,	,	,
Snyder	snyder	Snyder
said	said	said
.	.	.

A	a	A
November	novemb	November
report	report	report
by	by	by
Earley	earley	Earley
said	said	said
a	a	a
bankruptcy	bankruptci	bankruptcy
by	by	by
Detroit	detroit	Detroit
s	s	s
school	school	school
system	system	system
could	could	could
shift	shift	shift
liabilities	liabil	liability
for	for	for
pensions	pension	pension
and	and	and
bonds	bond	bond
to	to	to
the	the	the
state	state	state
and	and	and
local	local	local
governments	govern	government
.	.	.

The	the	The
governor	governor	governor
,	,	,
whose	whose	whose
approval	approv	approval
is	is	is
needed	need	needed
for	for	for
the	the	the
system	system	system
to	to	to
file	file	file
for	for	for
bankruptcy	bankruptci	bankruptcy
,	,	,
is	is	is
unlikely	unlik	unlikely
to	to	to
support	support	support
such	such	such
a	a	a
move	move	move
.	.	.

Snyder	snyder	Snyder
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
that	that	that
Earley	earley	Earley
has	has	ha
done	done	done
a	a	a
very	veri	very
good	good	good
job	job	job
under	under	under
some	some	some
very	veri	very
difficult	difficult	difficult
circumstances	circumst	circumstance
,	,	,
restructuring	restructur	restructuring
the	the	the
school	school	school
system	system	system
,	,	,
cutting	cut	cutting
costs	cost	cost
and	and	and
working	work	working
to	to	to
stabilize	stabil	stabilize
student	student	student
enrollment	enrol	enrollment
.	.	.

The	the	The
governor	governor	governor
said	said	said
he	he	he
will	will	will
appoint	appoint	appoint
a	a	a
transition	transit	transition
leader	leader	leader
before	befor	before
the	the	the
end	end	end
of	of	of
the	the	the
month	month	month
to	to	to
set	set	set
in	in	in
place	place	place
his	his	his
plan	plan	plan
to	to	to
restructure	restructur	restructure
the	the	the
system	system	system
to	to	to
address	address	address
the	the	the
district	district	district
s	s	s
academics	academ	academic
and	and	and
finances	financ	finance
.	.	.

The	the	The
Michigan	michigan	Michigan
black	black	black
legislative	legisl	legislative
caucus	caucus	caucus
last	last	last
week	week	week
asked	ask	asked
Snyder	snyder	Snyder
to	to	to
fire	fire	fire
Earley	earley	Earley
.	.	.

Also	also	Also
last	last	last
week	week	week
,	,	,
the	the	the
union	union	union
for	for	for
Detroit	detroit	Detroit
public	public	public
school	school	school
teachers	teacher	teacher
sued	su	sued
the	the	the
district	district	district
,	,	,
demanding	demand	demanding
Earley	earley	Earley
s	s	s
immediate	immedi	immediate
removal	remov	removal
and	and	and
a	a	a
return	return	return
of	of	of
local	local	local
control	control	control
with	with	with
a	a	a
plan	plan	plan
to	to	to
repair	repair	repair
the	the	the
district	district	district
s	s	s
crumbling	crumbl	crumbling
buildings	build	building
.	.	.

Ivy	ivi	Ivy
Bailey	bailey	Bailey
,	,	,
interim	interim	interim
president	presid	president
of	of	of
the	the	the
Detroit	detroit	Detroit
Federation	feder	Federation
of	of	of
Teachers	teacher	Teachers
,	,	,
called	call	called
Earley	earley	Earley
s	s	s
departure	departur	departure
a	a	a
step	step	step
in	in	in
the	the	the
right	right	right
direction	direct	direction
.	.	.
Under	under	Under
Earley	earley	Earley
s	s	s
leadership	leadership	leadership
as	as	a
emergency	emerg	emergency
manager	manag	manager
of	of	of
Flint	flint	Flint
,	,	,
the	the	the
city	citi	city
switched	switch	switched
its	it	it
water	water	water
supply	suppli	supply
from	from	from
Detroit	detroit	Detroit
to	to	to
the	the	the
Flint	flint	Flint
River	river	River
in	in	in
April	april	April
2014	2014	2014
.	.	.

It	it	It
switched	switch	switched
back	back	back
last	last	last
October	octob	October
after	after	after
tests	test	test
found	found	found
high	high	high
lead	lead	lead
levels	level	level
in	in	in
blood	blood	blood
samples	sampl	sample
from	from	from
Flint	flint	Flint
children	children	child
.	.	.

Lead	lead	Lead
is	is	is
a	a	a
neurotoxin	neurotoxin	neurotoxin
that	that	that
can	can	can
damage	damag	damage
the	the	the
brain	brain	brain
and	and	and
cause	caus	cause
other	other	other
health	health	health
problems	problem	problem
.	.	.

Earley	earley	Earley
has	has	ha
said	said	said
he	he	he
is	is	is
not	not	not
to	to	to
blame	blame	blame
for	for	for
the	the	the
problem	problem	problem
since	sinc	since
the	the	the
decision	decis	decision
was	was	wa
made	made	made
before	befor	before
his	his	his
tenure	tenur	tenure
.	.	.

