ABUJA	abuja	ABUJA
Reuters	reuter	Reuters
-	-	-
The	the	The
Islamist	islamist	Islamist
militant	milit	militant
group	group	group
Boko	boko	Boko
Haram	haram	Haram
has	has	ha
killed	kill	killed
381	381	381
civilians	civilian	civilian
in	in	in
Nigeria	nigeria	Nigeria
and	and	and
Cameroon	cameroon	Cameroon
since	sinc	since
the	the	the
beginning	begin	beginning
of	of	of
April	april	April
,	,	,
rights	right	right
group	group	group
Amnesty	amnesti	Amnesty
International	intern	International
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
a	a	a
testament	testament	testament
to	to	to
the	the	the
militant	milit	militant
group	group	group
s	s	s
deadly	dead	deadly
resurgence	resurg	resurgence
.	.	.

The	the	The
Nigerian	nigerian	Nigerian
military	militari	military
has	has	ha
repeatedly	repeat	repeatedly
said	said	said
Boko	boko	Boko
Haram	haram	Haram
has	has	ha
been	been	been
defeated	defeat	defeated
.	.	.

But	but	But
in	in	in
recent	recent	recent
months	month	month
,	,	,
it	it	it
has	has	ha
carried	carri	carried
out	out	out
a	a	a
string	string	string
of	of	of
lethal	lethal	lethal
suicide	suicid	suicide
bombings	bomb	bombing
and	and	and
other	other	other
high	high	high
-profile	-profil	-profile
attacks	attack	attack
on	on	on
towns	town	town
and	and	and
an	an	an
oil	oil	oil
exploration	explor	exploration
team	team	team
.	.	.

The	the	The
number	number	number
of	of	of
deaths	death	death
since	sinc	since
April	april	April
1	1	1
is	is	is
more	more	more
than	than	than
double	doubl	double
that	that	that
for	for	for
the	the	the
preceding	preced	preceding
five	five	five
months	month	month
,	,	,
Amnesty	amnesti	Amnesty
said	said	said
.	.	.

Boko	boko	Boko
Haram	haram	Haram
has	has	ha
killed	kill	killed
223	223	223
civilians	civilian	civilian
in	in	in
Nigeria	nigeria	Nigeria
since	sinc	since
April	april	April
.	.	.

The	the	The
forcing	forc	forcing
of	of	of
women	women	woman
and	and	and
girls	girl	girl
to	to	to
act	act	act
as	as	a
suicide	suicid	suicide
bombers	bomber	bomber
has	has	ha
driven	driven	driven
the	the	the
sharp	sharp	sharp
rise	rise	rise
in	in	in
deaths	death	death
in	in	in
northeast	northeast	northeast
Nigeria	nigeria	Nigeria
and	and	and
northern	northern	northern
Cameroon	cameroon	Cameroon
,	,	,
said	said	said
Amnesty	amnesti	Amnesty
.	.	.

Boko	boko	Boko
Haram	haram	Haram
is	is	is
once	onc	once
again	again	again
committing	commit	committing
war	war	war
crimes	crime	crime
on	on	on
a	a	a
huge	huge	huge
scale	scale	scale
,	,	,
exemplified	exemplifi	exemplified
by	by	by
the	the	the
depravity	deprav	depravity
of	of	of
forcing	forc	forcing
young	young	young
girls	girl	girl
to	to	to
carry	carri	carry
explosives	explos	explosive
with	with	with
the	the	the
sole	sole	sole
intention	intent	intention
of	of	of
killing	kill	killing
as	as	a
many	mani	many
people	peopl	people
as	as	a
they	they	they
possibly	possibl	possibly
can	can	can
,	,	,
said	said	said
Alioune	alioun	Alioune
Tine	tine	Tine
,	,	,
Amnesty	amnesti	Amnesty
s	s	s
director	director	director
for	for	for
West	west	West
and	and	and
Central	central	Central
Africa	africa	Africa
.	.	.

In	in	In
Nigeria	nigeria	Nigeria
,	,	,
the	the	the
deadliest	deadliest	deadliest
attack	attack	attack
was	was	wa
in	in	in
July	juli	July
,	,	,
when	when	when
the	the	the
militants	milit	militant
abducted	abduct	abducted
an	an	an
oil	oil	oil
exploration	explor	exploration
team	team	team
with	with	with
staff	staff	staff
of	of	of
the	the	the
state	state	state
oil	oil	oil
firm	firm	firm
and	and	and
a	a	a
university	univers	university
while	while	while
they	they	they
were	were	were
traveling	travel	traveling
in	in	in
a	a	a
military	militari	military
convoy	convoy	convoy
.	.	.

Boko	boko	Boko
Haram	haram	Haram
killed	kill	killed
40	40	40
people	peopl	people
and	and	and
kidnapped	kidnap	kidnapped
three	three	three
others	other	others
,	,	,
Amnesty	amnesti	Amnesty
said	said	said
.	.	.

Boko	boko	Boko
Haram	haram	Haram
suicide	suicid	suicide
bombers	bomber	bomber
have	have	have
killed	kill	killed
81	81	81
people	peopl	people
in	in	in
Nigeria	nigeria	Nigeria
since	sinc	since
the	the	the
start	start	start
of	of	of
April	april	April
,	,	,
said	said	said
Amnesty	amnesti	Amnesty
.	.	.

In	in	In
Cameroon	cameroon	Cameroon
,	,	,
the	the	the
Islamist	islamist	Islamist
insurgency	insurg	insurgency
has	has	ha
killed	kill	killed
at	at	at
least	least	least
158	158	158
people	peopl	people
in	in	in
the	the	the
same	same	same
period	period	period
.	.	.

That	that	That
is	is	is
also	also	also
linked	link	linked
to	to	to
a	a	a
rise	rise	rise
in	in	in
suicide	suicid	suicide
bombings	bomb	bombing
,	,	,
the	the	the
deadliest	deadliest	deadliest
of	of	of
which	which	which
killed	kill	killed
16	16	16
people	peopl	people
in	in	in
Waza	waza	Waza
in	in	in
July	juli	July
,	,	,
the	the	the
rights	right	right
group	group	group
said	said	said
.	.	.

More	more	More
than	than	than
2	2	2
.	.	.
5	5	5
million	million	million
people	peopl	people
have	have	have
been	been	been
displaced	displac	displaced
or	or	or
become	becom	become
refugees	refuge	refugee
in	in	in
the	the	the
Lake	lake	Lake
Chad	chad	Chad
region	region	region
-	-	-
which	which	which
includes	includ	includes
Nigeria	nigeria	Nigeria
,	,	,
Cameroon	cameroon	Cameroon
,	,	,
Niger	niger	Niger
and	and	and
Chad	chad	Chad
-	-	-
while	while	while
7	7	7
.	.	.
2	2	2
million	million	million
people	peopl	people
lack	lack	lack
secure	secur	secure
access	access	access
to	to	to
food	food	food
because	becaus	because
of	of	of
the	the	the
conflict	conflict	conflict
with	with	with
Boko	boko	Boko
Haram	haram	Haram
,	,	,
according	accord	according
to	to	to
the	the	the
United	unit	United
Nations	nation	Nations
.	.	.

The	the	The
insurgency	insurg	insurgency
has	has	ha
left	left	left
more	more	more
than	than	than
20	20	20
,	,	,
000	000	000
people	peopl	people
dead	dead	dead
since	sinc	since
it	it	it
began	began	began
in	in	in
2009	2009	2009
.	.	.

