BEIJING	beij	BEIJING
Reuters	reuter	Reuters
-	-	-
A	a	A
powerful	power	powerful
U	u	U
.	.	.
S	s	S
.	.	.
senator	senat	senator
said	said	said
he	he	he
is	is	is
concerned	concern	concerned
that	that	that
state	state	state
-owned	-own	-owned
ChemChina	chemchina	ChemChina
,	,	,
which	which	which
is	is	is
buying	buy	buying
Swiss	swiss	Swiss
crop	crop	crop
protection	protect	protection
and	and	and
seed	seed	seed
group	group	group
Syngenta	syngenta	Syngenta
SYNN	synn	SYNN
.	.	.
S	s	S
for	for	for
43	43	43
billion	billion	billion
,	,	,
could	could	could
use	use	use
U	u	U
.	.	.
S	s	S
.	.	.
sovereign	sovereign	sovereign
immunity	immun	immunity
laws	law	law
to	to	to
shield	shield	shield
itself	itself	itself
from	from	from
claims	claim	claim
in	in	in
U	u	U
.	.	.
S	s	S
.	.	.
courts	court	court
.	.	.

Some	some	Some
Chinese	chines	Chinese
state	state	state
-owned	-own	-owned
entities	entiti	entity
have	have	have
argued	argu	argued
that	that	that
they	they	they
have	have	have
sovereign	sovereign	sovereign
immunity	immun	immunity
and	and	and
thus	thus	thus
can	can	can
t	t	t
be	be	be
sued	su	sued
in	in	in
U	u	U
.	.	.
S	s	S
.	.	.
courts	court	court
under	under	under
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Foreign	foreign	Foreign
Sovereign	sovereign	Sovereign
Immunities	immun	Immunities
Act	act	Act
FSIA	fsia	FSIA
of	of	of
1976	1976	1976
.	.	.

The	the	The
acquisition	acquisit	acquisition
by	by	by
China	china	China
National	nation	National
Chemical	chemic	Chemical
Corp	corp	Corp
ChemChina	chemchina	ChemChina
CNNCC	cnncc	CNNCC
.	.	.
UL	ul	UL
of	of	of
Syngenta	syngenta	Syngenta
,	,	,
the	the	the
largest	largest	largest
global	global	global
investment	invest	investment
by	by	by
a	a	a
Chinese	chines	Chinese
company	compani	company
,	,	,
won	won	won
U	u	U
.	.	.
S	s	S
.	.	.
regulatory	regulatori	regulatory
clearance	clearanc	clearance
in	in	in
August	august	August
despite	despit	despite
concerns	concern	concern
from	from	from
some	some	some
lawmakers	lawmak	lawmaker
over	over	over
U	u	U
.	.	.
S	s	S
.	.	.
food	food	food
security	secur	security
.	.	.

This	this	This
week	week	week
,	,	,
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
congressional	congression	congressional
panel	panel	panel
urged	urg	urged
lawmakers	lawmak	lawmaker
to	to	to
take	take	take
action	action	action
to	to	to
ban	ban	ban
Chinese	chines	Chinese
state	state	state
-owned	-own	-owned
firms	firm	firm
from	from	from
acquiring	acquir	acquiring
U	u	U
.	.	.
S	s	S
.	.	.
companies	compani	company
.	.	.

In	in	In
a	a	a
Nov	nov	Nov
.	.	.

9	9	9
letter	letter	letter
to	to	to
U	u	U
.	.	.
S	s	S
.	.	.
Senator	senat	Senator
Chuck	chuck	Chuck
Grassley	grassley	Grassley
that	that	that
was	was	wa
posted	post	posted
on	on	on
his	his	his
website	websit	website
,	,	,
ChemChina	chemchina	ChemChina
said	said	said
its	it	it
U	u	U
.	.	.
S	s	S
.	.	.
-incorporated	-incorpor	-incorporated
businesses	busi	business
are	are	are
subject	subject	subject
to	to	to
U	u	U
.	.	.
S	s	S
.	.	.
civil	civil	civil
law	law	law
,	,	,
and	and	and
that	that	that
FSIA	fsia	FSIA
does	doe	doe
not	not	not
apply	appli	apply
to	to	to
commercial	commerci	commercial
activity	activ	activity
.	.	.

Grassley	grassley	Grassley
,	,	,
who	who	who
represents	repres	represents
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
agricultural	agricultur	agricultural
powerhouse	powerhous	powerhouse
state	state	state
of	of	of
Iowa	iowa	Iowa
,	,	,
said	said	said
in	in	in
a	a	a
Nov	nov	Nov
.	.	.

16	16	16
response	respons	response
that	that	that
he	he	he
remained	remain	remained
concerned	concern	concerned
that	that	that
ChemChina	chemchina	ChemChina
could	could	could
seek	seek	seek
to	to	to
shield	shield	shield
itself	itself	itself
from	from	from
U	u	U
.	.	.
S	s	S
.	.	.
court	court	court
jurisdiction	jurisdict	jurisdiction
.	.	.

While	while	While
ChemChina	chemchina	ChemChina
indicated	indic	indicated
that	that	that
immunity	immun	immunity
would	would	would
not	not	not
extend	extend	extend
to	to	to
Syngenta	syngenta	Syngenta
s	s	s
U	u	U
.	.	.
S	s	S
.	.	.
business	busi	business
,	,	,
the	the	the
company	compani	company
failed	fail	failed
to	to	to
note	note	note
that	that	that
immunity	immun	immunity
would	would	would
otherwise	otherwis	otherwise
apply	appli	apply
to	to	to
a	a	a
wholly	wholli	wholly
state	state	state
-owned	-own	-owned
entity	entiti	entity
,	,	,
he	he	he
said	said	said
on	on	on
his	his	his
website	websit	website
.	.	.

Some	some	Some
legal	legal	legal
experts	expert	expert
say	say	say
the	the	the
sovereign	sovereign	sovereign
immunity	immun	immunity
defense	defens	defense
,	,	,
intended	intend	intended
under	under	under
international	intern	international
law	law	law
to	to	to
shield	shield	shield
governments	govern	government
from	from	from
legal	legal	legal
rulings	rule	ruling
made	made	made
by	by	by
a	a	a
foreign	foreign	foreign
power	power	power
,	,	,
typically	typic	typically
does	doe	doe
not	not	not
apply	appli	apply
to	to	to
commercial	commerci	commercial
cases	case	case
.	.	.

ChemChina	chemchina	ChemChina
s	s	s
acquisition	acquisit	acquisition
is	is	is
now	now	now
in	in	in
the	the	the
process	process	process
of	of	of
gaining	gain	gaining
approval	approv	approval
from	from	from
the	the	the
European	european	European
Commission	commiss	Commission
,	,	,
and	and	and
the	the	the
deal	deal	deal
is	is	is
expected	expect	expected
to	to	to
be	be	be
closed	close	closed
around	around	around
the	the	the
end	end	end
of	of	of
March	march	March
.	.	.

In	in	In
its	it	it
letter	letter	letter
to	to	to
Grassley	grassley	Grassley
,	,	,
ChemChina	chemchina	ChemChina
said	said	said
the	the	the
Chinese	chines	Chinese
government	govern	government
does	doe	doe
not	not	not
interfere	interfer	interfere
with	with	with
ChemChina	chemchina	ChemChina
s	s	s
operations	oper	operation
and	and	and
has	has	ha
not	not	not
directed	direct	directed
ChemChina	chemchina	ChemChina
or	or	or
any	ani	any
of	of	of
its	it	it
affiliates	affili	affiliate
to	to	to
engage	engag	engage
in	in	in
price	price	price
-fixing	-fix	-fixing
with	with	with
competitors	competitor	competitor
.	.	.

Syngenta	syngenta	Syngenta
will	will	will
continue	continu	continue
to	to	to
have	have	have
its	it	it
same	same	same
strategy	strategi	strategy
,	,	,
management	manag	management
,	,	,
people	peopl	people
and	and	and
culture	cultur	culture
and	and	and
its	it	it
headquarters	headquart	headquarters
in	in	in
Basel	basel	Basel
.	.	.

No	no	No
jobs	job	job
will	will	will
be	be	be
lost	lost	lost
and	and	and
no	no	no
jobs	job	job
will	will	will
go	go	go
overseas	oversea	overseas
as	as	a
a	a	a
result	result	result
of	of	of
this	this	this
transaction	transact	transaction
,	,	,
it	it	it
said	said	said
.	.	.

ChemChina	chemchina	ChemChina
also	also	also
said	said	said
the	the	the
Chinese	chines	Chinese
government	govern	government
does	doe	doe
not	not	not
interfere	interfer	interfere
with	with	with
its	it	it
operations	oper	operation
and	and	and
has	has	ha
not	not	not
directed	direct	directed
ChemChina	chemchina	ChemChina
or	or	or
any	ani	any
of	of	of
its	it	it
affiliates	affili	affiliate
to	to	to
engage	engag	engage
in	in	in
price	price	price
fixing	fix	fixing
with	with	with
competitors	competitor	competitor
.	.	.

