OSLO	oslo	OSLO
Reuters	reuter	Reuters
-	-	-
Following	follow	Following
is	is	is
the	the	the
text	text	text
of	of	of
the	the	the
Nobel	nobel	Nobel
Peace	peac	Peace
Prize	prize	Prize
award	award	award
on	on	on
Friday	friday	Friday
to	to	to
the	the	the
International	intern	International
Campaign	campaign	Campaign
to	to	to
Abolish	abolish	Abolish
Nuclear	nuclear	Nuclear
Weapons	weapon	Weapons
The	the	The
Norwegian	norwegian	Norwegian
Nobel	nobel	Nobel
Committee	committe	Committee
has	has	ha
decided	decid	decided
to	to	to
award	award	award
the	the	the
Nobel	nobel	Nobel
Peace	peac	Peace
Prize	prize	Prize
for	for	for
2017	2017	2017
to	to	to
the	the	the
International	intern	International
Campaign	campaign	Campaign
to	to	to
Abolish	abolish	Abolish
Nuclear	nuclear	Nuclear
Weapons	weapon	Weapons
ICAN	ican	ICAN
.	.	.

The	the	The
organization	organ	organization
is	is	is
receiving	receiv	receiving
the	the	the
award	award	award
for	for	for
its	it	it
work	work	work
to	to	to
draw	draw	draw
attention	attent	attention
to	to	to
the	the	the
catastrophic	catastroph	catastrophic
humanitarian	humanitarian	humanitarian
consequences	consequ	consequence
of	of	of
any	ani	any
use	use	use
of	of	of
nuclear	nuclear	nuclear
weapons	weapon	weapon
and	and	and
for	for	for
its	it	it
ground	ground	ground
-breaking	-break	-breaking
efforts	effort	effort
to	to	to
achieve	achiev	achieve
a	a	a
treaty	treati	treaty
-based	-base	-based
prohibition	prohibit	prohibition
of	of	of
such	such	such
weapons	weapon	weapon
.	.	.

We	we	We
live	live	live
in	in	in
a	a	a
world	world	world
where	where	where
the	the	the
risk	risk	risk
of	of	of
nuclear	nuclear	nuclear
weapons	weapon	weapon
being	be	being
used	use	used
is	is	is
greater	greater	greater
than	than	than
it	it	it
has	has	ha
been	been	been
for	for	for
a	a	a
long	long	long
time	time	time
.	.	.

Some	some	Some
states	state	state
are	are	are
modernizing	modern	modernizing
their	their	their
nuclear	nuclear	nuclear
arsenals	arsenal	arsenal
,	,	,
and	and	and
there	there	there
is	is	is
a	a	a
real	real	real
danger	danger	danger
that	that	that
more	more	more
countries	countri	country
will	will	will
try	tri	try
to	to	to
procure	procur	procure
nuclear	nuclear	nuclear
weapons	weapon	weapon
,	,	,
as	as	a
exemplified	exemplifi	exemplified
by	by	by
North	north	North
Korea	korea	Korea
.	.	.

Nuclear	nuclear	Nuclear
weapons	weapon	weapon
pose	pose	pose
a	a	a
constant	constant	constant
threat	threat	threat
to	to	to
humanity	human	humanity
and	and	and
all	all	all
life	life	life
on	on	on
earth	earth	earth
.	.	.

Through	through	Through
binding	bind	binding
international	intern	international
agreements	agreement	agreement
,	,	,
the	the	the
international	intern	international
community	communiti	community
has	has	ha
previously	previous	previously
adopted	adopt	adopted
prohibitions	prohibit	prohibition
against	against	against
land	land	land
mines	mine	mine
,	,	,
cluster	cluster	cluster
munitions	munit	munition
and	and	and
biological	biolog	biological
and	and	and
chemical	chemic	chemical
weapons	weapon	weapon
.	.	.

Nuclear	nuclear	Nuclear
weapons	weapon	weapon
are	are	are
even	even	even
more	more	more
destructive	destruct	destructive
,	,	,
but	but	but
have	have	have
not	not	not
yet	yet	yet
been	been	been
made	made	made
the	the	the
object	object	object
of	of	of
a	a	a
similar	similar	similar
international	intern	international
legal	legal	legal
prohibition	prohibit	prohibition
.	.	.

Through	through	Through
its	it	it
work	work	work
,	,	,
ICAN	ican	ICAN
has	has	ha
helped	help	helped
to	to	to
fill	fill	fill
this	this	this
legal	legal	legal
gap	gap	gap
.	.	.

An	an	An
important	import	important
argument	argument	argument
in	in	in
the	the	the
rationale	rational	rationale
for	for	for
prohibiting	prohibit	prohibiting
nuclear	nuclear	nuclear
weapons	weapon	weapon
is	is	is
the	the	the
unacceptable	unaccept	unacceptable
human	human	human
suffering	suffer	suffering
that	that	that
a	a	a
nuclear	nuclear	nuclear
war	war	war
will	will	will
cause	caus	cause
.	.	.

ICAN	ican	ICAN
is	is	is
a	a	a
coalition	coalit	coalition
of	of	of
non	non	non
-governmental	-government	-governmental
organizations	organ	organization
from	from	from
around	around	around
100	100	100
different	differ	different
countries	countri	country
around	around	around
the	the	the
globe	globe	globe
.	.	.

The	the	The
coalition	coalit	coalition
has	has	ha
been	been	been
a	a	a
driving	drive	driving
force	forc	force
in	in	in
prevailing	prevail	prevailing
upon	upon	upon
the	the	the
world	world	world
s	s	s
nations	nation	nation
to	to	to
pledge	pledg	pledge
to	to	to
cooperate	cooper	cooperate
with	with	with
all	all	all
relevant	relev	relevant
stakeholders	stakehold	stakeholder
in	in	in
efforts	effort	effort
to	to	to
stigmatize	stigmat	stigmatize
,	,	,
prohibit	prohibit	prohibit
and	and	and
eliminate	elimin	eliminate
nuclear	nuclear	nuclear
weapons	weapon	weapon
.	.	.

To	to	To
date	date	date
,	,	,
108	108	108
states	state	state
have	have	have
made	made	made
such	such	such
a	a	a
commitment	commit	commitment
,	,	,
known	known	known
as	as	a
the	the	the
Humanitarian	humanitarian	Humanitarian
Pledge	pledg	Pledge
.	.	.

Furthermore	furthermor	Furthermore
,	,	,
ICAN	ican	ICAN
has	has	ha
been	been	been
the	the	the
leading	lead	leading
civil	civil	civil
society	societi	society
actor	actor	actor
in	in	in
the	the	the
endeavor	endeavor	endeavor
to	to	to
achieve	achiev	achieve
a	a	a
prohibition	prohibit	prohibition
of	of	of
nuclear	nuclear	nuclear
weapons	weapon	weapon
under	under	under
international	intern	international
law	law	law
.	.	.

On	on	On
7	7	7
July	juli	July
2017	2017	2017
,	,	,
122	122	122
of	of	of
the	the	the
UN	un	UN
member	member	member
states	state	state
acceded	acced	acceded
to	to	to
the	the	the
Treaty	treati	Treaty
on	on	on
the	the	the
Prohibition	prohibit	Prohibition
of	of	of
Nuclear	nuclear	Nuclear
Weapons	weapon	Weapons
.	.	.

As	as	As
soon	soon	soon
as	as	a
the	the	the
treaty	treati	treaty
has	has	ha
been	been	been
ratified	ratifi	ratified
by	by	by
50	50	50
states	state	state
,	,	,
the	the	the
ban	ban	ban
on	on	on
nuclear	nuclear	nuclear
weapons	weapon	weapon
will	will	will
enter	enter	enter
into	into	into
force	forc	force
and	and	and
will	will	will
be	be	be
binding	bind	binding
under	under	under
international	intern	international
law	law	law
for	for	for
all	all	all
the	the	the
countries	countri	country
that	that	that
are	are	are
party	parti	party
to	to	to
the	the	the
treaty	treati	treaty
.	.	.

The	the	The
Norwegian	norwegian	Norwegian
Nobel	nobel	Nobel
Committee	committe	Committee
is	is	is
aware	awar	aware
that	that	that
an	an	an
international	intern	international
legal	legal	legal
prohibition	prohibit	prohibition
will	will	will
not	not	not
in	in	in
itself	itself	itself
eliminate	elimin	eliminate
a	a	a
single	singl	single
nuclear	nuclear	nuclear
weapon	weapon	weapon
,	,	,
and	and	and
that	that	that
so	so	so
far	far	far
neither	neither	neither
the	the	the
states	state	state
that	that	that
already	alreadi	already
have	have	have
nuclear	nuclear	nuclear
weapons	weapon	weapon
nor	nor	nor
their	their	their
closest	closest	closest
allies	alli	ally
support	support	support
the	the	the
nuclear	nuclear	nuclear
weapon	weapon	weapon
ban	ban	ban
treaty	treati	treaty
.	.	.

The	the	The
Committee	committe	Committee
wishes	wish	wish
to	to	to
emphasize	emphas	emphasize
that	that	that
the	the	the
next	next	next
steps	step	step
towards	toward	towards
attaining	attain	attaining
a	a	a
world	world	world
free	free	free
of	of	of
nuclear	nuclear	nuclear
weapons	weapon	weapon
must	must	must
involve	involv	involve
the	the	the
nuclear	nuclear	nuclear
-armed	-arm	-armed
states	state	state
.	.	.

This	this	This
year	year	year
s	s	s
Peace	peac	Peace
Prize	prize	Prize
is	is	is
therefore	therefor	therefore
also	also	also
a	a	a
call	call	call
upon	upon	upon
these	these	these
states	state	state
to	to	to
initiate	initi	initiate
serious	serious	serious
negotiations	negoti	negotiation
with	with	with
a	a	a
view	view	view
to	to	to
the	the	the
gradual	gradual	gradual
,	,	,
balanced	balanc	balanced
and	and	and
carefully	care	carefully
monitored	monitor	monitored
elimination	elimin	elimination
of	of	of
the	the	the
almost	almost	almost
15	15	15
,	,	,
000	000	000
nuclear	nuclear	nuclear
weapons	weapon	weapon
in	in	in
the	the	the
world	world	world
.	.	.

Five	five	Five
of	of	of
the	the	the
states	state	state
that	that	that
currently	current	currently
have	have	have
nuclear	nuclear	nuclear
weapons	weapon	weapon
the	the	the
USA	usa	USA
,	,	,
Russia	russia	Russia
,	,	,
the	the	the
United	unit	United
Kingdom	kingdom	Kingdom
,	,	,
France	franc	France
and	and	and
China	china	China
have	have	have
already	alreadi	already
committed	commit	committed
to	to	to
this	this	this
objective	object	objective
through	through	through
their	their	their
accession	access	accession
to	to	to
the	the	the
Treaty	treati	Treaty
on	on	on
the	the	the
Non	non	Non
-Proliferation	-prolifer	-Proliferation
of	of	of
Nuclear	nuclear	Nuclear
Weapons	weapon	Weapons
of	of	of
1970	1970	1970
.	.	.

The	the	The
Non	non	Non
-Proliferation	-prolifer	-Proliferation
Treaty	treati	Treaty
will	will	will
remain	remain	remain
the	the	the
primary	primari	primary
international	intern	international
legal	legal	legal
instrument	instrument	instrument
for	for	for
promoting	promot	promoting
nuclear	nuclear	nuclear
disarmament	disarma	disarmament
and	and	and
preventing	prevent	preventing
the	the	the
further	further	further
spread	spread	spread
of	of	of
such	such	such
weapons	weapon	weapon
.	.	.

It	it	It
is	is	is
now	now	now
71	71	71
years	year	year
since	sinc	since
the	the	the
UN	un	UN
General	general	General
Assembly	assembl	Assembly
,	,	,
in	in	in
its	it	it
very	veri	very
first	first	first
resolution	resolut	resolution
,	,	,
advocated	advoc	advocated
the	the	the
importance	import	importance
of	of	of
nuclear	nuclear	nuclear
disarmament	disarma	disarmament
and	and	and
a	a	a
nuclear	nuclear	nuclear
weapon	weapon	weapon
-free	-free	-free
world	world	world
.	.	.

With	with	With
this	this	this
year	year	year
s	s	s
award	award	award
,	,	,
the	the	the
Norwegian	norwegian	Norwegian
Nobel	nobel	Nobel
Committee	committe	Committee
wishes	wish	wish
to	to	to
pay	pay	pay
tribute	tribut	tribute
to	to	to
ICAN	ican	ICAN
for	for	for
giving	give	giving
new	new	new
momentum	momentum	momentum
to	to	to
the	the	the
efforts	effort	effort
to	to	to
achieve	achiev	achieve
this	this	this
goal	goal	goal
.	.	.

The	the	The
decision	decis	decision
to	to	to
award	award	award
the	the	the
Nobel	nobel	Nobel
Peace	peac	Peace
Prize	prize	Prize
for	for	for
2017	2017	2017
to	to	to
the	the	the
International	intern	International
Campaign	campaign	Campaign
to	to	to
Abolish	abolish	Abolish
Nuclear	nuclear	Nuclear
Weapons	weapon	Weapons
has	has	ha
a	a	a
solid	solid	solid
grounding	ground	grounding
in	in	in
Alfred	alfr	Alfred
Nobel	nobel	Nobel
s	s	s
will	will	will
.	.	.

The	the	The
will	will	will
specifies	specifi	specifies
three	three	three
different	differ	different
criteria	criteria	criterion
for	for	for
awarding	award	awarding
the	the	the
Peace	peac	Peace
Prize	prize	Prize
the	the	the
promotion	promot	promotion
of	of	of
fraternity	fratern	fraternity
between	between	between
nations	nation	nation
,	,	,
the	the	the
advancement	advanc	advancement
of	of	of
disarmament	disarma	disarmament
and	and	and
arms	arm	arm
control	control	control
and	and	and
the	the	the
holding	hold	holding
and	and	and
promotion	promot	promotion
of	of	of
peace	peac	peace
congresses	congress	congress
.	.	.

ICAN	ican	ICAN
works	work	work
vigorously	vigor	vigorously
to	to	to
achieve	achiev	achieve
nuclear	nuclear	nuclear
disarmament	disarma	disarmament
.	.	.

ICAN	ican	ICAN
and	and	and
a	a	a
majority	major	majority
of	of	of
UN	un	UN
member	member	member
states	state	state
have	have	have
contributed	contribut	contributed
to	to	to
fraternity	fratern	fraternity
between	between	between
nations	nation	nation
by	by	by
supporting	support	supporting
the	the	the
Humanitarian	humanitarian	Humanitarian
Pledge	pledg	Pledge
.	.	.

And	and	And
through	through	through
its	it	it
inspiring	inspir	inspiring
and	and	and
innovative	innov	innovative
support	support	support
for	for	for
the	the	the
UN	un	UN
negotiations	negoti	negotiation
on	on	on
a	a	a
treaty	treati	treaty
banning	ban	banning
nuclear	nuclear	nuclear
weapons	weapon	weapon
,	,	,
ICAN	ican	ICAN
has	has	ha
played	play	played
a	a	a
major	major	major
part	part	part
in	in	in
bringing	bring	bringing
about	about	about
what	what	what
in	in	in
our	our	our
day	day	day
and	and	and
age	age	age
is	is	is
equivalent	equival	equivalent
to	to	to
an	an	an
international	intern	international
peace	peac	peace
congress	congress	congress
.	.	.

It	it	It
is	is	is
the	the	the
firm	firm	firm
conviction	convict	conviction
of	of	of
the	the	the
Norwegian	norwegian	Norwegian
Nobel	nobel	Nobel
Committee	committe	Committee
that	that	that
ICAN	ican	ICAN
,	,	,
more	more	more
than	than	than
anyone	anyon	anyone
else	els	else
,	,	,
has	has	ha
in	in	in
the	the	the
past	past	past
year	year	year
given	given	given
the	the	the
efforts	effort	effort
to	to	to
achieve	achiev	achieve
a	a	a
world	world	world
without	without	without
nuclear	nuclear	nuclear
weapons	weapon	weapon
a	a	a
new	new	new
direction	direct	direction
and	and	and
new	new	new
vigor	vigor	vigor
.	.	.

