MELBOURNE	melbourn	MELBOURNE
Reuters	reuter	Reuters
-	-	-
Australia	australia	Australia
s	s	s
former	former	former
Deputy	deputi	Deputy
Prime	prime	Prime
Minister	minist	Minister
Barnaby	barnabi	Barnaby
Joyce	joyc	Joyce
will	will	will
return	return	return
to	to	to
parliament	parliament	parliament
after	after	after
he	he	he
won	won	won
an	an	an
essential	essenti	essential
by	by	by
-election	-elect	-election
for	for	for
his	his	his
seat	seat	seat
,	,	,
just	just	just
over	over	over
a	a	a
month	month	month
after	after	after
he	he	he
was	was	wa
kicked	kick	kicked
out	out	out
over	over	over
a	a	a
dual	dual	dual
citizenship	citizenship	citizenship
crisis	crisi	crisis
that	that	that
cost	cost	cost
the	the	the
conservative	conserv	conservative
coalition	coalit	coalition
government	govern	government
its	it	it
majority	major	majority
.	.	.

Joyce	joyc	Joyce
,	,	,
who	who	who
was	was	wa
widely	wide	widely
expected	expect	expected
to	to	to
win	win	win
,	,	,
said	said	said
he	he	he
was	was	wa
utterly	utter	utterly
humbled	humbl	humbled
by	by	by
his	his	his
sizeable	sizeabl	sizeable
victory	victori	victory
in	in	in
the	the	the
rural	rural	rural
New	new	New
South	south	South
Wales	wale	Wales
seat	seat	seat
of	of	of
New	new	New
England	england	England
,	,	,
in	in	in
which	which	which
he	he	he
looks	look	look
likely	like	likely
to	to	to
increase	increas	increase
his	his	his
primary	primari	primary
vote	vote	vote
by	by	by
an	an	an
additional	addit	additional
10	10	10
points	point	point
.	.	.

ABC	abc	ABC
election	elect	election
analyst	analyst	analyst
Antony	antoni	Antony
Green	green	Green
reported	report	reported
that	that	that
Joyce	joyc	Joyce
is	is	is
on	on	on
track	track	track
to	to	to
achieve	achiev	achieve
a	a	a
primary	primari	primary
vote	vote	vote
of	of	of
about	about	about
64	64	64
percent	percent	percent
,	,	,
a	a	a
significant	signific	significant
increase	increas	increase
on	on	on
his	his	his
52	52	52
.	.	.
3	3	3
percent	percent	percent
primary	primari	primary
at	at	at
the	the	the
last	last	last
federal	feder	federal
election	elect	election
in	in	in
2016	2016	2016
.	.	.

The	the	The
win	win	win
gives	give	give
the	the	the
government	govern	government
and	and	and
its	it	it
embattled	embattl	embattled
prime	prime	prime
minister	minist	minister
,	,	,
Malcolm	malcolm	Malcolm
Turnbull	turnbul	Turnbull
,	,	,
some	some	some
much	much	much
-needed	-need	-needed
breathing	breath	breathing
space	space	space
,	,	,
as	as	a
it	it	it
restores	restor	restores
its	it	it
slim	slim	slim
one	one	one
-seat	-seat	-seat
majority	major	majority
.	.	.

The	the	The
government	govern	government
is	is	is
already	alreadi	already
claiming	claim	claiming
the	the	the
victory	victori	victory
as	as	a
a	a	a
vote	vote	vote
of	of	of
confidence	confid	confidence
of	of	of
its	it	it
performance	perform	performance
,	,	,
despite	despit	despite
a	a	a
series	seri	series
of	of	of
polls	poll	poll
showing	show	showing
its	it	it
growing	grow	growing
unpopularity	unpopular	unpopularity
.	.	.

This	this	This
has	has	ha
been	been	been
a	a	a
stunning	stun	stunning
victory	victori	victory
,	,	,
Turnbull	turnbul	Turnbull
told	told	told
supporters	support	supporter
as	as	a
he	he	he
joined	join	joined
Joyce	joyc	Joyce
at	at	at
a	a	a
pub	pub	pub
in	in	in
the	the	the
town	town	town
of	of	of
Tamworth	tamworth	Tamworth
to	to	to
celebrate	celebr	celebrate
the	the	the
win	win	win
.	.	.

Exit	exit	Exit
polls	poll	poll
were	were	were
predicting	predict	predicting
the	the	the
largest	largest	largest
swing	swing	swing
to	to	to
the	the	the
government	govern	government
in	in	in
the	the	the
history	histori	history
of	of	of
by	by	by
-elections	-elect	-elections
in	in	in
Australia	australia	Australia
,	,	,
Turnbull	turnbul	Turnbull
said	said	said
,	,	,
adding	ad	adding
it	it	it
was	was	wa
a	a	a
sign	sign	sign
of	of	of
confidence	confid	confidence
in	in	in
his	his	his
government	govern	government
.	.	.

Joyce	joyc	Joyce
added	ad	added
that	that	that
he	he	he
was	was	wa
completely	complet	completely
and	and	and
utterly	utter	utterly
humbled	humbl	humbled
,	,	,
after	after	after
winning	win	winning
from	from	from
a	a	a
record	record	record
field	field	field
of	of	of
17	17	17
candidates	candid	candidate
.	.	.

I	i	I
say	say	say
to	to	to
the	the	the
people	peopl	people
of	of	of
New	new	New
England	england	England
,	,	,
that	that	that
I	i	I
never	never	never
take	take	take
anything	anyth	anything
for	for	for
granted	grant	granted
,	,	,
and	and	and
for	for	for
every	everi	every
person	person	person
who	who	who
voted	vote	voted
for	for	for
us	us	u
and	and	and
voted	vote	voted
for	for	for
us	us	u
for	for	for
the	the	the
first	first	first
time	time	time
,	,	,
he	he	he
said	said	said
,	,	,
the	the	the
ABC	abc	ABC
reported	report	reported
.	.	.

Joyce	joyc	Joyce
was	was	wa
one	one	one
of	of	of
the	the	the
Citizenship	citizenship	Citizenship
Seven	seven	Seven
whose	whose	whose
eligibility	elig	eligibility
to	to	to
sit	sit	sit
in	in	in
parliament	parliament	parliament
was	was	wa
thrown	thrown	thrown
into	into	into
doubt	doubt	doubt
when	when	when
it	it	it
was	was	wa
found	found	found
they	they	they
were	were	were
dual	dual	dual
citizens	citizen	citizen
,	,	,
a	a	a
status	status	status
that	that	that
is	is	is
barred	bar	barred
for	for	for
federal	feder	federal
politicians	politician	politician
under	under	under
Australia	australia	Australia
s	s	s
constitution	constitut	constitution
to	to	to
prevent	prevent	prevent
split	split	split
allegiances	allegi	allegiance
.	.	.

The	the	The
High	high	High
Court	court	Court
ruled	rule	ruled
on	on	on
Oct	oct	Oct
.	.	.

27	27	27
that	that	that
Joyce	joyc	Joyce
,	,	,
along	along	along
with	with	with
four	four	four
of	of	of
the	the	the
seven	seven	seven
other	other	other
lawmakers	lawmak	lawmaker
,	,	,
was	was	wa
ineligible	inelig	ineligible
to	to	to
remain	remain	remain
in	in	in
parliament	parliament	parliament
,	,	,
forcing	forc	forcing
a	a	a
by	by	by
-election	-elect	-election
.	.	.

Joyce	joyc	Joyce
was	was	wa
found	found	found
to	to	to
be	be	be
a	a	a
dual	dual	dual
citizen	citizen	citizen
of	of	of
New	new	New
Zealand	zealand	Zealand
,	,	,
a	a	a
status	status	status
he	he	he
has	has	ha
since	sinc	since
rescinded	rescind	rescinded
.	.	.

A	a	A
by	by	by
-election	-elect	-election
occurs	occur	occurs
outside	outsid	outside
of	of	of
the	the	the
usual	usual	usual
three	three	three
-year	-year	-year
election	elect	election
cycle	cycl	cycle
,	,	,
usually	usual	usually
when	when	when
a	a	a
representative	repres	representative
decides	decid	decides
to	to	to
leave	leav	leave
parliament	parliament	parliament
early	earli	early
or	or	or
dies	die	dy
.	.	.

The	the	The
deputy	deputi	deputy
leader	leader	leader
position	posit	position
,	,	,
traditionally	tradit	traditionally
held	held	held
by	by	by
a	a	a
member	member	member
of	of	of
the	the	the
junior	junior	junior
coalition	coalit	coalition
partner	partner	partner
,	,	,
the	the	the
National	nation	National
Party	parti	Party
,	,	,
has	has	ha
remained	remain	remained
vacant	vacant	vacant
since	sinc	since
the	the	the
High	high	High
Court	court	Court
ruling	rule	ruling
.	.	.

The	the	The
result	result	result
comes	come	come
at	at	at
a	a	a
difficult	difficult	difficult
time	time	time
for	for	for
Turnbull	turnbul	Turnbull
,	,	,
who	who	who
earlier	earlier	earlier
this	this	this
week	week	week
was	was	wa
forced	forc	forced
into	into	into
an	an	an
embarrassing	embarrass	embarrassing
reversal	revers	reversal
of	of	of
his	his	his
long	long	long
-standing	-stand	-standing
position	posit	position
against	against	against
a	a	a
Royal	royal	Royal
Commission	commiss	Commission
into	into	into
the	the	the
country	countri	country
s	s	s
scandal	scandal	scandal
-hit	-hit	-hit
banking	bank	banking
and	and	and
financial	financi	financial
sector	sector	sector
amid	amid	amid
mounting	mount	mounting
political	polit	political
pressure	pressur	pressure
.	.	.

The	the	The
last	last	last
day	day	day
of	of	of
campaigning	campaign	campaigning
for	for	for
the	the	the
by	by	by
-election	-elect	-election
was	was	wa
marred	mar	marred
by	by	by
a	a	a
call	call	call
from	from	from
New	new	New
South	south	South
Wales	wale	Wales
Nationals	nation	Nationals
state	state	state
leader	leader	leader
and	and	and
deputy	deputi	deputy
premier	premier	premier
John	john	John
Barilaro	barilaro	Barilaro
for	for	for
Turnbull	turnbul	Turnbull
to	to	to
step	step	step
down	down	down
as	as	a
a	a	a
Christmas	christma	Christmas
gift	gift	gift
to	to	to
the	the	the
nation	nation	nation
.	.	.

The	the	The
comments	comment	comment
were	were	were
quickly	quick	quickly
rebuffed	rebuf	rebuffed
by	by	by
Liberal	liber	Liberal
Party	parti	Party
lawmakers	lawmak	lawmaker
and	and	and
Joyce	joyc	Joyce
,	,	,
who	who	who
said	said	said
they	they	they
were	were	were
very	veri	very
unhelpful	unhelp	unhelpful
and	and	and
insulting	insult	insulting
.	.	.

It	it	It
was	was	wa
the	the	the
latest	latest	latest
of	of	of
a	a	a
long	long	long
line	line	line
of	of	of
internal	intern	internal
turmoil	turmoil	turmoil
to	to	to
hit	hit	hit
the	the	the
coalition	coalit	coalition
throughout	throughout	throughout
the	the	the
year	year	year
,	,	,
which	which	which
has	has	ha
contributed	contribut	contributed
to	to	to
its	it	it
poor	poor	poor
performance	perform	performance
in	in	in
polls	poll	poll
throughout	throughout	throughout
the	the	the
year	year	year
.	.	.

