WARSAW	warsaw	WARSAW
Reuters	reuter	Reuters
-	-	-
Below	below	Below
are	are	are
details	detail	detail
of	of	of
the	the	the
European	european	European
Commission	commiss	Commission
s	s	s
decision	decis	decision
to	to	to
launch	launch	launch
the	the	the
Article	articl	Article
7	7	7
procedure	procedur	procedure
against	against	against
Poland	poland	Poland
on	on	on
Wednesday	wednesday	Wednesday
over	over	over
judicial	judici	judicial
reforms	reform	reform
that	that	that
Brussels	brussel	Brussels
says	say	say
undermine	undermin	undermine
Polish	polish	Polish
courts	court	court
independence	independ	independence
.	.	.
The	the	The
procedure	procedur	procedure
could	could	could
lead	lead	lead
to	to	to
a	a	a
suspension	suspens	suspension
of	of	of
Poland	poland	Poland
s	s	s
voting	vote	voting
rights	right	right
in	in	in
the	the	the
EU	eu	EU
if	if	if
approved	approv	approved
by	by	by
all	all	all
over	over	over
EU	eu	EU
members	member	member
except	except	except
Poland	poland	Poland
.	.	.
Hungary	hungari	Hungary
has	has	ha
said	said	said
it	it	it
would	would	would
veto	veto	veto
any	ani	any
sanctions	sanction	sanction
on	on	on
Poland	poland	Poland
.	.	.
First	first	First
Vice	vice	Vice
President	presid	President
of	of	of
the	the	the
European	european	European
Commission	commiss	Commission
,	,	,
Frans	fran	Frans
Timmermans	timmerman	Timmermans
,	,	,
said	said	said
at	at	at
a	a	a
news	news	news
conference	confer	conference
on	on	on
Wednesday	wednesday	Wednesday
that	that	that
thirteen	thirteen	thirteen
laws	law	law
passed	pass	passed
in	in	in
Poland	poland	Poland
over	over	over
the	the	the
last	last	last
two	two	two
years	year	year
put	put	put
at	at	at
serious	serious	serious
risk	risk	risk
the	the	the
independence	independ	independence
of	of	of
the	the	the
judiciary	judiciari	judiciary
and	and	and
the	the	the
separation	separ	separation
of	of	of
powers	power	power
in	in	in
Poland	poland	Poland
.	.	.
The	the	The
common	common	common
pattern	pattern	pattern
of	of	of
all	all	all
these	these	these
legislative	legisl	legislative
changes	chang	change
is	is	is
that	that	that
the	the	the
executive	execut	executive
or	or	or
legislative	legisl	legislative
powers	power	power
are	are	are
now	now	now
set	set	set
up	up	up
in	in	in
such	such	such
a	a	a
way	way	way
that	that	that
the	the	the
ruling	rule	ruling
majority	major	majority
can	can	can
systematically	systemat	systematically
,	,	,
politically	polit	politically
interfere	interfer	interfere
with	with	with
the	the	the
composition	composit	composition
,	,	,
the	the	the
powers	power	power
,	,	,
the	the	the
administration	administr	administration
and	and	and
the	the	the
functioning	function	functioning
of	of	of
these	these	these
authorities	author	authority
,	,	,
thereby	therebi	thereby
rendering	render	rendering
the	the	the
independence	independ	independence
of	of	of
the	the	the
judiciary	judiciari	judiciary
completely	complet	completely
moot	moot	moot
,	,	,
Timmermans	timmerman	Timmermans
said	said	said
.	.	.
He	he	He
said	said	said
that	that	that
laws	law	law
passed	pass	passed
by	by	by
Poland	poland	Poland
s	s	s
parliament	parliament	parliament
mean	mean	mean
that	that	that
Almost	almost	Almost
40	40	40
percent	percent	percent
of	of	of
current	current	current
Supreme	suprem	Supreme
Court	court	Court
judges	judg	judge
will	will	will
be	be	be
forced	forc	forced
into	into	into
compulsory	compulsori	compulsory
retirement	retir	retirement
Poland	poland	Poland
s	s	s
president	presid	president
will	will	will
have	have	have
discretionary	discretionari	discretionary
power	power	power
to	to	to
decide	decid	decide
if	if	if
and	and	and
for	for	for
how	how	how
long	long	long
to	to	to
prolong	prolong	prolong
their	their	their
mandates	mandat	mandate
New	new	New
Supreme	suprem	Supreme
Court	court	Court
judges	judg	judge
will	will	will
be	be	be
appointed	appoint	appointed
by	by	by
the	the	the
president	presid	president
on	on	on
the	the	the
recommendation	recommend	recommendation
of	of	of
the	the	the
newly	newli	newly
composed	compos	composed
National	nation	National
Council	council	Council
for	for	for
the	the	the
Judiciary	judiciari	Judiciary
NCJ	ncj	NCJ
,	,	,
which	which	which
is	is	is
dominated	domin	dominated
by	by	by
political	polit	political
appointees	appointe	appointee
of	of	of
the	the	the
ruling	rule	ruling
party	parti	party
.	.	.
This	this	This
politicized	politic	politicized
Supreme	suprem	Supreme
Court	court	Court
will	will	will
decide	decid	decide
directly	direct	directly
about	about	about
the	the	the
validity	valid	validity
of	of	of
election	elect	election
results	result	result
A	a	A
number	number	number
of	of	of
judges	judg	judge
in	in	in
ordinary	ordinari	ordinary
courts	court	court
are	are	are
forced	forc	forced
to	to	to
retire	retir	retire
following	follow	following
a	a	a
decrease	decreas	decrease
of	of	of
the	the	the
retirement	retir	retirement
age	age	age
of	of	of
judges	judg	judge
.	.	.
Their	their	Their
mandates	mandat	mandate
can	can	can
be	be	be
prolonged	prolong	prolonged
at	at	at
the	the	the
discretion	discret	discretion
of	of	of
the	the	the
Minister	minist	Minister
of	of	of
the	the	the
justice	justic	justice
minister	minist	minister
who	who	who
is	is	is
also	also	also
the	the	the
chief	chief	chief
prosecutor	prosecutor	prosecutor
Justice	justic	Justice
minister	minist	minister
has	has	ha
discretionary	discretionari	discretionary
power	power	power
to	to	to
appoint	appoint	appoint
and	and	and
dismiss	dismiss	dismiss
all	all	all
presidents	presid	president
of	of	of
courts	court	court
without	without	without
concrete	concret	concrete
criteria	criteria	criterion
,	,	,
no	no	no
obligation	oblig	obligation
to	to	to
state	state	state
reasons	reason	reason
and	and	and
no	no	no
judicial	judici	judicial
review	review	review
Mandates	mandat	Mandates
of	of	of
members	member	member
of	of	of
NCJ	ncj	NCJ
will	will	will
be	be	be
prematurely	prematur	prematurely
terminated	termin	terminated
and	and	and
members	member	member
will	will	will
be	be	be
reappointed	reappoint	reappointed
by	by	by
Polish	polish	Polish
parliament	parliament	parliament
instead	instead	instead
of	of	of
by	by	by
other	other	other
judges	judg	judge
as	as	a
required	requir	required
by	by	by
European	european	European
standards	standard	standard
NCJ	ncj	NCJ
plays	play	play
key	key	key
role	role	role
throughout	throughout	throughout
the	the	the
career	career	career
of	of	of
judges	judg	judge
when	when	when
it	it	it
comes	come	come
to	to	to
their	their	their
appointments	appoint	appointment
,	,	,
their	their	their
promotions	promot	promotion
,	,	,
to	to	to
where	where	where
they	they	they
are	are	are
assigned	assign	assigned
to	to	to
in	in	in
the	the	the
country	countri	country
and	and	and
the	the	the
courts	court	court
,	,	,
to	to	to
disciplinary	disciplinari	disciplinary
proceedings	proceed	proceeding
Timmermans	timmerman	Timmermans
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
the	the	the
European	european	European
Commission	commiss	Commission
asks	ask	asks
Poland	poland	Poland
to	to	to
Restore	restor	Restore
the	the	the
independence	independ	independence
and	and	and
legitimacy	legitimaci	legitimacy
of	of	of
the	the	the
Constitutional	constitut	Constitutional
Tribunal	tribun	Tribunal
by	by	by
ensuring	ensur	ensuring
that	that	that
its	it	it
judges	judg	judge
,	,	,
its	it	it
President	presid	President
and	and	and
its	it	it
Vice	vice	Vice
-President	-presid	-President
are	are	are
lawfully	law	lawfully
elected	elect	elected
and	and	and
appointed	appoint	appointed
Publish	publish	Publish
and	and	and
implement	implement	implement
fully	fulli	fully
the	the	the
three	three	three
2016	2016	2016
verdicts	verdict	verdict
of	of	of
the	the	the
Constitutional	constitut	Constitutional
Tribunal	tribun	Tribunal
Amend	amend	Amend
the	the	the
law	law	law
on	on	on
the	the	the
Supreme	suprem	Supreme
Court	court	Court
so	so	so
as	as	a
to	to	to
not	not	not
apply	appli	apply
a	a	a
lowered	lower	lowered
retirement	retir	retirement
age	age	age
to	to	to
the	the	the
current	current	current
Supreme	suprem	Supreme
Court	court	Court
judges	judg	judge
,	,	,
and	and	and
remove	remov	remove
the	the	the
discretionary	discretionari	discretionary
powers	power	power
of	of	of
the	the	the
President	presid	President
of	of	of
Poland	poland	Poland
and	and	and
remove	remov	remove
the	the	the
extraordinary	extraordinari	extraordinary
appeal	appeal	appeal
procedure	procedur	procedure
Amend	amend	Amend
the	the	the
law	law	law
on	on	on
the	the	the
ordinary	ordinari	ordinary
courts	court	court
so	so	so
as	as	a
to	to	to
remove	remov	remove
the	the	the
new	new	new
retirement	retir	retirement
regime	regim	regime
for	for	for
judges	judg	judge
of	of	of
ordinary	ordinari	ordinary
courts	court	court
Amend	amend	Amend
the	the	the
law	law	law
on	on	on
the	the	the
National	nation	National
Council	council	Council
for	for	for
the	the	the
Judiciary	judiciari	Judiciary
so	so	so
as	as	a
to	to	to
ensure	ensur	ensure
that	that	that
the	the	the
mandate	mandat	mandate
of	of	of
members	member	member
of	of	of
the	the	the
Council	council	Council
is	is	is
not	not	not
terminated	termin	terminated
and	and	and
the	the	the
members	member	member
are	are	are
elected	elect	elected
by	by	by
other	other	other
judges	judg	judge
The	the	The
Commission	commiss	Commission
said	said	said
that	that	that
should	should	should
the	the	the
Polish	polish	Polish
authorities	author	authority
implement	implement	implement
the	the	the
recommended	recommend	recommended
actions	action	action
in	in	in
the	the	the
coming	come	coming
three	three	three
months	month	month
the	the	the
Commission	commiss	Commission
stands	stand	stand
ready	readi	ready
to	to	to
reconsider	reconsid	reconsider
its	it	it
decision	decis	decision
to	to	to
move	move	move
forward	forward	forward
with	with	with
the	the	the
Article	articl	Article
7	7	7
procedure	procedur	procedure
.	.	.
