PHNOM	phnom	PHNOM
PENH	penh	PENH
Reuters	reuter	Reuters
-	-	-
Cambodia	cambodia	Cambodia
s	s	s
detained	detain	detained
opposition	opposit	opposition
leader	leader	leader
,	,	,
who	who	who
is	is	is
accused	accus	accused
of	of	of
treason	treason	treason
by	by	by
the	the	the
government	govern	government
of	of	of
strongman	strongman	strongman
Prime	prime	Prime
Minister	minist	Minister
Hun	hun	Hun
Sen	sen	Sen
,	,	,
denied	deni	denied
the	the	the
charges	charg	charge
against	against	against
him	him	him
on	on	on
Monday	monday	Monday
in	in	in
his	his	his
first	first	first
comments	comment	comment
since	sinc	since
his	his	his
arrest	arrest	arrest
last	last	last
month	month	month
.	.	.

Kem	kem	Kem
Sokha	sokha	Sokha
,	,	,
head	head	head
of	of	of
the	the	the
opposition	opposit	opposition
Cambodia	cambodia	Cambodia
National	nation	National
Rescue	rescu	Rescue
Party	parti	Party
CNRP	cnrp	CNRP
is	is	is
accused	accus	accused
of	of	of
trying	tri	trying
to	to	to
overthrow	overthrow	overthrow
the	the	the
government	govern	government
with	with	with
help	help	help
from	from	from
the	the	the
United	unit	United
States	state	States
and	and	and
of	of	of
espionage	espionag	espionage
-	-	-
charges	charg	charge
he	he	he
denies	deni	denies
and	and	and
says	say	say
are	are	are
politically	polit	politically
motivated	motiv	motivated
.	.	.

His	his	His
arrest	arrest	arrest
last	last	last
month	month	month
is	is	is
part	part	part
of	of	of
ongoing	ongo	ongoing
efforts	effort	effort
by	by	by
the	the	the
government	govern	government
to	to	to
silence	silenc	silence
political	polit	political
opponents	oppon	opponent
and	and	and
independent	independ	independent
media	media	medium
ahead	ahead	ahead
of	of	of
a	a	a
general	general	general
election	elect	election
next	next	next
year	year	year
.	.	.

Earlier	earlier	Earlier
on	on	on
Monday	monday	Monday
Hun	hun	Hun
Sen	sen	Sen
,	,	,
a	a	a
former	former	former
Khmer	khmer	Khmer
Rouge	roug	Rouge
officer	offic	officer
who	who	who
defected	defect	defected
and	and	and
has	has	ha
ruled	rule	ruled
Cambodia	cambodia	Cambodia
for	for	for
more	more	more
than	than	than
three	three	three
decades	decad	decade
,	,	,
attacked	attack	attacked
opposition	opposit	opposition
figures	figur	figure
as	as	a
rebels	rebel	rebel
in	in	in
the	the	the
city	citi	city
bent	bent	bent
on	on	on
staging	stage	staging
a	a	a
revolution	revolut	revolution
.	.	.

In	in	In
a	a	a
three	three	three
-page	-page	-page
letter	letter	letter
posted	post	posted
on	on	on
his	his	his
Facebook	facebook	Facebook
page	page	page
on	on	on
Monday	monday	Monday
Kem	kem	Kem
Sokha	sokha	Sokha
said	said	said
that	that	that
he	he	he
was	was	wa
seeking	seek	seeking
positive	posit	positive
change	chang	change
in	in	in
Cambodia	cambodia	Cambodia
through	through	through
the	the	the
ballot	ballot	ballot
box	box	box
and	and	and
not	not	not
through	through	through
revolution	revolut	revolution
as	as	a
charged	charg	charged
.	.	.

As	as	As
the	the	the
leader	leader	leader
of	of	of
the	the	the
CNRP	cnrp	CNRP
and	and	and
a	a	a
representative	repres	representative
of	of	of
more	more	more
than	than	than
half	half	half
of	of	of
the	the	the
country	countri	country
s	s	s
population	popul	population
,	,	,
I	i	I
always	alway	always
choose	choos	choose
changes	chang	change
through	through	through
elections	elect	election
without	without	without
violence	violenc	violence
,	,	,
he	he	he
said	said	said
in	in	in
the	the	the
letter	letter	letter
.	.	.

Rights	right	Rights
groups	group	group
say	say	say
Hun	hun	Hun
Sen	sen	Sen
,	,	,
65	65	65
,	,	,
is	is	is
determined	determin	determined
to	to	to
extend	extend	extend
his	his	his
rule	rule	rule
and	and	and
dismantle	dismantl	dismantle
the	the	the
burgeoning	burgeon	burgeoning
popularity	popular	popularity
of	of	of
the	the	the
CNRP	cnrp	CNRP
,	,	,
who	who	who
have	have	have
gained	gain	gained
from	from	from
public	public	public
anger	anger	anger
over	over	over
inequality	inequ	inequality
and	and	and
cronyism	cronyism	cronyism
in	in	in
the	the	the
country	countri	country
under	under	under
Hun	hun	Hun
Sen	sen	Sen
s	s	s
rule	rule	rule
.	.	.

The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
embassy	embassi	embassy
has	has	ha
rejected	reject	rejected
any	ani	any
suggestion	suggest	suggestion
of	of	of
interference	interfer	interference
in	in	in
politics	polit	politics
.	.	.

Kem	kem	Kem
Sokha	sokha	Sokha
s	s	s
Sept	sept	Sept
.	.	.

3	3	3
arrest	arrest	arrest
sparked	spark	sparked
condemnation	condemn	condemnation
from	from	from
Western	western	Western
countries	countri	country
,	,	,
and	and	and
the	the	the
CNRP	cnrp	CNRP
has	has	ha
said	said	said
about	about	about
half	half	half
its	it	it
members	member	member
of	of	of
parliament	parliament	parliament
have	have	have
fled	fled	fled
Cambodia	cambodia	Cambodia
fearing	fear	fearing
a	a	a
crackdown	crackdown	crackdown
.	.	.

In	in	In
his	his	his
letter	letter	letter
,	,	,
Kem	kem	Kem
Sokha	sokha	Sokha
called	call	called
his	his	his
arrest	arrest	arrest
