DHAKA	dhaka	DHAKA
Reuters	reuter	Reuters
-	-	-
A	a	A
lawyer	lawyer	lawyer
for	for	for
two	two	two
Myanmar	myanmar	Myanmar
journalists	journalist	journalist
detained	detain	detained
in	in	in
Bangladesh	bangladesh	Bangladesh
while	while	while
reporting	report	reporting
on	on	on
the	the	the
influx	influx	influx
of	of	of
thousands	thousand	thousand
of	of	of
Rohingya	rohingya	Rohingya
Muslims	muslim	Muslims
from	from	from
Myanmar	myanmar	Myanmar
said	said	said
on	on	on
Monday	monday	Monday
he	he	he
had	had	had
been	been	been
denied	deni	denied
access	access	access
to	to	to
them	them	them
amid	amid	amid
concern	concern	concern
over	over	over
their	their	their
well	well	well
-being	-be	-being
.	.	.
The	the	The
journalists	journalist	journalist
,	,	,
Minzayar	minzayar	Minzayar
Oo	oo	Oo
and	and	and
Hkun	hkun	Hkun
Lat	lat	Lat
,	,	,
were	were	were
detained	detain	detained
more	more	more
than	than	than
a	a	a
week	week	week
ago	ago	ago
in	in	in
the	the	the
Cox	cox	Cox
s	s	s
Bazar	bazar	Bazar
border	border	border
district	district	district
in	in	in
Bangladesh	bangladesh	Bangladesh
,	,	,
where	where	where
refugees	refuge	refugee
are	are	are
arriving	arriv	arriving
from	from	from
Myanmar	myanmar	Myanmar
to	to	to
escape	escap	escape
a	a	a
military	militari	military
offensive	offens	offensive
against	against	against
insurgents	insurg	insurgent
that	that	that
the	the	the
United	unit	United
Nations	nation	Nations
has	has	ha
described	describ	described
as	as	a
ethnic	ethnic	ethnic
cleansing	cleans	cleansing
.	.	.
Bangladesh	bangladesh	Bangladesh
police	polic	police
said	said	said
the	the	the
pair	pair	pair
were	were	were
detained	detain	detained
for	for	for
engaging	engag	engaging
in	in	in
journalistic	journalist	journalistic
work	work	work
for	for	for
a	a	a
German	german	German
magazine	magazin	magazine
while	while	while
on	on	on
tourist	tourist	tourist
visas	visa	visa
.	.	.
On	on	On
Thursday	thursday	Thursday
,	,	,
a	a	a
court	court	court
refused	refus	refused
them	them	them
bail	bail	bail
.	.	.
Jyotirmoy	jyotirmoy	Jyotirmoy
Barua	barua	Barua
,	,	,
their	their	their
lawyer	lawyer	lawyer
,	,	,
said	said	said
he	he	he
had	had	had
gone	gone	gone
to	to	to
the	the	the
prison	prison	prison
to	to	to
meet	meet	meet
them	them	them
about	about	about
a	a	a
petition	petit	petition
he	he	he
planned	plan	planned
to	to	to
file	file	file
in	in	in
a	a	a
higher	higher	higher
court	court	court
seeking	seek	seeking
their	their	their
release	releas	release
.	.	.
But	but	But
prison	prison	prison
authorities	author	authority
refused	refus	refused
him	him	him
permission	permiss	permission
and	and	and
did	did	did
not	not	not
say	say	say
why	whi	why
,	,	,
he	he	he
said	said	said
,	,	,
adding	ad	adding
that	that	that
he	he	he
had	had	had
asked	ask	asked
for	for	for
court	court	court
and	and	and
police	polic	police
documents	document	document
to	to	to
prepare	prepar	prepare
an	an	an
appeal	appeal	appeal
on	on	on
behalf	behalf	behalf
of	of	of
the	the	the
two	two	two
.	.	.
Myanmar	myanmar	Myanmar
has	has	ha
said	said	said
it	it	it
is	is	is
seeking	seek	seeking
information	inform	information
about	about	about
the	the	the
two	two	two
through	through	through
diplomatic	diplomat	diplomatic
channels	channel	channel
.	.	.
More	more	More
than	than	than
410	410	410
,	,	,
000	000	000
refugees	refuge	refugee
from	from	from
Myanmar	myanmar	Myanmar
have	have	have
poured	pour	poured
into	into	into
Bangladesh	bangladesh	Bangladesh
since	sinc	since
Aug	aug	Aug
.	.	.
25	25	25
,	,	,
when	when	when
attacks	attack	attack
by	by	by
Rohingya	rohingya	Rohingya
militants	milit	militant
on	on	on
security	secur	security
posts	post	post
triggered	trigger	triggered
a	a	a
Myanmar	myanmar	Myanmar
army	armi	army
operation	oper	operation
in	in	in
response	respons	response
.	.	.
Myanmar	myanmar	Myanmar
denies	deni	denies
ethnic	ethnic	ethnic
cleansing	cleans	cleansing
,	,	,
saying	say	saying
its	it	it
forces	forc	force
are	are	are
conducting	conduct	conducting
a	a	a
legitimate	legitim	legitimate
campaign	campaign	campaign
against	against	against
terrorists	terrorist	terrorist
.	.	.
Germany	germani	Germany
s	s	s
GEO	geo	GEO
magazine	magazin	magazine
,	,	,
which	which	which
had	had	had
assigned	assign	assigned
Minzayar	minzayar	Minzayar
Oo	oo	Oo
to	to	to
cover	cover	cover
the	the	the
Rohingya	rohingya	Rohingya
crisis	crisi	crisis
,	,	,
said	said	said
he	he	he
had	had	had
traveled	travel	traveled
to	to	to
Bangladesh	bangladesh	Bangladesh
on	on	on
Sept	sept	Sept
.	.	.
6	6	6
,	,	,
along	along	along
with	with	with
Hkun	hkun	Hkun
Lat	lat	Lat
,	,	,
and	and	and
was	was	wa
detained	detain	detained
the	the	the
next	next	next
day	day	day
.	.	.
We	we	We
are	are	are
very	veri	very
concerned	concern	concerned
that	that	that
the	the	the
lawyer	lawyer	lawyer
is	is	is
being	be	being
denied	deni	denied
access	access	access
,	,	,
Christoph	christoph	Christoph
Kucklick	kucklick	Kucklick
,	,	,
editor	editor	editor
-in-chief	-in-chief	-in-chief
of	of	of
GEO	geo	GEO
,	,	,
said	said	said
in	in	in
a	a	a
joint	joint	joint
statement	statement	statement
with	with	with
Adrian	adrian	Adrian
Evans	evan	Evans
,	,	,
director	director	director
of	of	of
Panos	pano	Panos
Pictures	pictur	Pictures
,	,	,
of	of	of
which	which	which
Minzayar	minzayar	Minzayar
Oo	oo	Oo
is	is	is
a	a	a
member	member	member
.	.	.
Even	even	Even
more	more	more
disconcerting	disconcert	disconcerting
is	is	is
that	that	that
the	the	the
authorities	author	authority
are	are	are
stating	state	stating
that	that	that
Minzayar	minzayar	Minzayar
Oo	oo	Oo
and	and	and
Hkun	hkun	Hkun
Lat	lat	Lat
were	were	were
detained	detain	detained
on	on	on
September	septemb	September
13	13	13
whereas	wherea	whereas
in	in	in
reality	realiti	reality
they	they	they
have	have	have
been	been	been
in	in	in
police	polic	police
custody	custodi	custody
since	sinc	since
September	septemb	September
7	7	7
,	,	,
the	the	the
magazine	magazin	magazine
said	said	said
.	.	.
We	we	We
need	need	need
to	to	to
know	know	know
that	that	that
they	they	they
are	are	are
well	well	well
treated	treat	treated
and	and	and
physically	physic	physically
unharmed	unharm	unharmed
.	.	.
Minzayar	minzayar	Minzayar
Oo	oo	Oo
is	is	is
one	one	one
of	of	of
Myanmar	myanmar	Myanmar
s	s	s
most	most	most
prominent	promin	prominent
photographers	photograph	photographer
and	and	and
has	has	ha
worked	work	worked
for	for	for
various	various	various
media	media	medium
outlets	outlet	outlet
,	,	,
covering	cover	covering
the	the	the
country	countri	country
s	s	s
emergence	emerg	emergence
from	from	from
military	militari	military
rule	rule	rule
.	.	.
Hkun	hkun	Hkun
Lat	lat	Lat
is	is	is
also	also	also
a	a	a
well	well	well
-known	-known	-known
photographer	photograph	photographer
in	in	in
Myanmar	myanmar	Myanmar
and	and	and
has	has	ha
won	won	won
prizes	prize	prize
for	for	for
his	his	his
coverage	coverag	coverage
of	of	of
conflict	conflict	conflict
in	in	in
frontier	frontier	frontier
regions	region	region
.	.	.
