UNITED	unit	UNITED
NATIONS	nation	NATIONS
Reuters	reuter	Reuters
-	-	-
The	the	The
United	unit	United
States	state	States
accused	accus	accused
Iran	iran	Iran
on	on	on
Tuesday	tuesday	Tuesday
of	of	of
supplying	suppli	supplying
Yemen	yemen	Yemen
s	s	s
Houthi	houthi	Houthi
rebels	rebel	rebel
with	with	with
a	a	a
missile	missil	missile
that	that	that
was	was	wa
fired	fire	fired
into	into	into
Saudi	saudi	Saudi
Arabia	arabia	Arabia
in	in	in
July	juli	July
and	and	and
called	call	called
for	for	for
the	the	the
United	unit	United
Nations	nation	Nations
to	to	to
hold	hold	hold
Tehran	tehran	Tehran
accountable	account	accountable
for	for	for
violating	violat	violating
two	two	two
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
resolutions	resolut	resolution
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
Ambassador	ambassador	Ambassador
to	to	to
the	the	the
United	unit	United
Nations	nation	Nations
Nikki	nikki	Nikki
Haley	haley	Haley
said	said	said
information	inform	information
released	releas	released
by	by	by
Saudi	saudi	Saudi
Arabia	arabia	Arabia
showed	show	showed
the	the	the
missile	missil	missile
fired	fire	fired
in	in	in
July	juli	July
was	was	wa
an	an	an
Iranian	iranian	Iranian
Qiam	qiam	Qiam
,	,	,
which	which	which
she	she	she
described	describ	described
as	as	a
a	a	a
type	type	type
of	of	of
weapon	weapon	weapon
that	that	that
had	had	had
not	not	not
been	been	been
present	present	present
in	in	in
Yemen	yemen	Yemen
before	befor	before
the	the	the
conflict	conflict	conflict
.	.	.
Saudi	saudi	Saudi
-led	-led	-led
forces	forc	force
,	,	,
which	which	which
back	back	back
the	the	the
government	govern	government
in	in	in
neighboring	neighbor	neighboring
Yemen	yemen	Yemen
,	,	,
have	have	have
been	been	been
targeting	target	targeting
the	the	the
Iran	iran	Iran
-allied	-alli	-allied
Houthis	houthi	Houthis
in	in	in
a	a	a
more	more	more
than	than	than
two	two	two
-year	-year	-year
war	war	war
.	.	.
Saudi	saudi	Saudi
Arabia	arabia	Arabia
s	s	s
crown	crown	crown
prince	princ	prince
on	on	on
Tuesday	tuesday	Tuesday
described	describ	described
Iran	iran	Iran
s	s	s
supply	suppli	supply
of	of	of
rockets	rocket	rocket
to	to	to
the	the	the
Houthis	houthi	Houthis
as	as	a
direct	direct	direct
military	militari	military
aggression	aggress	aggression
that	that	that
could	could	could
be	be	be
an	an	an
act	act	act
of	of	of
war	war	war
.	.	.
Haley	haley	Haley
said	said	said
that	that	that
by	by	by
providing	provid	providing
weapons	weapon	weapon
to	to	to
the	the	the
Houthis	houthi	Houthis
,	,	,
Iran	iran	Iran
s	s	s
Islamic	islam	Islamic
Revolutionary	revolutionari	Revolutionary
Guard	guard	Guard
Corp	corp	Corp
s	s	s
had	had	had
violated	violat	violated
two	two	two
U	u	U
.	.	.
N	n	N
.	.	.
resolutions	resolut	resolution
on	on	on
Yemen	yemen	Yemen
and	and	and
Iran	iran	Iran
.	.	.
She	she	She
said	said	said
a	a	a
missile	missil	missile
shot	shot	shot
down	down	down
over	over	over
Saudi	saudi	Saudi
Arabia	arabia	Arabia
on	on	on
Saturday	saturday	Saturday
may	may	may
also	also	also
be	be	be
of	of	of
Iranian	iranian	Iranian
origin	origin	origin
.	.	.
We	we	We
encourage	encourag	encourage
the	the	the
United	unit	United
Nations	nation	Nations
and	and	and
international	intern	international
partners	partner	partner
to	to	to
take	take	take
necessary	necessari	necessary
action	action	action
to	to	to
hold	hold	hold
the	the	the
Iranian	iranian	Iranian
regime	regim	regime
accountable	account	accountable
for	for	for
these	these	these
violations	violat	violation
,	,	,
Haley	haley	Haley
said	said	said
.	.	.
It	it	It
was	was	wa
not	not	not
immediately	immedi	immediately
clear	clear	clear
what	what	what
action	action	action
the	the	the
United	unit	United
States	state	States
was	was	wa
calling	call	calling
for	for	for
.	.	.
Saudi	saudi	Saudi
U	u	U
.	.	.
N	n	N
.	.	.
Ambassador	ambassador	Ambassador
Abdallah	abdallah	Abdallah
Al	al	Al
-Mouallimi	-mouallimi	-Mouallimi
echoed	echo	echoed
Haley	haley	Haley
s	s	s
call	call	call
for	for	for
U	u	U
.	.	.
N	n	N
.	.	.
action	action	action
against	against	against
Iran	iran	Iran
in	in	in
a	a	a
letter	letter	letter
to	to	to
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
and	and	and
Secretary	secretari	Secretary
-General	-gener	-General
Antonio	antonio	Antonio
Guterres	guterr	Guterres
later	later	later
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
seen	seen	seen
by	by	by
Reuters	reuter	Reuters
.	.	.
He	he	He
said	said	said
the	the	the
missile	missil	missile
fired	fire	fired
on	on	on
Saturday	saturday	Saturday
may	may	may
amount	amount	amount
to	to	to
a	a	a
war	war	war
crime	crime	crime
and	and	and
that	that	that
Saudi	saudi	Saudi
Arabia	arabia	Arabia
was	was	wa
taking	take	taking
appropriate	appropri	appropriate
measures	measur	measure
to	to	to
respond	respond	respond
to	to	to
these	these	these
terrorist	terrorist	terrorist
acts	act	act
.	.	.
Iran	iran	Iran
s	s	s
U	u	U
.	.	.
N	n	N
.	.	.
Ambassador	ambassador	Ambassador
Gholamali	gholamali	Gholamali
Khoshroo	khoshroo	Khoshroo
also	also	also
wrote	wrote	wrote
to	to	to
the	the	the
Security	secur	Security
Council	council	Council
and	and	and
Guterres	guterr	Guterres
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
rejecting	reject	rejecting
the	the	the
accusations	accus	accusation
by	by	by
Saudi	saudi	Saudi
Arabia	arabia	Arabia
as	as	a
baseless	baseless	baseless
and	and	and
unfounded	unfound	unfounded
.	.	.
Iran	iran	Iran
calls	call	call
for	for	for
self	self	self
-restraint	-restraint	-restraint
and	and	and
wisdom	wisdom	wisdom
instead	instead	instead
of	of	of
provocation	provoc	provocation
and	and	and
threat	threat	threat
that	that	that
may	may	may
bring	bring	bring
further	further	further
instability	instabl	instability
to	to	to
this	this	this
already	alreadi	already
volatile	volatil	volatile
region	region	region
,	,	,
Khoshroo	khoshroo	Khoshroo
wrote	wrote	wrote
in	in	in
the	the	the
letter	letter	letter
,	,	,
seen	seen	seen
by	by	by
Reuters	reuter	Reuters
.	.	.
Under	under	Under
a	a	a
U	u	U
.	.	.
N	n	N
.	.	.
resolution	resolut	resolution
that	that	that
enshrines	enshrin	enshrines
the	the	the
Iran	iran	Iran
nuclear	nuclear	nuclear
deal	deal	deal
with	with	with
world	world	world
powers	power	power
,	,	,
Tehran	tehran	Tehran
is	is	is
prohibited	prohibit	prohibited
from	from	from
supplying	suppli	supplying
,	,	,
selling	sell	selling
or	or	or
transferring	transfer	transferring
weapons	weapon	weapon
outside	outsid	outside
the	the	the
country	countri	country
unless	unless	unless
approved	approv	approved
in	in	in
advance	advanc	advance
by	by	by
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
.	.	.
A	a	A
separate	separ	separate
U	u	U
.	.	.
N	n	N
.	.	.
resolution	resolut	resolution
on	on	on
Yemen	yemen	Yemen
bans	ban	ban
the	the	the
supply	suppli	supply
of	of	of
weapons	weapon	weapon
to	to	to
Houthi	houthi	Houthi
leader	leader	leader
Abdul	abdul	Abdul
-Malik	-malik	-Malik
al	al	al
-Houthi	-houthi	-Houthi
,	,	,
two	two	two
Houthi	houthi	Houthi
commanders	command	commander
,	,	,
Yemen	yemen	Yemen
s	s	s
former	former	former
President	presid	President
Ali	ali	Ali
Abdullah	abdullah	Abdullah
Saleh	saleh	Saleh
,	,	,
his	his	his
son	son	son
,	,	,
and	and	and
those	those	those
acting	act	acting
on	on	on
their	their	their
behalf	behalf	behalf
or	or	or
at	at	at
their	their	their
direction	direct	direction
.	.	.
The	the	The
United	unit	United
States	state	States
could	could	could
propose	propos	propose
people	peopl	people
or	or	or
entities	entiti	entity
to	to	to
be	be	be
blacklisted	blacklist	blacklisted
by	by	by
the	the	the
Security	secur	Security
Council	council	Council
s	s	s
Yemen	yemen	Yemen
sanctions	sanction	sanction
committee	committe	committee
,	,	,
a	a	a
move	move	move
that	that	that
would	would	would
need	need	need
consensus	consensus	consensus
approval	approv	approval
by	by	by
the	the	the
15	15	15
-members	-member	-members
.	.	.
Or	or	Or
it	it	it
could	could	could
put	put	put
forward	forward	forward
a	a	a
new	new	new
Security	secur	Security
Council	council	Council
resolution	resolut	resolution
to	to	to
impose	impos	impose
sanctions	sanction	sanction
on	on	on
Iran	iran	Iran
.	.	.
To	to	To
pass	pass	pas
,	,	,
a	a	a
resolution	resolut	resolution
needs	need	need
nine	nine	nine
votes	vote	vote
in	in	in
favor	favor	favor
and	and	and
no	no	no
vetoes	veto	veto
by	by	by
the	the	the
United	unit	United
States	state	States
,	,	,
Britain	britain	Britain
,	,	,
France	franc	France
,	,	,
China	china	China
or	or	or
Russia	russia	Russia
.	.	.
