WASHINGTON	washington	WASHINGTON
Reuters	reuter	Reuters
-	-	-
Labor	labor	Labor
secretary	secretari	secretary
nominee	nomine	nominee
Andrew	andrew	Andrew
Puzder	puzder	Puzder
,	,	,
the	the	the
controversial	controversi	controversial
business	busi	business
leader	leader	leader
expected	expect	expected
to	to	to
undergo	undergo	undergo
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
Senate	senat	Senate
confirmation	confirm	confirmation
hearing	hear	hearing
next	next	next
week	week	week
,	,	,
will	will	will
be	be	be
spared	spare	spared
an	an	an
emotionally	emot	emotionally
weighted	weight	weighted
and	and	and
concurrent	concurr	concurrent
discrimination	discrimin	discrimination
trial	trial	trial
against	against	against
the	the	the
restaurant	restaur	restaurant
group	group	group
he	he	he
heads	head	head
.	.	.
A	a	A
state	state	state
court	court	court
in	in	in
Orange	orang	Orange
County	counti	County
,	,	,
California	california	California
,	,	,
has	has	ha
granted	grant	granted
CKE	cke	CKE
Restaurants	restaur	Restaurants
Inc	inc	Inc
a	a	a
delay	delay	delay
from	from	from
Feb	feb	Feb
.	.	.
27	27	27
-	-	-
when	when	when
the	the	the
full	full	full
Senate	senat	Senate
might	might	might
still	still	still
be	be	be
considering	consid	considering
Puzder	puzder	Puzder
s	s	s
nomination	nomin	nomination
-	-	-
to	to	to
early	earli	early
June	june	June
for	for	for
an	an	an
age	age	age
and	and	and
disability	disabl	disability
discrimination	discrimin	discrimination
lawsuit	lawsuit	lawsuit
after	after	after
the	the	the
company	compani	company
cited	cite	cited
negative	negat	negative
publicity	public	publicity
generated	generat	generated
by	by	by
his	his	his
nomination	nomin	nomination
.	.	.
Puzder	puzder	Puzder
,	,	,
CKE	cke	CKE
Restaurants	restaur	Restaurants
chief	chief	chief
executive	execut	executive
,	,	,
has	has	ha
been	been	been
under	under	under
fire	fire	fire
by	by	by
Democrats	democrat	Democrats
and	and	and
labor	labor	labor
groups	group	group
for	for	for
opposing	oppos	opposing
increases	increas	increase
in	in	in
the	the	the
minimum	minimum	minimum
wage	wage	wage
and	and	and
aiming	aim	aiming
to	to	to
curb	curb	curb
worker	worker	worker
protections	protect	protection
.	.	.
But	but	But
his	his	his
expected	expect	expected
confirmation	confirm	confirmation
by	by	by
a	a	a
Republican	republican	Republican
majority	major	majority
in	in	in
the	the	the
Senate	senat	Senate
has	has	ha
not	not	not
been	been	been
knocked	knock	knocked
off	off	off
track	track	track
.	.	.
By	by	By
the	the	the
June	june	June
5	5	5
trial	trial	trial
,	,	,
he	he	he
may	may	may
be	be	be
labor	labor	labor
secretary	secretari	secretary
and	and	and
well	well	well
along	along	along
the	the	the
way	way	way
to	to	to
divesting	divest	divesting
himself	himself	himself
from	from	from
the	the	the
company	compani	company
.	.	.
Puzder	puzder	Puzder
agreed	agre	agreed
to	to	to
divest	divest	divest
his	his	his
stakes	stake	stake
in	in	in
CKE	cke	CKE
,	,	,
worth	worth	worth
anywhere	anywher	anywhere
between	between	between
11	11	11
million	million	million
and	and	and
55	55	55
million	million	million
,	,	,
if	if	if
confirmed	confirm	confirmed
,	,	,
according	accord	according
to	to	to
an	an	an
ethics	ethic	ethic
submission	submiss	submission
reviewed	review	reviewed
by	by	by
Reuters	reuter	Reuters
.	.	.
Puzder	puzder	Puzder
s	s	s
confirmation	confirm	confirmation
hearing	hear	hearing
has	has	ha
been	been	been
repeatedly	repeat	repeatedly
delayed	delay	delayed
as	as	a
a	a	a
government	govern	government
ethics	ethic	ethic
office	offic	office
reviewed	review	reviewed
his	his	his
plan	plan	plan
to	to	to
divest	divest	divest
from	from	from
CKE	cke	CKE
,	,	,
which	which	which
owns	own	owns
franchised	franchis	franchised
restaurants	restaur	restaurant
,	,	,
including	includ	including
Carl	carl	Carl
s	s	s
Jr	jr	Jr
.	.	.
and	and	and
Hardee	harde	Hardee
s	s	s
.	.	.
Puzder	puzder	Puzder
also	also	also
promised	promis	promised
to	to	to
divest	divest	divest
his	his	his
holdings	hold	holding
in	in	in
more	more	more
than	than	than
200	200	200
assets	asset	asset
,	,	,
including	includ	including
Berkshire	berkshir	Berkshire
Hathaway	hathaway	Hathaway
Inc	inc	Inc
,	,	,
Altria	altria	Altria
Group	group	Group
Inc	inc	Inc
,	,	,
Bank	bank	Bank
of	of	of
America	america	America
Corp	corp	Corp
and	and	and
Cisco	cisco	Cisco
Systems	system	Systems
Inc	inc	Inc
,	,	,
within	within	within
90	90	90
days	day	day
of	of	of
his	his	his
confirmation	confirm	confirmation
.	.	.
He	he	He
will	will	will
divest	divest	divest
from	from	from
more	more	more
illiquid	illiquid	illiquid
funds	fund	fund
within	within	within
180	180	180
days	day	day
,	,	,
but	but	but
he	he	he
declined	declin	declined
to	to	to
provide	provid	provide
details	detail	detail
for	for	for
some	some	some
of	of	of
the	the	the
funds	fund	fund
underlying	under	underlying
assets	asset	asset
,	,	,
citing	cite	citing
a	a	a
confidentiality	confidenti	confidentiality
agreement	agreement	agreement
.	.	.
The	the	The
California	california	California
case	case	case
was	was	wa
brought	brought	brought
by	by	by
James	jame	James
Dombrowski	dombrowski	Dombrowski
,	,	,
whose	whose	whose
employment	employ	employment
was	was	wa
terminated	termin	terminated
as	as	a
he	he	he
recovered	recov	recovered
from	from	from
a	a	a
brain	brain	brain
biopsy	biopsi	biopsy
,	,	,
according	accord	according
to	to	to
court	court	court
filings	file	filing
.	.	.
CKE	cke	CKE
s	s	s
franchised	franchis	franchised
restaurants	restaur	restaurant
have	have	have
faced	face	faced
wage	wage	wage
-and-hour	-and-hour	-and-hour
and	and	and
labor	labor	labor
condition	condit	condition
complaints	complaint	complaint
from	from	from
workers	worker	worker
,	,	,
but	but	but
the	the	the
Dombrowski	dombrowski	Dombrowski
case	case	case
is	is	is
against	against	against
the	the	the
holding	hold	holding
company	compani	company
largely	larg	largely
controlled	control	controlled
by	by	by
Puzder	puzder	Puzder
.	.	.
CKE	cke	CKE
was	was	wa
also	also	also
named	name	named
in	in	in
an	an	an
antitrust	antitrust	antitrust
lawsuit	lawsuit	lawsuit
filed	file	filed
by	by	by
current	current	current
and	and	and
former	former	former
Carl	carl	Carl
s	s	s
Jr	jr	Jr
.	.	.
workers	worker	worker
in	in	in
a	a	a
California	california	California
court	court	court
on	on	on
Wednesday	wednesday	Wednesday
that	that	that
alleges	alleg	alleges
a	a	a
scheme	scheme	scheme
to	to	to
suppress	suppress	suppress
wages	wage	wage
across	across	across
its	it	it
franchises	franchis	franchise
by	by	by
using	use	using
no	no	no
hire	hire	hire
agreements	agreement	agreement
.	.	.
Dombrowski	dombrowski	Dombrowski
claims	claim	claim
that	that	that
he	he	he
was	was	wa
fired	fire	fired
by	by	by
CKE	cke	CKE
when	when	when
he	he	he
tried	tri	tried
to	to	to
return	return	return
to	to	to
work	work	work
in	in	in
2015	2015	2015
,	,	,
at	at	at
the	the	the
age	age	age
of	of	of
68	68	68
,	,	,
after	after	after
taking	take	taking
a	a	a
disability	disabl	disability
leave	leav	leave
following	follow	following
a	a	a
brain	brain	brain
biopsy	biopsi	biopsy
which	which	which
temporarily	temporarili	temporarily
paralyzed	paralyz	paralyzed
him	him	him
.	.	.
CKE	cke	CKE
s	s	s
attorney	attorney	attorney
in	in	in
the	the	the
Dombrowski	dombrowski	Dombrowski
case	case	case
,	,	,
Scott	scott	Scott
Ferrell	ferrel	Ferrell
,	,	,
argued	argu	argued
that	that	that
the	the	the
negative	negat	negative
publicity	public	publicity
surrounding	surround	surrounding
CKE	cke	CKE
s	s	s
business	busi	business
practices	practic	practice
due	due	due
to	to	to
Puzder	puzder	Puzder
s	s	s
fame	fame	fame
as	as	a
a	a	a
Cabinet	cabinet	Cabinet
nominee	nomine	nominee
would	would	would
hurt	hurt	hurt
the	the	the
company	compani	company
s	s	s
ability	abil	ability
to	to	to
have	have	have
a	a	a
fair	fair	fair
jury	juri	jury
trial	trial	trial
,	,	,
not	not	not
that	that	that
the	the	the
case	case	case
would	would	would
in	in	in
any	ani	any
way	way	way
hurt	hurt	hurt
Puzder	puzder	Puzder
s	s	s
ability	abil	ability
to	to	to
be	be	be
confirmed	confirm	confirmed
.	.	.
Ferrell	ferrel	Ferrell
declined	declin	declined
to	to	to
comment	comment	comment
on	on	on
the	the	the
case	case	case
.	.	.
Dombrowski	dombrowski	Dombrowski
s	s	s
attorney	attorney	attorney
did	did	did
not	not	not
respond	respond	respond
to	to	to
requests	request	request
for	for	for
comment	comment	comment
.	.	.
A	a	A
representative	repres	representative
of	of	of
Puzder	puzder	Puzder
also	also	also
declined	declin	declined
to	to	to
comment	comment	comment
.	.	.
CKE	cke	CKE
Restaurants	restaur	Restaurants
has	has	ha
said	said	said
it	it	it
is	is	is
up	up	up
to	to	to
its	it	it
franchises	franchis	franchise
to	to	to
set	set	set
wages	wage	wage
and	and	and
working	work	working
conditions	condit	condition
and	and	and
they	they	they
are	are	are
protected	protect	protected
from	from	from
liability	liabil	liability
as	as	a
a	a	a
franchisor	franchisor	franchisor
.	.	.
Senator	senat	Senator
Susan	susan	Susan
Collins	collin	Collins
,	,	,
who	who	who
is	is	is
on	on	on
the	the	the
panel	panel	panel
that	that	that
will	will	will
hold	hold	hold
Puzder	puzder	Puzder
s	s	s
initial	initi	initial
confirmation	confirm	confirmation
hearing	hear	hearing
next	next	next
week	week	week
,	,	,
said	said	said
she	she	she
has	has	ha
not	not	not
made	made	made
a	a	a
decision	decis	decision
regarding	regard	regarding
Puzder	puzder	Puzder
.	.	.
Collins	collin	Collins
was	was	wa
one	one	one
of	of	of
two	two	two
Republicans	republican	Republicans
to	to	to
vote	vote	vote
against	against	against
Betsy	betsi	Betsy
DeVos	devo	DeVos
,	,	,
who	who	who
was	was	wa
confirmed	confirm	confirmed
on	on	on
Tuesday	tuesday	Tuesday
to	to	to
head	head	head
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
Department	depart	Department
of	of	of
Education	educ	Education
.	.	.
I	i	I
have	have	have
not	not	not
reached	reach	reached
a	a	a
decision	decis	decision
.	.	.
I	i	I
almost	almost	almost
always	alway	always
wait	wait	wait
until	until	until
there	there	there
s	s	s
a	a	a
hearing	hear	hearing
,	,	,
unless	unless	unless
I	i	I
know	know	know
the	the	the
individual	individu	individual
well	well	well
,	,	,
Collins	collin	Collins
said	said	said
on	on	on
Thursday	thursday	Thursday
.	.	.
I	i	I
ve	ve	ve
had	had	had
two	two	two
conversations	convers	conversation
with	with	with
Mr	mr	Mr
.	.	.
Puzder	puzder	Puzder
and	and	and
I	i	I
think	think	think
there	there	there
are	are	are
questions	question	question
outstanding	outstand	outstanding
that	that	that
will	will	will
be	be	be
,	,	,
I	i	I
m	m	m
sure	sure	sure
,	,	,
delved	delv	delved
into	into	into
at	at	at
his	his	his
hearing	hear	hearing
,	,	,
she	she	she
added	ad	added
.	.	.
Puzder	puzder	Puzder
,	,	,
an	an	an
enthusiastic	enthusiast	enthusiastic
early	earli	early
supporter	support	supporter
of	of	of
Trump	trump	Trump
,	,	,
has	has	ha
lobbied	lobbi	lobbied
against	against	against
efforts	effort	effort
to	to	to
raise	rais	raise
the	the	the
minimum	minimum	minimum
wage	wage	wage
and	and	and
is	is	is
expected	expect	expected
to	to	to
roll	roll	roll
back	back	back
rules	rule	rule
aimed	aim	aimed
at	at	at
curbing	curb	curbing
unpaid	unpaid	unpaid
overtime	overtim	overtime
and	and	and
improving	improv	improving
worker	worker	worker
safety	safeti	safety
if	if	if
confirmed	confirm	confirmed
to	to	to
head	head	head
the	the	the
Labor	labor	Labor
Department	depart	Department
.	.	.
