KANSAS	kansa	KANSAS
CITY	citi	CITY
,	,	,
Mo	mo	Mo
.	.	.
Reuters	reuter	Reuters
-	-	-
Missouri	missouri	Missouri
lawmakers	lawmak	lawmaker
pushed	push	pushed
through	through	through
bills	bill	bill
on	on	on
Wednesday	wednesday	Wednesday
eliminating	elimin	eliminating
the	the	the
need	need	need
for	for	for
permits	permit	permit
to	to	to
carry	carri	carry
concealed	conceal	concealed
weapons	weapon	weapon
and	and	and
requiring	requir	requiring
voters	voter	voter
to	to	to
show	show	show
a	a	a
photo	photo	photo
identification	identif	identification
before	befor	before
casting	cast	casting
a	a	a
ballot	ballot	ballot
,	,	,
overriding	overrid	overriding
Democratic	democrat	Democratic
Governor	governor	Governor
Jay	jay	Jay
Nixon	nixon	Nixon
s	s	s
vetoes	veto	veto
of	of	of
the	the	the
bills	bill	bill
.	.	.
Both	both	Both
votes	vote	vote
by	by	by
the	the	the
Republican	republican	Republican
-controlled	-control	-controlled
state	state	state
House	hous	House
and	and	and
Senate	senat	Senate
reached	reach	reached
the	the	the
two	two	two
-thirds	-third	-thirds
majority	major	majority
required	requir	required
to	to	to
enact	enact	enact
legislation	legisl	legislation
over	over	over
the	the	the
governor	governor	governor
s	s	s
veto	veto	veto
.	.	.
The	the	The
weapons	weapon	weapon
bill	bill	bill
abolished	abolish	abolished
a	a	a
state	state	state
law	law	law
requiring	requir	requiring
a	a	a
permit	permit	permit
,	,	,
training	train	training
and	and	and
background	background	background
checks	check	check
for	for	for
people	peopl	people
who	who	who
want	want	want
to	to	to
carry	carri	carry
a	a	a
concealed	conceal	concealed
weapon	weapon	weapon
in	in	in
the	the	the
state	state	state
.	.	.
The	the	The
House	hous	House
voted	vote	voted
112	112	112
-41	-41	-41
to	to	to
override	overrid	override
Nixon	nixon	Nixon
s	s	s
veto	veto	veto
and	and	and
the	the	the
Senate	senat	Senate
voted	vote	voted
24	24	24
-6	-6	-6
.	.	.
Supporters	support	Supporters
of	of	of
the	the	the
bill	bill	bill
said	said	said
it	it	it
will	will	will
make	make	make
the	the	the
state	state	state
safer	safer	safer
by	by	by
allowing	allow	allowing
more	more	more
residents	resid	resident
to	to	to
carry	carri	carry
firearms	firearm	firearm
in	in	in
self	self	self
-defense	-defens	-defense
,	,	,
while	while	while
still	still	still
banning	ban	banning
certain	certain	certain
criminals	crimin	criminal
and	and	and
mentally	mental	mentally
incompetent	incompet	incompetent
people	peopl	people
from	from	from
having	have	having
a	a	a
gun	gun	gun
.	.	.
In	in	In
vetoing	veto	vetoing
the	the	the
bill	bill	bill
in	in	in
July	juli	July
,	,	,
Nixon	nixon	Nixon
said	said	said
the	the	the
measure	measur	measure
struck	struck	struck
an	an	an
extreme	extrem	extreme
blow	blow	blow
to	to	to
sensible	sensibl	sensible
safeguards	safeguard	safeguard
against	against	against
gun	gun	gun
violence	violenc	violence
.	.	.
Earlier	earlier	Earlier
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
the	the	the
state	state	state
Senate	senat	Senate
voted	vote	voted
24	24	24
-7	-7	-7
and	and	and
the	the	the
House	hous	House
115	115	115
-41	-41	-41
to	to	to
override	overrid	override
Nixon	nixon	Nixon
s	s	s
veto	veto	veto
of	of	of
a	a	a
bill	bill	bill
requiring	requir	requiring
voters	voter	voter
to	to	to
produce	produc	produce
a	a	a
government	govern	government
-issued	-issu	-issued
ID	id	ID
instead	instead	instead
of	of	of
less	less	le
official	offici	official
identification	identif	identification
such	such	such
as	as	a
a	a	a
utility	util	utility
bill	bill	bill
or	or	or
bank	bank	bank
check	check	check
.	.	.
The	the	The
bill	bill	bill
would	would	would
not	not	not
take	take	take
effect	effect	effect
until	until	until
2017	2017	2017
,	,	,
after	after	after
this	this	this
year	year	year
s	s	s
presidential	presidenti	presidential
election	elect	election
,	,	,
and	and	and
only	onli	only
if	if	if
voters	voter	voter
in	in	in
November	novemb	November
pass	pass	pas
a	a	a
state	state	state
constitutional	constitut	constitutional
amendment	amend	amendment
in	in	in
support	support	support
of	of	of
the	the	the
new	new	new
law	law	law
.	.	.
That	that	That
is	is	is
necessary	necessari	necessary
because	becaus	because
the	the	the
Missouri	missouri	Missouri
Supreme	suprem	Supreme
Court	court	Court
ruled	rule	ruled
10	10	10
years	year	year
ago	ago	ago
that	that	that
such	such	such
a	a	a
statute	statut	statute
violated	violat	violated
the	the	the
existing	exist	existing
state	state	state
constitution	constitut	constitution
.	.	.
Courts	court	Courts
in	in	in
recent	recent	recent
months	month	month
have	have	have
blocked	block	blocked
voter	voter	voter
ID	id	ID
laws	law	law
passed	pass	passed
in	in	in
several	sever	several
states	state	state
by	by	by
Republican	republican	Republican
-led	-led	-led
legislatures	legislatur	legislature
after	after	after
civil	civil	civil
rights	right	right
groups	group	group
argued	argu	argued
the	the	the
measures	measur	measure
were	were	were
discriminatory	discriminatori	discriminatory
against	against	against
poor	poor	poor
and	and	and
minority	minor	minority
voters	voter	voter
.	.	.
In	in	In
Missouri	missouri	Missouri
,	,	,
voters	voter	voter
without	without	without
a	a	a
photo	photo	photo
ID	id	ID
can	can	can
still	still	still
vote	vote	vote
if	if	if
they	they	they
sign	sign	sign
an	an	an
affidavit	affidavit	affidavit
swearing	swear	swearing
that	that	that
they	they	they
lack	lack	lack
any	ani	any
type	type	type
of	of	of
identification	identif	identification
.	.	.
However	howev	However
,	,	,
election	elect	election
officials	offici	official
can	can	can
take	take	take
their	their	their
picture	pictur	picture
,	,	,
and	and	and
steps	step	step
must	must	must
be	be	be
taken	taken	taken
to	to	to
get	get	get
a	a	a
photo	photo	photo
ID	id	ID
for	for	for
later	later	later
use	use	use
,	,	,
with	with	with
the	the	the
state	state	state
covering	cover	covering
the	the	the
cost	cost	cost
.	.	.
Supporters	support	Supporters
of	of	of
